gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,TX Texas,TX Anderson County 48001,9,Summary of All HUD Programs,1,A,anderson County,48001,646.0,77,412,91,4.59141390462977,15,2.14576988136816,978.728439897395,248.295504085664,469.241772984766,10683.1245787453,4978.69071213435,15,39,25,16,6,24,2,74,25,97,68,6,42,80,44,34,40,18,15,43,14,29,2,57,50,0,0,7,10.7843980517969,51.2786007789217,96,103.897679188738,26,46,28,22,21,46,79,A,A,A,-1,-1,TX,-1,A,anderson tx,43,57,43,0,0
County,TX Texas,TX Andrews County 48003,9,Summary of All HUD Programs,1,A,andrews County,48003,7.0,81,6,99,7.3,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8143.16666666667,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,50,-4,-4,-4,-4,-1.0,117.822222222222,-4,-4.0,-4,-4,-4,-4,19,52,75,A,A,A,-1,-1,TX,-1,A,andrews tx,50,50,50,0,0
County,TX Texas,TX Angelina County 48005,9,Summary of All HUD Programs,1,A,Angelina County,48005,1753.0,89,1470,99,5.27855645751874,11,2.38962813834584,3559.23404615552,277.854374452439,530.529836000931,12061.2506603274,5047.33371137673,10,40,24,13,14,31,7,60,29,90,62,3,52,85,52,31,49,18,6,58,15,20,1,76,65,0,0,10,18.8834173678059,68.2036259189493,97,92.0225802749397,27,26,47,21,23,56,68,A,A,A,-1,-1,TX,-1,A,angelina tx,24,76,24,0,0
County,TX Texas,TX Aransas County 48007,9,Summary of All HUD Programs,1,A,Aransas County,48007,136.0,88,120,100,5.30417779497304,14,2.20688763438495,274.881983426891,252.268522562293,619.326672790153,11168.4980969621,5060.74614898766,10,48,20,14,8,27,6,65,27,96,69,10,33,78,35,49,70,29,8,46,28,19,2,41,13,0,1,36,24.7095238095238,61.8042184811251,99,108.772057284384,37,43,20,11,24,36,61,A,A,A,-1,-1,TX,-1,A,aransas tx,59,41,59,0,0
County,TX Texas,TX Archer County 48009,9,Summary of All HUD Programs,1,A,Archer County,48009,16.0,81,13,100,6.03204853675945,29,1.33404710920771,69.2222222222223,243.391862955032,272.119914346895,12366.3597430407,9269.8073836276,6,40,28,16,10,19,0,81,30,90,57,4,8,69,8,58,38,42,0,28,27,45,11,2,2,0,0,0,1.99333333333333,46.977658815132,88,84.8789346246973,78,18,4,4,15,14,84,A,A,A,-1,-1,TX,-1,A,archer tx,98,2,98,0,0
County,TX Texas,TX Armstrong County 48011,9,Summary of All HUD Programs,1,A,Armstrong County,48011,5.0,80,4,100,6.85,-4,-4.0,-4.0,-4.0,-4.0,-4.0,9087.0,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,68.3583333333333,-4,-4.0,-4,-4,-4,-4,11,9,87,A,A,A,-1,-1,TX,-1,A,armstrong tx,100,0,100,0,0
County,TX Texas,TX Atascosa County 48013,9,Summary of All HUD Programs,1,A,Atascosa County,48013,324.0,85,270,96,5.51055432183425,20,2.15106413612368,665.379127814399,264.676451108469,365.130669794456,11787.9635081309,5475.52663872093,13,38,27,12,11,33,3,64,28,92,63,10,36,77,41,33,47,20,8,42,19,30,2,77,2,1,0,75,1.94874145961473,46.0453188107419,86,107.695237748265,41,36,22,7,19,64,62,A,A,A,-1,-1,TX,-1,A,atascosa tx,23,77,23,0,0
County,TX Texas,TX Austin County 48015,9,Summary of All HUD Programs,1,A,Austin County,48015,92.0,74,65,94,5.85603786246645,8,1.52420176973027,238.069428353443,268.386196386112,427.242742616974,12823.1097814585,8444.40279611763,3,38,29,20,9,18,2,79,26,97,68,1,19,81,18,46,26,26,2,24,12,62,14,49,40,0,0,12,40.5333333333333,71.2341009967903,92,89.4157768045954,70,26,4,6,9,37,67,A,A,A,-1,-1,TX,-1,A,austin tx,51,49,51,0,0
County,TX Texas,TX Bailey County 48017,9,Summary of All HUD Programs,1,A,Bailey County,48017,18.0,81,15,84,8.30693009055841,14,1.05349959774739,18.8756756756757,268.470728386658,277.827031375704,12591.0406584566,11951.6330954269,0,40,33,21,7,7,0,93,35,86,40,0,0,62,0,100,13,30,0,7,14,79,34,26,0,0,0,26,-1.0,66.8029694494296,100,83.2924376508448,89,11,0,5,17,62,82,A,A,A,-1,-1,TX,-1,A,bailey tx,74,26,74,0,0
County,TX Texas,TX Bandera County 48019,9,Summary of All HUD Programs,1,A,Bandera County,48019,6.0,83,6,100,8.96666666666667,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8369.71428571429,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,40.3666666666667,49.9777777777778,-4,-4.0,-4,-4,-4,-4,18,19,63,A,A,A,-1,-1,TX,-1,A,bandera tx,100,0,100,0,0
