gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,TX Texas,TX Dallas County 48113,9,S236/BMIR,7,,Dallas County,48113,89,-5,24,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,dallas tx,-5,-5,0,0
County,TX Texas,TX El Paso County 48141,9,S236/BMIR,7,,El Paso County,48141,101,-5,102,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,el paso tx,-5,-5,0,0
County,TX Texas,TX Montgomery County 48339,9,S236/BMIR,7,,Montgomery County,48339,23,-5,20,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,montgomery tx,-5,-5,0,0
County,TX Texas,TX Nueces County 48355,9,S236/BMIR,7,,Nueces County,48355,0,-5,31,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,nueces tx,-5,-5,0,0
County,TX Texas,TX Travis County 48453,9,Mod Rehab,4,,Travis County,48453,0,-5,48,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,TX,,,travis tx,-5,-5,0,0
County,TX Texas,TX McLennan County 48309,9,Project Based Section 8,5,,Mclennan County,48309,676,97,674,100,5,24,1.9,1284,200,525,8918,4681,26,35,24,10,5,30,1,65,22,96,72,2,48,86,47,15,25,10,30,33,14,23,3,58,50,0,1,21,0,4,2,7,0,-1,60,40,79,41,43,17,11,38,77,55,,,,,,TX,,,mclennan tx,58,21,21,0
County,TX Texas,TX Montgomery County 48339,9,202/PRAC,8,,Montgomery County,48339,130,98,127,99,7,11,1.0,132,294,156,13385,12878,-1,31,36,22,10,2,-1,98,29,98,60,-1,-1,83,-1,-1,13,14,-1,-1,1,99,19,19,4,1,2,66,-1,7,6,13,0,-1,62,100,65,100,-1,-1,-1,12,29,47,,,,,,TX,,,montgomery tx,19,66,15,0
County,TX Texas,TX Stephens County 48429,9,Project Based Section 8,5,,Stephens County,48429,70,81,68,100,5,49,2.2,148,202,547,8579,3942,29,38,21,10,1,44,1,54,22,99,75,7,38,75,38,13,46,9,22,41,19,18,1,16,-1,-1,-1,69,-1,15,1,16,0,-1,40,-1,-1,22,59,19,9,28,32,80,,,,,,TX,,,stephens tx,16,69,15,0
County,TX Texas,TX Grayson County 48181,9,Project Based Section 8,5,,Grayson County,48181,235,95,226,100,6,15,1.7,373,254,409,11496,6965,12,33,32,14,9,16,-1,82,26,96,65,7,19,76,19,22,10,10,9,25,10,56,7,12,11,-1,-1,77,-1,0,0,1,0,-1,67,50,93,62,19,18,9,21,20,72,,,,,,TX,,,grayson tx,12,77,11,0
County,TX Texas,TX Tom Green County 48451,9,811/PRAC,9,,Tom Green County,48451,24,84,18,90,7,33,1.0,18,222,239,9300,9300,-1,83,17,-1,-1,6,-1,94,24,100,94,-1,-1,50,-1,100,-1,100,-1,44,56,-1,-1,33,6,-1,-1,56,-1,11,17,28,0,-1,43,67,45,100,-1,-1,-1,31,65,68,,,,,,TX,,,tom green tx,33,56,11,0
County,TX Texas,TX Guadalupe County 48187,9,811/PRAC,9,,Guadalupe County,48187,21,97,20,98,7,10,1.1,21,217,566,9236,8796,-1,80,20,-1,-1,-1,-1,100,22,100,95,-1,5,65,5,100,100,95,10,30,40,20,-1,45,30,-1,-1,45,-1,15,-1,15,0,-1,91,-1,-1,95,5,-1,-1,32,72,61,,,,,,TX,,,guadalupe tx,45,45,10,0
County,TX Texas,TX Comal County 48091,9,Project Based Section 8,5,,Comal County,48091,234,93,224,100,6,22,1.8,405,299,569,13599,7521,7,21,31,24,17,26,-1,71,30,92,50,6,29,83,31,13,12,8,13,22,5,60,13,43,2,-1,-1,48,-1,37,4,41,0,-1,53,100,52,59,25,16,4,13,29,63,,,,,,TX,,,comal tx,43,48,9,0
County,TX Texas,TX Denton County 48121,9,811/PRAC,9,,Denton County,48121,31,97,31,100,6,10,1.5,45,313,143,14245,9813,-1,37,30,10,23,3,-1,94,28,90,71,-1,10,42,6,100,100,76,-1,42,39,19,-1,23,10,-1,-1,68,3,10,-1,13,0,-1,60,81,111,10,81,10,48,14,52,71,,,,,,TX,,,denton tx,23,68,9,0
County,TX Texas,TX Guadalupe County 48187,9,Project Based Section 8,5,,Guadalupe County,48187,196,97,193,100,6,13,1.7,320,272,386,11850,7147,5,41,30,14,9,23,-1,76,26,98,67,4,26,79,26,37,15,17,8,27,15,50,6,66,16,1,-1,25,-1,45,5,50,1,-1,73,100,71,62,26,12,7,22,63,68,,,,,,TX,,,guadalupe tx,66,25,9,0
County,TX Texas,TX Kerr County 48265,9,Project Based Section 8,5,,Kerr County,48265,83,96,86,100,5,16,1.6,138,204,539,9145,5699,10,44,37,9,-1,17,-1,74,21,100,79,2,24,80,24,21,5,8,13,22,15,50,1,31,2,-1,-1,60,-1,17,12,29,0,-1,59,100,39,63,28,9,8,25,43,64,,,,,,TX,,,kerr tx,31,60,9,0
County,TX Texas,TX Collin County 48085,9,202/PRAC,8,,Collin County,48085,294,100,296,100,7,9,1.2,363,238,348,10893,8882,5,54,27,9,5,2,0,97,22,98,85,-1,-1,69,-1,-1,4,3,-1,-1,-1,100,16,60,4,1,49,32,-1,3,3,6,0,-1,74,100,65,100,-1,-1,-1,26,60,39,,,,,,TX,,,collin tx,60,32,8,0
County,TX Texas,TX Tarrant County 48439,9,202/PRAC,8,,Tarrant County,48439,437,99,437,100,6,13,1.0,451,267,259,12239,11859,1,40,36,18,6,1,-1,99,26,99,72,-1,-1,70,-1,100,16,16,-1,0,0,100,11,38,24,1,2,54,0,6,4,10,1,-1,52,100,60,100,-1,-1,-1,27,65,57,,,,,,TX,,,tarrant tx,38,54,8,0
County,TX Texas,TX Young County 48503,9,Project Based Section 8,5,,Young County,48503,87,91,80,100,6,31,2.0,159,205,475,9018,4537,25,40,24,9,3,24,1,75,22,99,76,6,34,81,36,35,32,19,18,33,19,31,1,14,3,-1,-1,78,-1,10,1,11,0,-1,39,45,169,19,65,16,34,20,22,78,,,,,,TX,,,young tx,14,78,8,0
