Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2018-12-31 00:00:00,County,TX Texas,TX Anderson County 48001,9,Summary of All HUD Programs,1,,anderson County,48001,560,67,357,95,5,14,2.1,735,276,526,12073,5864,13,33,26,16,12,24,1,73,27,95,64,4,38,84,40,34,47,20,8,39,20,32,2,59,52,0,1,39,1,5,1,6,1,14,68,95,95,30,42,28,26,19,47,76,,,,,,TX,,,anderson tx,61,39,0,0
2018-12-31 00:00:00,County,TX Texas,TX Anderson County 48001,9,Housing Choice Vouchers,3,,anderson County,48001,395,56,207,94,5,8,1.9,401,295,387,12936,6677,7,36,27,19,11,25,-1,73,29,93,62,2,33,84,34,46,68,30,3,39,27,31,2,68,64,-1,0,32,0,3,-1,4,0,14,80,92,99,21,55,24,41,21,46,72,,,,,,TX,,,anderson tx,68,32,0,0
2018-12-31 00:00:00,County,TX Texas,TX Anderson County 48001,9,Project Based Section 8,5,,anderson County,48001,165,93,150,97,6,23,2.2,334,250,725,10882,4887,22,29,25,11,13,24,1,73,24,97,67,7,44,85,48,16,20,8,15,39,11,34,3,46,35,1,1,49,1,7,2,10,1,-1,51,100,91,43,24,33,6,17,50,82,,,,,,TX,,,anderson tx,48,52,0,1
2018-12-31 00:00:00,County,TX Texas,TX Andrews County 48003,9,Summary of All HUD Programs,1,,andrews County,48003,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,andrews tx,-4,-4,0,0
2018-12-31 00:00:00,County,TX Texas,TX Andrews County 48003,9,Housing Choice Vouchers,3,,andrews County,48003,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,TX,,,andrews tx,-4,-4,0,0
2018-12-31 00:00:00,County,TX Texas,TX Angelina County 48005,9,Summary of All HUD Programs,1,,Angelina County,48005,1763,87,1545,100,6,13,2.2,3455,305,509,12926,5780,9,35,25,15,16,30,0,68,28,93,63,2,44,82,45,35,61,22,5,52,18,26,1,76,67,0,0,24,1,8,0,9,0,21,82,98,87,29,28,43,28,25,57,68,,,,,,TX,,,angelina tx,76,24,0,0
2018-12-31 00:00:00,County,TX Texas,TX Angelina County 48005,9,Public Housing,2,,Angelina County,48005,393,89,350,100,6,22,2.1,719,309,386,13894,6763,3,40,25,14,17,38,1,61,31,88,60,3,37,78,36,32,42,17,9,44,19,28,1,60,39,-1,-1,40,-1,21,-1,21,0,7,63,98,80,51,28,21,5,24,48,62,,,,,,TX,,,angelina tx,60,40,0,0
2018-12-31 00:00:00,County,TX Texas,TX Angelina County 48005,9,Housing Choice Vouchers,3,,Angelina County,48005,1133,84,963,100,5,9,2.4,2350,312,537,12856,5268,10,35,22,16,17,30,0,68,27,94,64,3,51,86,52,35,86,23,3,60,18,18,0,82,75,1,0,18,1,5,0,6,0,33,92,97,96,12,30,58,42,22,54,71,,,,,,TX,,,angelina tx,82,18,0,0
2018-12-31 00:00:00,County,TX Texas,TX Angelina County 48005,9,Project Based Section 8,5,,Angelina County,48005,196,97,190,100,6,13,1.8,341,267,600,11621,6475,14,30,34,12,10,19,1,79,27,95,66,1,35,73,35,28,41,20,7,33,13,47,2,77,71,1,1,23,2,3,1,5,1,-1,70,100,64,59,21,19,4,39,84,66,,,,,,TX,,,angelina tx,77,23,0,0
2018-12-31 00:00:00,County,TX Texas,TX Angelina County 48005,9,202/PRAC,8,,Angelina County,48005,27,97,28,100,7,25,1.1,30,271,489,11874,11083,-1,43,36,21,-1,4,-1,96,29,100,57,-1,-1,46,-1,75,29,33,-1,-1,14,86,11,86,86,-1,-1,14,-1,-1,-1,0,0,-1,68,100,32,100,-1,-1,-1,31,81,64,,,,,,TX,,,angelina tx,86,14,0,0
