State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
TX,Anderson County,19000,21700,24400,27100,29300,31450,33650,35800,11670,15730,19790,23850,27910,31450,33650,35800,30350,34700,39050,43350,46850,50300,53800,57250
TX,Andrews County,20100,22950,25800,28650,30950,33250,35550,37850,12050,15730,19790,23850,27910,31970,35550,37850,32100,36650,41250,45800,49500,53150,56800,60500
TX,Angelina County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Aransas County,19250,22000,24750,27450,29650,31850,34050,36250,11670,15730,19790,23850,27910,31850,34050,36250,30750,35150,39550,43900,47450,50950,54450,57950
TX,Archer County,19250,22000,24750,27450,29650,31850,34050,36250,11670,15730,19790,23850,27910,31850,34050,36250,30750,35150,39550,43900,47450,50950,54450,57950
TX,Armstrong County,22200,25400,28550,31700,34250,36800,39350,41850,13300,15730,19790,23850,27910,31970,36030,40090,35500,40600,45650,50700,54800,58850,62900,66950
TX,Atascosa County,18450,21050,23700,26300,28450,30550,32650,34750,11670,15730,19790,23850,27910,30550,32650,34750,29500,33700,37900,42100,45500,48850,52250,55600
TX,Austin County,23650,27000,30400,33750,36450,39150,41850,44550,14200,16200,19790,23850,27910,31970,36030,40090,37800,43200,48600,54000,58350,62650,67000,71300
TX,Bailey County,19100,21800,24550,27250,29450,31650,33800,36000,11670,15730,19790,23850,27910,31650,33800,36000,30550,34900,39250,43600,47100,50600,54100,57600
TX,Bandera County,20600,23550,26500,29400,31800,34150,36500,38850,12400,15730,19790,23850,27910,31970,36030,38850,32950,37650,42350,47050,50850,54600,58350,62150
TX,Bastrop County,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,20350,23850,27910,31970,36030,40090,42250,48250,54300,60300,65150,69950,74800,79600
TX,Baylor County,19350,22100,24850,27600,29850,32050,34250,36450,11670,15730,19790,23850,27910,31970,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
TX,Bee County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Bell County,20650,23600,26550,29450,31850,34200,36550,38900,12400,15730,19790,23850,27910,31970,36030,38900,33000,37700,42400,47100,50900,54650,58450,62200
TX,Bexar County,20600,23550,26500,29400,31800,34150,36500,38850,12400,15730,19790,23850,27910,31970,36030,38850,32950,37650,42350,47050,50850,54600,58350,62150
TX,Blanco County,23450,26800,30150,33500,36200,38900,41550,44250,14100,16100,19790,23850,27910,31970,36030,40090,37550,42900,48250,53600,57900,62200,66500,70800
TX,Borden County,19750,22600,25400,28200,30500,32750,35000,37250,11850,15730,19790,23850,27910,31970,35000,37250,31600,36100,40600,45100,48750,52350,55950,59550
TX,Bosque County,19500,22250,25050,27800,30050,32250,34500,36700,11700,15730,19790,23850,27910,31970,34500,36700,31150,35600,40050,44500,48100,51650,55200,58750
TX,Bowie County,18700,21350,24000,26650,28800,30950,33050,35200,11670,15730,19790,23850,27910,30950,33050,35200,29900,34150,38400,42650,46100,49500,52900,56300
TX,Brazoria County,26550,30350,34150,37900,40950,44000,47000,50050,15950,18200,20500,23850,27910,31970,36030,40090,42500,48550,54600,60650,65550,70400,75250,80100
TX,Brazos County,20150,23000,25900,28750,31050,33350,35650,37950,12100,15730,19790,23850,27910,31970,35650,37950,32200,36800,41400,46000,49700,53400,57050,60750
TX,Brewster County,19750,22550,25350,28150,30450,32700,34950,37200,11850,15730,19790,23850,27910,31970,34950,37200,31550,36050,40550,45050,48700,52300,55900,59500
TX,Briscoe County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Brooks County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Brown County,17950,20500,23050,25600,27650,29700,31750,33800,11670,15730,19790,23850,27650,29700,31750,33800,28700,32800,36900,40950,44250,47550,50800,54100
TX,Burleson County,20150,23000,25900,28750,31050,33350,35650,37950,12100,15730,19790,23850,27910,31970,35650,37950,32200,36800,41400,46000,49700,53400,57050,60750
TX,Burnet County,20800,23800,26750,29700,32100,34500,36850,39250,12500,15730,19790,23850,27910,31970,36030,39250,33250,38000,42750,47500,51300,55100,58900,62700
TX,Caldwell County,26400,30200,33950,37700,40750,43750,46750,49800,15850,18100,20350,23850,27910,31970,36030,40090,42250,48250,54300,60300,65150,69950,74800,79600
TX,Calhoun County,19450,22200,25000,27750,30000,32200,34450,36650,11700,15730,19790,23850,27910,31970,34450,36650,31100,35550,40000,44400,48000,51550,55100,58650
TX,Callahan County,18400,21000,23650,26250,28350,30450,32550,34650,11670,15730,19790,23850,27910,30450,32550,34650,29400,33600,37800,42000,45400,48750,52100,55450
TX,Cameron County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Camp County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Carson County,22200,25400,28550,31700,34250,36800,39350,41850,13300,15730,19790,23850,27910,31970,36030,40090,35500,40600,45650,50700,54800,58850,62900,66950
TX,Cass County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Castro County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Chambers County,23350,26650,30000,33300,36000,38650,41300,44000,14000,16000,19790,23850,27910,31970,36030,40090,37350,42650,48000,53300,57600,61850,66100,70400
TX,Cherokee County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Childress County,19000,21700,24400,27100,29300,31450,33650,35800,11670,15730,19790,23850,27910,31450,33650,35800,30350,34700,39050,43350,46850,50300,53800,57250
TX,Clay County,19250,22000,24750,27450,29650,31850,34050,36250,11670,15730,19790,23850,27910,31850,34050,36250,30750,35150,39550,43900,47450,50950,54450,57950
TX,Cochran County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Coke County,19000,21700,24400,27100,29300,31450,33650,35800,11670,15730,19790,23850,27910,31450,33650,35800,30350,34700,39050,43350,46850,50300,53800,57250
TX,Coleman County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Collin County,23800,27200,30600,33950,36700,39400,42100,44850,14250,16300,19790,23850,27910,31970,36030,40090,38050,43450,48900,54300,58650,63000,67350,71700
TX,Collingsworth County,17650,20200,22700,25200,27250,29250,31250,33300,11670,15730,19790,23850,27250,29250,31250,33300,28250,32250,36300,40300,43550,46750,50000,53200
TX,Colorado County,19750,22600,25400,28200,30500,32750,35000,37250,11850,15730,19790,23850,27910,31970,35000,37250,31600,36100,40600,45100,48750,52350,55950,59550
TX,Comal County,20600,23550,26500,29400,31800,34150,36500,38850,12400,15730,19790,23850,27910,31970,36030,38850,32950,37650,42350,47050,50850,54600,58350,62150
TX,Comanche County,17800,20350,22900,25400,27450,29500,31500,33550,11670,15730,19790,23850,27450,29500,31500,33550,28500,32550,36600,40650,43950,47200,50450,53700
TX,Concho County,19950,22800,25650,28450,30750,33050,35300,37600,11950,15730,19790,23850,27910,31970,35300,37600,31850,36400,40950,45500,49150,52800,56450,60100
TX,Cooke County,21350,24400,27450,30450,32900,35350,37800,40200,12800,15730,19790,23850,27910,31970,36030,40090,34100,39000,43850,48700,52600,56500,60400,64300
TX,Coryell County,20650,23600,26550,29450,31850,34200,36550,38900,12400,15730,19790,23850,27910,31970,36030,38900,33000,37700,42400,47100,50900,54650,58450,62200
TX,Cottle County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Crane County,19900,22750,25600,28400,30700,32950,35250,37500,11950,15730,19790,23850,27910,31970,35250,37500,31850,36400,40950,45450,49100,52750,56400,60000
TX,Crockett County,18850,21550,24250,26900,29100,31250,33400,35550,11670,15730,19790,23850,27910,31250,33400,35550,30150,34450,38750,43050,46500,49950,53400,56850
TX,Crosby County,20650,23600,26550,29450,31850,34200,36550,38900,12400,15730,19790,23850,27910,31970,36030,38900,33000,37700,42400,47100,50900,54650,58450,62200
TX,Culberson County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Dallam County,19100,21800,24550,27250,29450,31650,33800,36000,11670,15730,19790,23850,27910,31650,33800,36000,30550,34900,39250,43600,47100,50600,54100,57600
TX,Dallas County,23800,27200,30600,33950,36700,39400,42100,44850,14250,16300,19790,23850,27910,31970,36030,40090,38050,43450,48900,54300,58650,63000,67350,71700
TX,Dawson County,17600,20100,22600,25100,27150,29150,31150,33150,11670,15730,19790,23850,27150,29150,31150,33150,28150,32150,36150,40150,43400,46600,49800,53000
TX,Deaf Smith County,18350,20950,23550,26150,28250,30350,32450,34550,11670,15730,19790,23850,27910,30350,32450,34550,29300,33500,37700,41850,45200,48550,51900,55250
TX,Delta County,23800,27200,30600,33950,36700,39400,42100,44850,14250,16300,19790,23850,27910,31970,36030,40090,38050,43450,48900,54300,58650,63000,67350,71700
TX,Denton County,23800,27200,30600,33950,36700,39400,42100,44850,14250,16300,19790,23850,27910,31970,36030,40090,38050,43450,48900,54300,58650,63000,67350,71700
