State code,PUMA,County code,State abbr.,County_Name,allocation factor
49,3000,49003,UT,Box Elder UT,0.4423
49,3000,49045,UT,Tooele UT,0.5577
49,5000,49005,UT,Cache UT,0.6996
49,5000,49029,UT,Morgan UT,0.0646
49,5000,49033,UT,Rich UT,0.0132
49,5000,49043,UT,Summit UT,0.2226
49,11002,49011,UT,Davis UT,1.0
49,11003,49011,UT,Davis UT,1.0
49,11004,49011,UT,Davis UT,1.0
49,13000,49007,UT,Carbon UT,0.1404
49,13000,49009,UT,Daggett UT,0.0064
49,13000,49013,UT,Duchesne UT,0.1348
49,13000,49015,UT,Emery UT,0.0676
49,13000,49019,UT,Grand UT,0.0665
49,13000,49037,UT,San Juan UT,0.0999
49,13000,49047,UT,Uintah UT,0.245
49,13000,49051,UT,Wasatch UT,0.2393
49,21000,49001,UT,Beaver UT,0.0454
49,21000,49017,UT,Garfield UT,0.0326
49,21000,49021,UT,Iron UT,0.3678
49,21000,49023,UT,Juab UT,0.0757
49,21000,49025,UT,Kane UT,0.0492
49,21000,49027,UT,Millard UT,0.0833
49,21000,49031,UT,Piute UT,0.0092
49,21000,49039,UT,Sanpete UT,0.1826
49,21000,49041,UT,Sevier UT,0.1382
49,21000,49055,UT,Wayne UT,0.016
49,35008,49035,UT,Salt Lake UT,1.0
49,35009,49035,UT,Salt Lake UT,1.0
49,35011,49035,UT,Salt Lake UT,1.0
49,35012,49035,UT,Salt Lake UT,1.0
49,35013,49035,UT,Salt Lake UT,1.0
49,35014,49035,UT,Salt Lake UT,1.0
49,35015,49035,UT,Salt Lake UT,1.0
49,35016,49035,UT,Salt Lake UT,1.0
49,35017,49035,UT,Salt Lake UT,1.0
49,49001,49049,UT,Utah UT,1.0
49,49002,49049,UT,Utah UT,1.0
49,49003,49049,UT,Utah UT,1.0
49,49004,49049,UT,Utah UT,1.0
49,53000,49053,UT,Washington UT,1.0
49,57001,49057,UT,Weber UT,1.0
49,57002,49057,UT,Weber UT,1.0
