fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
517,595,757,1007,1204,49,Beaver County,6415,UT,0
629,692,911,1216,1455,49,Box Elder County,52180,UT,1
583,699,877,1246,1501,49,Cache County,120290,UT,1
514,611,757,982,1296,49,Carbon County,20510,UT,0
541,622,792,1043,1317,49,Daggett County,700,UT,0
811,891,1105,1535,1864,49,Davis County,334975,UT,1
566,655,829,1093,1334,49,Duchesne County,20260,UT,0
517,664,757,998,1027,49,Emery County,10410,UT,0
517,664,757,936,1205,49,Garfield County,5020,UT,0
568,632,832,1182,1383,49,Grand County,9545,UT,0
615,757,926,1268,1585,49,Iron County,48505,UT,0
880,914,1041,1479,1782,49,Juab County,10695,UT,1
662,761,969,1223,1314,49,Kane County,7245,UT,0
517,595,757,1027,1286,49,Millard County,12650,UT,0
811,891,1105,1535,1864,49,Morgan County,11015,UT,1
517,595,757,1075,1258,49,Piute County,1860,UT,0
541,622,792,1043,1317,49,Rich County,2305,UT,0
924,1112,1327,1843,2066,49,Salt Lake County,1106700,UT,1
653,664,757,946,1044,49,San Juan County,15195,UT,0
545,606,798,986,1179,49,Sanpete County,28890,UT,0
517,575,757,1007,1184,49,Sevier County,20960,UT,0
1027,1070,1408,1740,2210,49,Summit County,39730,UT,0
744,796,1034,1423,1770,49,Tooele County,63355,UT,1
611,698,858,1209,1469,49,Uintah County,36345,UT,0
880,914,1041,1479,1782,49,Utah County,576495,UT,1
812,904,1190,1639,1956,49,Wasatch County,29305,UT,0
837,898,1089,1547,1864,49,Washington County,155575,UT,1
517,595,757,936,1258,49,Wayne County,2700,UT,0
811,891,1105,1535,1864,49,Weber County,244100,UT,1
