County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Beaver County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Box Elder County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Cache County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Carbon County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Daggett County,35350,40400,45450,50500,54550,58600,62650,66700,21250,24250,27300,30300,32750,37190,41910,46630,56550,64600,72700,80750,87250,93700,100150,106600
Davis County,35200,40200,45250,50250,54300,58300,62350,66350,21150,24150,27150,30150,32600,37190,41910,46630,56300,64350,72400,80400,86850,93300,99700,106150
Duchesne County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Emery County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Garfield County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Grand County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Iron County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Juab County,32800,37450,42150,46800,50550,54300,58050,61800,19700,22500,25300,28100,32470,37190,41910,46630,52450,59950,67450,74900,80900,86900,92900,98900
Kane County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Millard County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Morgan County,35200,40200,45250,50250,54300,58300,62350,66350,21150,24150,27150,30150,32600,37190,41910,46630,56300,64350,72400,80400,86850,93300,99700,106150
Piute County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Rich County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Salt Lake County,35850,41000,46100,51200,55300,59400,63500,67600,21500,24600,27650,30700,33200,37190,41910,46630,57350,65550,73750,81900,88500,95050,101600,108150
San Juan County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Sanpete County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Sevier County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Summit County,46800,53500,60200,66850,72200,77550,82900,88250,28100,32100,36100,40100,43350,46550,49750,52950,62600,71550,80500,89400,96600,103750,110900,118050
Tooele County,32500,37150,41800,46400,50150,53850,57550,61250,19500,22300,25100,27850,32470,37190,41910,46630,52000,59400,66850,74250,80200,86150,92100,98050
Uintah County,29150,33300,37450,41600,44950,48300,51600,54950,17500,20000,23030,27750,32470,37190,41910,46630,46600,53250,59900,66550,71900,77200,82550,87850
Utah County,32800,37450,42150,46800,50550,54300,58050,61800,19700,22500,25300,28100,32470,37190,41910,46630,52450,59950,67450,74900,80900,86900,92900,98900
Wasatch County,36350,41550,46750,51900,56100,60250,64400,68550,21850,24950,28050,31150,33650,37190,41910,46630,58100,66400,74700,83000,89650,96300,102950,109600
Washington County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Wayne County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Weber County,35200,40200,45250,50250,54300,58300,62350,66350,21150,24150,27150,30150,32600,37190,41910,46630,56300,64350,72400,80400,86850,93300,99700,106150
