sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Beaver County,49001,-1,-1,29,-1,5,31,1.9,56,272,497,11.9,6.2,3,45,24,17,10,21,0,79,31,97,52,10,17,72,17,70,33,36,0,34,34,31,3,10,3,7,0,0,4,36,93,74,55,17,28,21,6,6,47,-1,-1,-1,-1,-1,UT,-1,-1,beaver ut,90,10,90,0,0
9,1,All HUD,-1,Box Elder County,49003,-1,-1,206,-1,5,26,1.8,365,251,430,11.4,6.6,14,37,26,13,10,17,3,74,25,97,70,5,25,77,27,59,17,27,5,44,17,35,5,11,1,1,0,8,10,45,43,6,48,33,19,22,13,7,65,-1,-1,-1,-1,-1,UT,-1,-1,box elder ut,89,11,89,0,0
9,1,All HUD,-1,Cache County,49005,-1,-1,586,-1,4,24,2.3,1358,275,345,11.5,5.0,10,41,27,13,9,34,2,61,27,94,66,23,25,61,32,47,40,22,9,60,14,17,2,9,1,1,1,6,9,36,80,7,26,37,37,24,14,20,38,-1,-1,-1,-1,-1,UT,-1,-1,cache ut,91,9,91,0,0
9,1,All HUD,-1,Carbon County,49007,-1,-1,409,-1,4,36,2.0,837,243,318,10.5,5.2,17,40,26,13,4,29,5,59,25,95,68,12,31,78,37,37,51,20,11,47,19,22,2,18,1,1,0,16,5,43,82,60,31,36,33,27,15,16,59,-1,-1,-1,-1,-1,UT,-1,-1,carbon ut,82,18,82,0,0
9,1,All HUD,-1,Daggett County,49009,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,UT,-1,-1,daggett ut,-4,-4,-4,0,0
9,1,All HUD,-1,Davis County,49011,-1,-1,1854,-1,5,28,2.3,4319,278,465,11.8,5.1,21,33,21,13,12,32,4,55,21,98,76,12,44,82,50,33,31,15,14,59,11,16,2,18,4,1,1,12,18,43,76,42,24,44,32,19,13,8,59,-1,-1,-1,-1,-1,UT,-1,-1,davis ut,82,18,82,0,0
9,1,All HUD,-1,Duchesne County,49013,-1,-1,98,-1,4,19,1.9,183,283,286,11.7,6.3,10,41,20,21,7,18,4,77,30,90,54,7,29,81,33,55,14,25,5,51,14,30,7,11,0,10,0,1,5,52,90,45,26,46,29,38,11,16,53,-1,-1,-1,-1,-1,UT,-1,-1,duchesne ut,89,11,89,0,0
9,1,All HUD,-1,Emery County,49015,-1,-1,91,-1,6,25,2.2,199,258,336,11.2,5.2,12,38,32,12,5,27,0,69,27,96,59,18,30,78,41,44,48,25,10,54,13,23,4,7,1,2,0,3,26,48,95,-2,5,49,45,51,3,8,41,-1,-1,-1,-1,-1,UT,-1,-1,emery ut,93,7,93,0,0
9,1,All HUD,-1,Garfield County,49017,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,UT,-1,-1,garfield ut,-4,-4,-4,0,0
9,1,All HUD,-1,Grand County,49019,-1,-1,92,-1,4,28,1.6,151,278,314,11.5,7.2,8,45,26,14,8,23,2,72,30,92,57,5,21,72,25,49,13,20,4,29,17,49,7,15,1,9,1,4,8,36,91,55,48,37,15,27,12,14,46,-1,-1,-1,-1,-1,UT,-1,-1,grand ut,85,15,85,0,0
