sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Beaver County,49001,-1,-1,28.0,-1.0,6.0,21.0,1.9,54.0,262.0,555.0,11.5,6.0,7.0,46.0,21.0,14.0,11.0,18.0,0.0,82.0,29.0,93.0,61.0,11.0,14.0,71.0,21.0,72.0,40.0,35.0,0.0,36.0,29.0,36.0,0.0,14.0,4.0,7.0,0.0,4.0,9.0,44.0,89.0,69.0,54.0,25.0,21.0,21.0,6,6,49,-1,-1,-1,-1,-1,UT,-1,-1,beaver ut,86.0,14.0,86.0,0,0
9,1,All HUD,-1,Box Elder County,49003,-1,-1,213.0,-1.0,5.0,22.0,1.7,365.0,271.0,432.0,12.0,7.0,10.0,37.0,27.0,16.0,10.0,18.0,2.0,76.0,26.0,96.0,68.0,6.0,23.0,80.0,26.0,62.0,20.0,30.0,5.0,44.0,18.0,33.0,5.0,12.0,1.0,1.0,0.0,9.0,12.0,49.0,42.0,6.0,50.0,32.0,18.0,21.0,12,7,64,-1,-1,-1,-1,-1,UT,-1,-1,box elder ut,88.0,12.0,88.0,0,0
9,1,All HUD,-1,Cache County,49005,-1,-1,583.0,-1.0,4.0,23.0,2.3,1324.0,290.0,338.0,12.0,5.3,8.0,39.0,29.0,12.0,11.0,32.0,2.0,65.0,28.0,94.0,64.0,20.0,23.0,64.0,30.0,51.0,35.0,24.0,6.0,60.0,16.0,19.0,2.0,8.0,1.0,1.0,1.0,5.0,12.0,43.0,80.0,7.0,26.0,35.0,39.0,27.0,14,20,37,-1,-1,-1,-1,-1,UT,-1,-1,cache ut,92.0,8.0,92.0,0,0
9,1,All HUD,-1,Carbon County,49007,-1,-1,397.0,-1.0,4.0,24.0,2.1,841.0,259.0,352.0,11.5,5.5,17.0,37.0,25.0,13.0,8.0,32.0,2.0,57.0,27.0,91.0,64.0,12.0,33.0,77.0,40.0,36.0,54.0,20.0,9.0,49.0,19.0,23.0,2.0,19.0,1.0,2.0,1.0,16.0,7.0,49.0,81.0,62.0,29.0,36.0,35.0,26.0,15,17,59,-1,-1,-1,-1,-1,UT,-1,-1,carbon ut,81.0,19.0,81.0,0,0
9,1,All HUD,-1,Daggett County,49009,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,UT,-1,-1,daggett ut,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Davis County,49011,-1,-1,1836.0,-1.0,5.0,18.0,2.4,4340.0,269.0,502.0,11.8,5.1,21.0,33.0,21.0,13.0,13.0,32.0,5.0,55.0,20.0,98.0,78.0,12.0,44.0,82.0,50.0,34.0,32.0,15.0,14.0,58.0,12.0,16.0,2.0,19.0,4.0,1.0,1.0,13.0,17.0,49.0,75.0,43.0,24.0,45.0,31.0,18.0,13,8,59,-1,-1,-1,-1,-1,UT,-1,-1,davis ut,81.0,19.0,81.0,0,0
9,1,All HUD,-1,Duchesne County,49013,-1,-1,105.0,-1.0,4.0,30.0,1.9,200.0,280.0,385.0,12.6,6.6,11.0,40.0,18.0,23.0,8.0,25.0,3.0,70.0,32.0,91.0,57.0,7.0,31.0,83.0,36.0,48.0,19.0,23.0,7.0,50.0,13.0,30.0,4.0,8.0,0.0,8.0,0.0,0.0,3.0,52.0,89.0,45.0,24.0,49.0,27.0,34.0,10,15,50,-1,-1,-1,-1,-1,UT,-1,-1,duchesne ut,92.0,8.0,92.0,0,0
9,1,All HUD,-1,Emery County,49015,-1,-1,87.0,-1.0,6.0,23.0,2.3,198.0,273.0,401.0,11.4,5.0,9.0,43.0,26.0,13.0,9.0,25.0,1.0,74.0,27.0,98.0,63.0,18.0,32.0,78.0,45.0,48.0,45.0,24.0,11.0,49.0,16.0,23.0,3.0,5.0,1.0,2.0,0.0,1.0,6.0,52.0,92.0,-2.0,6.0,49.0,45.0,41.0,4,9,45,-1,-1,-1,-1,-1,UT,-1,-1,emery ut,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Garfield County,49017,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,UT,-1,-1,garfield ut,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Grand County,49019,-1,-1,86.0,-1.0,7.0,17.0,1.6,137.0,275.0,336.0,11.4,7.3,3.0,47.0,31.0,10.0,8.0,24.0,1.0,73.0,30.0,91.0,56.0,3.0,20.0,69.0,22.0,56.0,13.0,22.0,2.0,28.0,17.0,52.0,5.0,16.0,2.0,8.0,1.0,5.0,10.0,42.0,90.0,55.0,55.0,30.0,15.0,22.0,13,15,46,-1,-1,-1,-1,-1,UT,-1,-1,grand ut,84.0,16.0,84.0,0,0
9,1,All HUD,-1,Iron County,49021,-1,-1,133.0,-1.0,5.0,19.0,2.0,260.0,288.0,369.0,11.3,5.8,8.0,54.0,20.0,9.0,10.0,19.0,7.0,71.0,27.0,94.0,69.0,10.0,25.0,66.0,30.0,71.0,81.0,41.0,3.0,59.0,22.0,16.0,0.0,6.0,1.0,1.0,0.0,5.0,8.0,57.0,92.0,-2.0,29.0,38.0,33.0,38.0,9,20,43,-1,-1,-1,-1,-1,UT,-1,-1,iron ut,94.0,6.0,94.0,0,0
9,1,All HUD,-1,Juab County,49023,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,UT,-1,-1,juab ut,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Kane County,49025,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,UT,-1,-1,kane ut,-4.0,-4.0,-4.0,0,0
