gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,UT Utah,UT Beaver County 49001,9,Summary of All HUD Programs,1,A,Beaver County,49001,45.0,93,45,98,5.93823336968375,29,1.57142857142857,68.6190476190476,263.302344601963,419.609541984733,11712.1329880044,7453.17553782096,9,44,24,9,15,11,5,84,28,91,76,2,18,67,18,68,50,42,10,30,17,43,2,8,2,4,0,2,6.46858666666667,42.8700454380225,55,92.3451882845189,72,12,16,16,8,9,69,A,A,A,-1,-1,UT,-1,A,beaver ut,92,8,92,0,0
County,UT Utah,UT Box Elder County 49003,9,Summary of All HUD Programs,1,A,Box Elder County,49003,264.0,95,252,99,5.60328234312242,22,1.77296116811627,465.776362852833,271.652273157824,457.334342396973,11594.6637261093,6511.52826056723,12,33,29,16,9,15,2,84,24,98,71,5,28,77,28,63,26,33,5,46,19,30,1,9,1,1,0,10,21.3351364594076,45.2996248250798,42,139.249436251914,49,31,20,17,7,11,68,A,A,A,-1,-1,UT,-1,A,box elder ut,91,9,91,0,0
County,UT Utah,UT Cache County 49005,9,Summary of All HUD Programs,1,A,Cache County,49005,549.0,99,554,100,4.67311291363219,14,2.22114572678389,1214.313003663,274.626782601447,405.872488905455,11619.0140548996,5231.0903849264,11,37,29,12,10,20,1,79,25,97,71,16,24,66,27,56,43,26,2,58,17,23,2,12,2,1,2,7,22.0024742529476,49.4657694715245,81,137.697518168971,25,34,41,33,19,14,39,A,A,A,-1,-1,UT,-1,A,cache ut,88,12,88,0,0
County,UT Utah,UT Carbon County 49007,9,Summary of All HUD Programs,1,A,Carbon County,49007,503.0,78,395,96,5.12422835998583,14,1.9216992316266,793.661782661784,260.205730486893,354.944571885838,10193.9395282146,5304.64880270887,18,38,22,16,5,24,3,73,24,96,71,4,34,75,33,39,43,23,6,44,19,31,3,17,1,2,1,15,21.6766348195329,54.3768368519654,82,110.719829963982,39,31,30,22,17,16,62,A,A,A,-1,-1,UT,-1,A,carbon ut,83,17,83,0,0
County,UT Utah,UT Daggett County 49009,9,Summary of All HUD Programs,1,A,Daggett County,49009,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,UT,-1,A,daggett ut,-1,-1,-1,0,0
County,UT Utah,UT Davis County 49011,9,Summary of All HUD Programs,1,A,Davis County,49011,1983.0,98,1816,97,5.25175799026212,10,2.36362490655608,4457.82114390806,275.620469454513,524.718482800162,11003.7092950157,4651.98769590414,20,32,23,13,12,28,9,62,19,99,82,6,49,81,50,37,43,18,10,60,14,16,2,21,5,2,2,14,28.9101457040223,56.5093133055805,76,106.350444575851,24,45,31,18,7,13,62,A,A,A,-1,-1,UT,-1,A,davis ut,79,21,79,0,0
County,UT Utah,UT Duchesne County 49013,9,Summary of All HUD Programs,1,A,Duchesne County,49013,121.0,72,78,88,5.44776856004256,11,1.70585918616404,151.125636418089,287.303777099412,410.176120402016,11328.42861441,6640.89316767356,9,31,32,24,4,23,0,77,27,97,66,3,29,82,29,51,49,35,9,35,20,36,2,10,0,6,1,3,7.18,58.8586136662508,90,96.0085193157358,27,43,30,43,19,13,63,A,A,A,-1,-1,UT,-1,A,duchesne ut,90,10,90,0,0
County,UT Utah,UT Emery County 49015,9,Summary of All HUD Programs,1,A,Emery County,49015,92.0,97,89,100,3.73977272727273,12,2.47191011235955,220.0,315.921348314607,366.2375,13683.0674157303,5535.42272727273,2,37,27,16,18,33,1,66,28,92,63,13,39,79,42,46,40,21,3,66,13,17,2,6,0,1,1,3,9.97575757575758,54.8434456928839,93,131.289156626506,8,45,47,34,12,6,65,A,A,A,-1,-1,UT,-1,A,emery ut,94,6,94,0,0
County,UT Utah,UT Garfield County 49017,9,Summary of All HUD Programs,1,A,Garfield County,49017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,UT,-1,A,garfield ut,-1,-1,-1,0,0
County,UT Utah,UT Grand County 49019,9,Summary of All HUD Programs,1,A,Grand County,49019,104.0,70,67,90,5.67321701867156,17,1.40740740740741,105.058823529412,264.967691095351,350.260835303388,10842.8148148148,7704.10526315789,6,46,33,13,2,14,0,86,27,98,66,0,16,64,14,52,12,19,2,27,8,64,8,11,2,2,1,6,21.4733333333333,53.3613869188337,89,85.8414526129318,62,25,13,22,15,13,46,A,A,A,-1,-1,UT,-1,A,grand ut,89,11,89,0,0
