Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2015-12-31 00:00:00,County,UT UTAH,UT SALT LAKE COUNTY 49035,9,S236/BMIR,7,,Salt Lake County,49035,0,-4,5,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,UT,,,salt lake ut,-4,-4,0,0
2015-12-31 00:00:00,County,UT UTAH,UT WASATCH COUNTY 49051,9,Summary of All HUD Programs,1,,Wasatch County,49051,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,UT,,,wasatch ut,-4,-4,0,0
2015-12-31 00:00:00,County,UT UTAH,UT WASATCH COUNTY 49051,9,Housing Choice Vouchers,3,,Wasatch County,49051,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,UT,,,wasatch ut,-4,-4,0,0
2015-12-31 00:00:00,County,UT UTAH,UT WEBER COUNTY 49057,9,202/PRAC,8,,Weber County,49057,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,UT,,,weber ut,-4,-4,0,0
2015-12-31 00:00:00,County,UT UTAH,UT SALT LAKE COUNTY 49035,9,Mod Rehab,4,,Salt Lake County,49035,100,-5,115,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,UT,,,salt lake ut,26,74,0,1
2015-12-31 00:00:00,County,UT UTAH,UT SALT LAKE COUNTY 49035,9,Public Housing,2,,Salt Lake County,49035,1016,98,994,100,6,13,2.0,1985,293,299,12792,6406,7,38,26,14,16,16,1,77,23,96,77,6,24,69,26,39,43,25,1,29,9,60,6,36,7,2,9,64,0,18,1,18,0,40,81,53,87,64,12,24,3,21,35,49,,,,,,UT,,,salt lake ut,36,64,0,0
2015-12-31 00:00:00,County,UT UTAH,UT DAVIS COUNTY 49011,9,Housing Choice Vouchers,3,,Davis County,49011,1035,98,1019,100,4,20,2.3,2339,364,604,13601,5925,7,30,25,17,21,27,1,67,22,98,75,4,42,80,42,50,65,26,2,59,22,17,1,23,5,2,2,77,0,13,0,14,0,30,75,93,109,22,42,36,28,13,20,61,,,,,,UT,,,davis ut,23,77,0,0
2015-12-31 00:00:00,County,UT UTAH,UT WEBER COUNTY 49057,9,Housing Choice Vouchers,3,,Weber County,49057,1048,94,1035,100,5,15,2.2,2297,346,566,13498,6082,6,33,26,16,18,25,2,69,22,97,77,3,38,74,35,51,66,27,2,50,25,23,1,30,7,2,1,70,0,19,1,20,2,16,69,86,101,28,45,27,26,22,35,60,,,,,,UT,,,weber ut,30,70,0,0
2015-12-31 00:00:00,County,UT UTAH,UT GRAND COUNTY 49019,9,Summary of All HUD Programs,1,,Grand County,49019,105,74,71,91,6,18,1.7,120,303,367,12706,7518,-1,41,31,18,10,20,-1,76,27,100,61,-1,23,69,20,33,15,15,-1,28,14,58,4,17,1,8,-1,82,-1,7,-1,7,0,17,62,92,71,61,23,17,14,14,19,62,,,,,,UT,,,grand ut,18,82,0,0
2015-12-31 00:00:00,County,UT UTAH,UT WEBER COUNTY 49057,9,Project Based Section 8,5,,Weber County,49057,1061,96,1047,100,6,18,1.5,1560,238,555,10329,6933,13,38,26,16,6,15,3,77,19,99,83,4,21,68,21,57,28,32,11,31,21,37,4,19,4,1,1,79,0,8,5,13,2,-1,65,31,48,72,26,2,3,24,38,54,,,,,,UT,,,weber ut,21,79,0,0
