State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
UT,Beaver County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Box Elder County,21450,24500,27550,30600,33050,35500,37950,40400,12850,14700,16550,18350,19850,21300,22800,24250,34300,39200,44100,48950,52900,56800,60700,64650
UT,Cache County,19950,22800,25650,28500,30800,33100,35350,37650,12000,13700,15400,17100,18500,19850,21250,22600,31950,36500,41050,45600,49250,52900,56550,60200
UT,Carbon County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Daggett County,18600,21250,23900,26550,28700,30800,32950,35050,11200,12800,14400,15950,17250,18550,19800,21100,29750,34000,38250,42500,45900,49300,52700,56100
UT,Davis County,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,18600,20650,22350,24000,25650,27300,38550,44050,49550,55050,59500,63900,68300,72700
UT,Duchesne County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Emery County,19850,22700,25550,28350,30650,32900,35200,37450,11900,13600,15300,17000,18400,19750,21100,22450,31750,36300,40850,45350,49000,52650,56250,59900
UT,Garfield County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Grand County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Iron County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Juab County,22800,26050,29300,32550,35200,37800,40400,43000,13700,15650,17600,19550,21150,22700,24250,25850,36500,41700,46900,52100,56300,60450,64650,68800
UT,Kane County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Millard County,18850,21550,24250,26900,29100,31250,33400,35550,11350,12950,14550,16150,17450,18750,20050,21350,30150,34450,38750,43050,46500,49950,53400,56850
UT,Morgan County,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,18600,20650,22350,24000,25650,27300,38550,44050,49550,55050,59500,63900,68300,72700
UT,Piute County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Rich County,20150,23000,25900,28750,31050,33350,35650,37950,12100,13800,15550,17250,18650,20050,21400,22800,32200,36800,41400,46000,49700,53400,57050,60750
UT,Salt Lake County,24500,28000,31500,35000,37800,40600,43400,46200,14700,16800,18900,21000,22700,24400,26050,27750,39200,44800,50400,56000,60500,65000,69450,73950
UT,San Juan County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Sanpete County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Sevier County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Summit County,32700,37350,42000,46650,50400,54150,57850,61600,19600,22400,25200,28000,30250,32500,34750,37000,45100,51550,58000,64400,69600,74750,79900,85050
UT,Tooele County,23000,26250,29550,32800,35450,38050,40700,43300,13800,15800,17750,19700,21300,22900,24450,26050,36750,42000,47250,52500,56700,60900,65100,69300
UT,Uintah County,19400,22200,24950,27700,29950,32150,34350,36600,11650,13300,14950,16600,17950,19300,20600,21950,31050,35450,39900,44300,47850,51400,54950,58500
UT,Utah County,22800,26050,29300,32550,35200,37800,40400,43000,13700,15650,17600,19550,21150,22700,24250,25850,36500,41700,46900,52100,56300,60450,64650,68800
UT,Wasatch County,23450,26800,30150,33450,36150,38850,41500,44200,14050,16050,18050,20050,21700,23300,24900,26500,37450,42800,48150,53500,57800,62100,66350,70650
UT,Washington County,19250,22000,24750,27450,29650,31850,34050,36250,11550,13200,14850,16450,17800,19100,20400,21750,30750,35150,39550,43900,47450,50950,54450,57950
UT,Wayne County,18550,21200,23850,26500,28650,30750,32900,35000,11150,12750,14350,15900,17200,18450,19750,21000,29700,33950,38200,42400,45800,49200,52600,56000
UT,Weber County,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,18600,20650,22350,24000,25650,27300,38550,44050,49550,55050,59500,63900,68300,72700
