State code,PUMA,County code,State abbr.,County_Name,allocation factor
51,51125,51001,VA,Accomack VA,0.1956
51,51089,51003,VA,Albemarle VA,0.3354
51,51090,51003,VA,Albemarle VA,1
51,51090,51003,VA,Albemarle VA,0.5243
51,51255,51510,VA,Alexandria city VA,1
51,59302,51510,VA,Alexandria city VA,1
51,51045,51005,VA,Alleghany VA,0.0754
51,51080,51005,VA,Alleghany VA,1
51,51105,51007,VA,Amelia VA,0.0733
51,51080,51009,VA,Amherst VA,1
51,51095,51009,VA,Amherst VA,0.2524
51,51095,51011,VA,Appomattox VA,0.1246
51,51096,51011,VA,Appomattox VA,0.2298
51,1301,51013,VA,Arlington VA,1
51,1302,51013,VA,Arlington VA,1
51,59301,51013,VA,Arlington VA,1
51,59308,51013,VA,Arlington VA,1
51,1301,51013,VA,Arlington VA,1
51,1302,51013,VA,Arlington VA,1
51,51080,51015,VA,Augusta VA,0.4613
51,51110,51015,VA,Augusta VA,1
51,51045,51017,VA,Bath VA,0.1528
51,51080,51017,VA,Bath VA,0.0247
51,51095,51019,VA,Bedford VA,0.6229
51,51096,51019,VA,Bedford VA,0.7702
51,51020,51021,VA,Bland VA,0.0336
51,51045,51023,VA,Botetourt VA,0.1687
51,51095,51023,VA,Botetourt VA,1
51,51020,51520,VA,Bristol city VA,0.0924
51,51105,51025,VA,Brunswick VA,0.0876
51,51010,51027,VA,Buchanan VA,0.1105
51,51105,51029,VA,Buckingham VA,0.093
51,51080,51530,VA,Buena Vista city VA,0.0396
51,51095,51031,VA,Campbell VA,0.3732
51,51096,51031,VA,Campbell VA,0.4138
51,51120,51033,VA,Caroline VA,0.1583
51,51125,51033,VA,Caroline VA,0.0863
51,51020,51035,VA,Carroll VA,0.1565
51,51215,51036,VA,Charles City VA,0.0685
51,51105,51037,VA,Charlotte VA,0.0637
51,51089,51540,VA,Charlottesville city VA,1
51,51090,51540,VA,Charlottesville city VA,0.3343
51,55001,51550,VA,Chesapeake city VA,1
51,51155,51550,VA,Chesapeake city VA,1
51,55002,51550,VA,Chesapeake city VA,1
51,55001,51550,VA,Chesapeake city VA,1
51,4101,51041,VA,Chesterfield VA,1
51,4102,51041,VA,Chesterfield VA,1
51,51215,51041,VA,Chesterfield VA,1
51,51235,51041,VA,Chesterfield VA,1
51,4102,51041,VA,Chesterfield VA,1
51,4103,51041,VA,Chesterfield VA,1
51,51135,51041,VA,Chesterfield VA,1
51,10703,51043,VA,Clarke VA,1
51,51084,51043,VA,Clarke VA,0.1093
51,51085,51043,VA,Clarke VA,0.2436
51,51135,51570,VA,Colonial Heights city VA,0.1009
