gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,VA Virginia,VA Accomack County 51001,9,Summary of All HUD Programs,1,A,Accomack County,51001,359.0,94,331,98,7.00554900161663,8,2.40490234631014,815.422222222224,307.930724865644,428.366989518376,11902.1635863154,4949.12552460892,12,38,23,14,13,26,12,59,27,95,64,2,48,86,48,44,87,28,3,56,23,19,1,84,83,0,0,1,50.1407407407407,70.541412155372,96,183.235849056604,23,28,49,23,21,48,56,A,A,A,-1,-1,VA,-1,A,accomack va,16,84,16,0,0
County,VA Virginia,VA Albemarle County 51003,9,Summary of All HUD Programs,1,A,Albemarle County,51003,585.0,85,497,98,5.5816150893732,7,2.16024260612582,1080.16137210079,311.440523992425,623.965353579439,12924.8930405715,5983.07477313901,14,28,24,16,18,33,5,60,22,97,76,3,46,84,46,33,40,19,1,59,12,27,4,57,54,0,1,2,16.2851238059649,73.2401360624424,92,81.8506335207135,35,34,31,15,8,21,44,A,A,A,-1,-1,VA,-1,A,albemarle va,43,57,43,0,0
County,VA Virginia,VA Alexandria city 51510,9,Summary of All HUD Programs,1,A,Alexandria city County,51510,5689.0,83,3110,95,6.20443950150002,4,2.05173331447013,6725.81597590175,372.082746739959,954.230391908609,15565.2326298944,7573.8325955354,14,30,17,12,28,40,9,50,19,97,81,5,33,76,33,22,22,12,2,49,17,32,4,90,76,0,7,8,37.0260399562998,98.7138331337295,65,180.505672927384,49,31,20,6,12,49,6,A,A,A,-1,-1,VA,-1,A,alexandria city va,10,90,10,0,0
County,VA Virginia,VA Alleghany County 51005,9,Summary of All HUD Programs,1,A,Alleghany County,51005,32.0,86,28,100,4.59090909090909,9,2.09090909090909,45.0612244897959,331.272727272727,367.909090909091,11676.3181818182,5584.32608695652,5,36,36,14,9,23,5,73,26,95,77,14,36,86,41,43,63,24,5,45,14,36,0,41,36,5,0,0,9.78333333333334,25.5409090909091,100,137.272727272727,0,55,45,59,5,2,74,A,A,A,-1,-1,VA,-1,A,alleghany va,59,41,59,0,0
County,VA Virginia,VA Amelia County 51007,9,Summary of All HUD Programs,1,A,Amelia County,51007,1.0,94,1,100,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3608.0,-4,-4,-4,-4,-4,-4,-4,-4,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,145.866666666667,-4,-4.0,-4,-4,-4,-4,9,30,64,A,A,A,-1,-1,VA,-1,A,amelia va,0,100,0,0,0
County,VA Virginia,VA Amherst County 51009,9,Summary of All HUD Programs,1,A,Amherst County,51009,73.0,94,70,100,5.78666282864182,6,2.28475085600358,159.758614356036,227.52232053695,492.429287707721,9263.61733616851,4054.54157586887,22,41,23,10,4,28,10,59,20,99,83,1,47,76,47,45,78,27,1,65,14,19,1,61,60,0,1,1,38.9166666666667,108.045702604443,84,127.688524590164,10,53,37,40,11,23,65,A,A,A,-1,-1,VA,-1,A,amherst va,39,61,39,0,0
County,VA Virginia,VA Appomattox County 51011,9,Summary of All HUD Programs,1,A,Appomattox County,51011,71.0,92,70,100,5.90476696204072,9,1.93349880532349,168.13299904489,251.343300095304,292.538820227377,10676.3153341884,5521.7594677552,12,41,26,16,6,19,12,69,24,100,76,2,36,86,37,46,92,37,1,42,17,40,1,59,59,0,0,0,19.55,100.134259066812,94,99.6503829125016,36,29,36,20,13,21,64,A,A,A,-1,-1,VA,-1,A,appomattox va,41,59,41,0,0
County,VA Virginia,VA Arlington County 51013,9,Summary of All HUD Programs,1,A,Arlington County,51013,2838.0,94,2350,93,6.95123332504309,5,1.74790784380757,4401.16060753019,342.583351424326,929.263800639956,15156.3899602393,8678.16615374012,8,36,20,11,25,30,4,65,19,98,83,5,17,70,18,30,14,14,0,29,17,53,9,77,42,0,19,16,65.682684130587,94.4888538994411,58,86.9817781407288,65,23,11,4,11,54,20,A,A,A,-1,-1,VA,-1,A,arlington va,23,77,23,0,0
County,VA Virginia,VA Augusta County 51015,9,Summary of All HUD Programs,1,A,Augusta County,51015,210.0,92,198,99,6.26601122663238,11,1.75467600553863,332.040766550523,265.364907349595,408.018147853007,12271.711803881,6956.87175879723,4,37,36,13,9,13,5,79,27,98,67,3,24,82,26,52,16,21,3,39,14,44,9,6,6,0,0,1,15.9833333333333,67.5016019094198,82,89.4949070999551,67,13,21,8,7,6,67,A,A,A,-1,-1,VA,-1,A,augusta va,94,6,94,0,0
County,VA Virginia,VA Bath County 51017,9,Summary of All HUD Programs,1,A,Bath County,51017,,-1,-1,-1,7.1,0,1.0,5.0,199.6,193.0,8468.0,8468.0,0,100,0,0,0,0,0,100,21,100,100,0,0,60,0,100,100,100,0,40,0,60,0,0,0,0,0,0,-1.0,73.0333333333333,0,-1.0,100,0,0,0,-1,-1,-1,A,A,A,-1,-1,VA,-1,A,bath va,100,0,100,0,0
