Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2021-12-31 00:00:00,County,VA Virginia,VA Accomack County 51001,9,Summary of All HUD Programs,1,,Accomack County,51001,372,95,357,100,6,12,2.1,747,325,496,13250,6332,6,40,26,15,13,22,1,76,28,95,68,1,41,81,40,44,80,31,1,44,20,34,2,87,85,-1,-1,13,0,1,-1,2,0,9,84,99,149,23,33,44,36,22,48,76,,,,,,VA,,,accomack va,87,13,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Accomack County 51001,9,Housing Choice Vouchers,3,,Accomack County,51001,372,95,357,100,6,12,2.1,747,325,496,13250,6332,6,40,26,15,13,22,1,76,28,95,68,1,41,81,40,44,80,31,1,44,20,34,2,87,85,-1,-1,13,0,1,-1,2,0,9,84,99,149,23,33,44,36,22,48,76,,,,,,VA,,,accomack va,87,13,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Albemarle County 51003,9,Summary of All HUD Programs,1,,Albemarle County,51003,848,71,673,100,5,17,2.0,1376,415,851,16765,8200,6,27,23,14,30,32,1,64,22,97,78,3,35,78,35,41,64,27,1,48,23,27,1,64,61,1,2,36,0,1,0,1,1,23,101,99,89,36,37,27,22,13,30,40,,,,,,VA,,,albemarle va,64,36,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Albemarle County 51003,9,Housing Choice Vouchers,3,,Albemarle County,51003,757,68,586,100,5,18,2.2,1288,432,869,17349,7893,7,25,21,14,33,37,1,60,22,96,76,4,40,80,40,39,77,25,2,54,23,21,1,70,66,1,2,30,0,1,0,1,1,23,104,98,90,26,43,31,25,14,33,34,,,,,,VA,,,albemarle va,70,30,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Albemarle County 51003,9,Mod Rehab,4,,Albemarle County,51003,34,97,31,94,7,6,1.0,31,285,712,12227,12227,-1,39,42,19,-1,3,-1,97,19,100,100,-1,-1,71,-1,100,74,81,-1,3,23,74,-1,35,35,-1,-1,65,-1,-1,-1,0,0,20,94,100,113,100,-1,-1,-1,9,24,86,,,,,,VA,,,albemarle va,35,65,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Albemarle County 51003,9,Project Based Section 8,5,,Albemarle County,51003,57,98,56,100,6,13,1.0,57,308,767,13169,12938,-1,36,38,15,11,-1,-1,98,20,98,89,-1,-1,59,-1,87,20,37,-1,9,18,73,9,21,20,2,-1,75,-1,-1,-1,0,2,-1,78,100,69,100,-1,-1,-1,5,12,61,,,,,,VA,,,albemarle va,15,85,0,1
2021-12-31 00:00:00,County,VA Virginia,VA Alleghany County 51005,9,Summary of All HUD Programs,1,,Alleghany County,51005,393,94,375,100,6,18,1.6,607,275,617,12061,7451,12,30,30,18,10,11,2,85,27,97,62,3,25,74,24,46,27,24,8,28,19,46,3,15,14,0,-1,83,-1,0,0,1,1,3,64,98,72,54,35,11,11,29,12,72,,,,,,VA,,,alleghany va,17,83,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Alleghany County 51005,9,Housing Choice Vouchers,3,,Alleghany County,51005,26,84,22,100,6,18,1.1,25,330,422,11854,10431,-1,38,52,5,5,9,-1,86,27,95,68,-1,9,77,5,77,44,60,5,23,32,41,5,32,32,-1,-1,68,-1,-1,-1,0,0,3,66,73,110,36,45,18,55,27,7,78,,,,,,VA,,,alleghany va,32,68,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Alleghany County 51005,9,Project Based Section 8,5,,Alleghany County,51005,367,94,353,100,6,18,1.6,582,272,630,12074,7323,13,29,29,19,10,11,2,85,27,97,62,4,25,73,25,44,26,23,8,28,18,46,3,14,13,0,-1,84,-1,0,0,1,1,-1,64,100,70,55,34,11,9,30,13,72,,,,,,VA,,,alleghany va,16,84,0,0
2021-12-31 00:00:00,County,VA Virginia,VA Amelia County 51007,9,Summary of All HUD Programs,1,,Amelia County,51007,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VA,,,amelia va,-4,-4,0,0
