State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
VA,Accomack County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Albemarle County,38850,44400,49950,55500,59950,64400,68850,73300,23350,26650,30000,33300,36000,40280,45420,50560,62200,71050,79950,88800,95950,103050,110150,117250
VA,Alleghany County,25150,28750,32350,35900,38800,41650,44550,47400,15100,19720,24860,30000,35140,40280,44550,47400,40250,46000,51750,57450,62050,66650,71250,75850
VA,Amelia County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Amherst County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
VA,Appomattox County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
VA,Arlington County,52750,60300,67850,75350,81400,87450,93450,99500,31650,36200,40700,45200,48850,52450,56050,59700,66750,76250,85800,95300,102950,110550,118200,125800
VA,Augusta County,29550,33750,37950,42150,45550,48900,52300,55650,17750,20250,24860,30000,35140,40280,45420,50560,47250,54000,60750,67450,72850,78250,83650,89050
VA,Bath County,25400,29000,32650,36250,39150,42050,44950,47850,15250,19720,24860,30000,35140,40280,44950,47850,40600,46400,52200,58000,62650,67300,71950,76600
VA,Bedford County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
VA,Bland County,25150,28750,32350,35900,38800,41650,44550,47400,15100,19720,24860,30000,35140,40280,44550,47400,40250,46000,51750,57450,62050,66650,71250,75850
VA,Botetourt County,32000,36600,41150,45700,49400,53050,56700,60350,19200,21950,24860,30000,35140,40280,45420,50560,51200,58500,65800,73100,78950,84800,90650,96500
VA,Brunswick County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Buchanan County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Buckingham County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Campbell County,29050,33200,37350,41500,44850,48150,51500,54800,17450,19950,24860,30000,35140,40280,45420,50560,46500,53150,59800,66400,71750,77050,82350,87650
VA,Caroline County,31750,36250,40800,45300,48950,52550,56200,59800,19050,21800,24860,30000,35140,40280,45420,50560,50750,58000,65250,72500,78300,84100,89900,95700
VA,Carroll County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Charles City County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Charlotte County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Chesterfield County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Clarke County,52750,60300,67850,75350,81400,87450,93450,99500,31650,36200,40700,45200,48850,52450,56050,59700,66750,76250,85800,95300,102950,110550,118200,125800
VA,Craig County,32000,36600,41150,45700,49400,53050,56700,60350,19200,21950,24860,30000,35140,40280,45420,50560,51200,58500,65800,73100,78950,84800,90650,96500
VA,Culpeper County,37000,42300,47600,52850,57100,61350,65550,69800,22200,25400,28550,31700,35140,40280,45420,50560,59200,67650,76100,84550,91350,98100,104850,111650
VA,Cumberland County,25150,28750,32350,35900,38800,41650,44550,47400,15100,19720,24860,30000,35140,40280,44550,47400,40250,46000,51750,57450,62050,66650,71250,75850
VA,Dickenson County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Dinwiddie County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Essex County,25100,28650,32250,35800,38700,41550,44400,47300,15050,19720,24860,30000,35140,40280,44400,47300,40150,45850,51600,57300,61900,66500,71100,75650
VA,Fairfax County,52750,60300,67850,75350,81400,87450,93450,99500,31650,36200,40700,45200,48850,52450,56050,59700,66750,76250,85800,95300,102950,110550,118200,125800
VA,Fauquier County,52750,60300,67850,75350,81400,87450,93450,99500,31650,36200,40700,45200,48850,52450,56050,59700,66750,76250,85800,95300,102950,110550,118200,125800
VA,Floyd County,25750,29400,33100,36750,39700,42650,45600,48550,15450,19720,24860,30000,35140,40280,45420,48550,41150,47000,52900,58750,63450,68150,72850,77550
VA,Fluvanna County,38850,44400,49950,55500,59950,64400,68850,73300,23350,26650,30000,33300,36000,40280,45420,50560,62200,71050,79950,88800,95950,103050,110150,117250
VA,Franklin County,27600,31550,35500,39400,42600,45750,48900,52050,16600,19720,24860,30000,35140,40280,45420,50560,44100,50400,56700,63000,68050,73100,78150,83200
VA,Frederick County,33750,38550,43350,48150,52050,55900,59750,63600,20250,23150,26050,30000,35140,40280,45420,50560,53950,61650,69350,77050,83250,89400,95550,101750
VA,Giles County,24950,28500,32050,35600,38450,41300,44150,47000,14950,19720,24860,30000,35140,40280,44150,47000,39900,45600,51300,56950,61550,66100,70650,75200
VA,Gloucester County,34650,39600,44550,49500,53500,57450,61400,65350,20800,23800,26750,30000,35140,40280,45420,50560,55450,63400,71300,79200,85550,91900,98250,104550
VA,Goochland County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Grayson County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Greene County,38850,44400,49950,55500,59950,64400,68850,73300,23350,26650,30000,33300,36000,40280,45420,50560,62200,71050,79950,88800,95950,103050,110150,117250
VA,Greensville County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Halifax County,24850,28400,31950,35500,38350,41200,44050,46900,14950,19720,24860,30000,35140,40280,44050,46900,39800,45450,51150,56800,61350,65900,70450,75000
VA,Hanover County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Henrico County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Henry County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Highland County,25150,28750,32350,35900,38800,41650,44550,47400,15100,19720,24860,30000,35140,40280,44550,47400,40250,46000,51750,57450,62050,66650,71250,75850
VA,Isle of Wight County,34650,39600,44550,49500,53500,57450,61400,65350,20800,23800,26750,30000,35140,40280,45420,50560,55450,63400,71300,79200,85550,91900,98250,104550
VA,James City County,34650,39600,44550,49500,53500,57450,61400,65350,20800,23800,26750,30000,35140,40280,45420,50560,55450,63400,71300,79200,85550,91900,98250,104550
VA,King and Queen County,26400,30150,33900,37650,40700,43700,46700,49700,15850,19720,24860,30000,35140,40280,45420,49700,42200,48200,54250,60250,65100,69900,74750,79550
VA,King George County,41550,47450,53400,59300,64050,68800,73550,78300,24950,28500,32050,35600,38450,41300,45420,50560,66300,75750,85200,94650,102250,109800,117400,124950
VA,King William County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Lancaster County,29800,34050,38300,42550,46000,49400,52800,56200,17900,20450,24860,30000,35140,40280,45420,50560,47700,54500,61300,68100,73550,79000,84450,89900
VA,Lee County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Loudoun County,52750,60300,67850,75350,81400,87450,93450,99500,31650,36200,40700,45200,48850,52450,56050,59700,66750,76250,85800,95300,102950,110550,118200,125800
VA,Louisa County,30100,34400,38700,42950,46400,49850,53300,56700,18050,20600,24860,30000,35140,40280,45420,50560,48100,55000,61850,68700,74200,79700,85200,90700
VA,Lunenburg County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Madison County,26250,30000,33750,37500,40500,43500,46500,49500,15750,19720,24860,30000,35140,40280,45420,49500,42000,48000,54000,60000,64800,69600,74400,79200
VA,Mathews County,34650,39600,44550,49500,53500,57450,61400,65350,20800,23800,26750,30000,35140,40280,45420,50560,55450,63400,71300,79200,85550,91900,98250,104550
VA,Mecklenburg County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Middlesex County,27900,31900,35900,39850,43050,46250,49450,52650,16750,19720,24860,30000,35140,40280,45420,50560,44650,51000,57400,63750,68850,73950,79050,84150
VA,Montgomery County,32000,36550,41100,45650,49350,53000,56650,60300,19200,21950,24860,30000,35140,40280,45420,50560,51100,58400,65700,73000,78850,84700,90550,96400
VA,Nelson County,38850,44400,49950,55500,59950,64400,68850,73300,23350,26650,30000,33300,36000,40280,45420,50560,62200,71050,79950,88800,95950,103050,110150,117250
VA,New Kent County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Northampton County,24900,28450,32000,35550,38400,41250,44100,46950,14950,19720,24860,30000,35140,40280,44100,46950,39850,45550,51250,56900,61500,66050,70600,75150
VA,Northumberland County,28150,32150,36150,40150,43400,46600,49800,53000,16900,19720,24860,30000,35140,40280,45420,50560,45000,51400,57850,64250,69400,74550,79700,84850
VA,Nottoway County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Orange County,33950,38800,43650,48500,52400,56300,60150,64050,20400,23300,26200,30000,35140,40280,45420,50560,54300,62050,69800,77550,83800,90000,96200,102400
VA,Page County,25450,29100,32750,36350,39300,42200,45100,48000,15300,19720,24860,30000,35140,40280,45100,48000,40700,46500,52300,58100,62750,67400,72050,76700
VA,Patrick County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Pittsylvania County,24750,28250,31800,35300,38150,40950,43800,46600,14850,19720,24860,30000,35140,40280,43800,46600,39550,45200,50850,56500,61050,65550,70100,74600
VA,Powhatan County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Prince Edward County,25850,29550,33250,36900,39900,42850,45800,48750,15550,19720,24860,30000,35140,40280,45420,48750,41300,47200,53100,59000,63750,68450,73200,77900
VA,Prince George County,37350,42650,48000,53300,57600,61850,66100,70400,22400,25600,28800,32000,35140,40280,45420,50560,59750,68250,76800,85300,92150,98950,105800,112600
VA,Prince William County,52750,60300,67850,75350,81400,87450,93450,99500,31650,36200,40700,45200,48850,52450,56050,59700,66750,76250,85800,95300,102950,110550,118200,125800
