State code,PUMA,County code,State abbr.,County_Name,allocation factor
50,100,50005,VT,Caledonia VT,0.206
50,100,50009,VT,Essex VT,0.0403
50,100,50011,VT,Franklin VT,0.3404
50,100,50013,VT,Grand Isle VT,0.0497
50,100,50015,VT,Lamoille VT,0.1768
50,100,50019,VT,Orleans VT,0.1867
50,200,50001,VT,Addison VT,0.2955
50,200,50017,VT,Orange VT,0.2315
50,200,50023,VT,Washington VT,0.473
50,300,50007,VT,Chittenden VT,1.0
50,400,50003,VT,Bennington VT,0.1853
50,400,50021,VT,Rutland VT,0.3005
50,400,50025,VT,Windham VT,0.2277
50,400,50027,VT,Windsor VT,0.2865
