fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
779,878,1117,1429,1515,50,Addison County,1500,VT,0
779,878,1117,1429,1515,50,Addison County,1225,VT,0
779,878,1117,1429,1515,50,Addison County,3900,VT,0
779,878,1117,1429,1515,50,Addison County,1045,VT,0
779,878,1117,1429,1515,50,Addison County,2750,VT,0
779,878,1117,1429,1515,50,Addison County,130,VT,0
779,878,1117,1429,1515,50,Addison County,335,VT,0
779,878,1117,1429,1515,50,Addison County,300,VT,0
779,878,1117,1429,1515,50,Addison County,1165,VT,0
779,878,1117,1429,1515,50,Addison County,1340,VT,0
779,878,1117,1429,1515,50,Addison County,8540,VT,0
779,878,1117,1429,1515,50,Addison County,1950,VT,0
779,878,1117,1429,1515,50,Addison County,1690,VT,0
779,878,1117,1429,1515,50,Addison County,1345,VT,0
779,878,1117,1429,1515,50,Addison County,580,VT,0
779,878,1117,1429,1515,50,Addison County,610,VT,0
779,878,1117,1429,1515,50,Addison County,1085,VT,0
779,878,1117,1429,1515,50,Addison County,1220,VT,0
779,878,1117,1429,1515,50,Addison County,1830,VT,0
779,878,1117,1429,1515,50,Addison County,2605,VT,0
779,878,1117,1429,1515,50,Addison County,425,VT,0
779,878,1117,1429,1515,50,Addison County,885,VT,0
779,878,1117,1429,1515,50,Addison County,370,VT,0
763,822,1018,1337,1380,50,Bennington County,2545,VT,0
763,822,1018,1337,1380,50,Bennington County,15240,VT,0
763,822,1018,1337,1380,50,Bennington County,2080,VT,0
763,822,1018,1337,1380,50,Bennington County,4,VT,0
763,822,1018,1337,1380,50,Bennington County,110,VT,0
763,822,1018,1337,1380,50,Bennington County,4285,VT,0
763,822,1018,1337,1380,50,Bennington County,330,VT,0
763,822,1018,1337,1380,50,Bennington County,3450,VT,0
763,822,1018,1337,1380,50,Bennington County,725,VT,0
763,822,1018,1337,1380,50,Bennington County,645,VT,0
763,822,1018,1337,1380,50,Bennington County,375,VT,0
763,822,1018,1337,1380,50,Bennington County,105,VT,0
763,822,1018,1337,1380,50,Bennington County,3485,VT,0
763,822,1018,1337,1380,50,Bennington County,865,VT,0
763,822,1018,1337,1380,50,Bennington County,900,VT,0
763,822,1018,1337,1380,50,Bennington County,590,VT,0
763,822,1018,1337,1380,50,Bennington County,320,VT,0
741,770,877,1084,1501,50,Caledonia County,1645,VT,0
741,770,877,1084,1501,50,Caledonia County,1450,VT,0
741,770,877,1084,1501,50,Caledonia County,2230,VT,0
741,770,877,1084,1501,50,Caledonia County,995,VT,0
741,770,877,1084,1501,50,Caledonia County,2905,VT,0
741,770,877,1084,1501,50,Caledonia County,600,VT,0
741,770,877,1084,1501,50,Caledonia County,5850,VT,0
741,770,877,1084,1501,50,Caledonia County,560,VT,0
741,770,877,1084,1501,50,Caledonia County,690,VT,0
741,770,877,1084,1501,50,Caledonia County,1000,VT,0
741,770,877,1084,1501,50,Caledonia County,7375,VT,0
741,770,877,1084,1501,50,Caledonia County,670,VT,0
741,770,877,1084,1501,50,Caledonia County,225,VT,0
741,770,877,1084,1501,50,Caledonia County,1035,VT,0
741,770,877,1084,1501,50,Caledonia County,1000,VT,0
741,770,877,1084,1501,50,Caledonia County,1430,VT,0
741,770,877,1084,1501,50,Caledonia County,910,VT,0
1033,1163,1500,1854,2034,50,Chittenden County,1355,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,35,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,42455,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,3820,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,17310,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,20900,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,4510,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,1915,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,5055,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,10760,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,4130,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,680,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,7675,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,18775,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,3055,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,2020,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,9340,VT,1
1033,1163,1500,1854,2034,50,Chittenden County,7205,VT,1
585,654,781,1032,1085,50,Essex County,20,VT,0
585,654,781,1032,1085,50,Essex County,0,VT,0
585,654,781,1032,1085,50,Essex County,230,VT,0
585,654,781,1032,1085,50,Essex County,1105,VT,0
585,654,781,1032,1085,50,Essex County,75,VT,0
585,654,781,1032,1085,50,Essex County,1030,VT,0
585,654,781,1032,1085,50,Essex County,1360,VT,0
585,654,781,1032,1085,50,Essex County,315,VT,0
585,654,781,1032,1085,50,Essex County,4,VT,0
585,654,781,1032,1085,50,Essex County,105,VT,0
585,654,781,1032,1085,50,Essex County,185,VT,0
585,654,781,1032,1085,50,Essex County,135,VT,0
585,654,781,1032,1085,50,Essex County,0,VT,0
585,654,781,1032,1085,50,Essex County,1255,VT,0
585,654,781,1032,1085,50,Essex County,185,VT,0
585,654,781,1032,1085,50,Essex County,125,VT,0
585,654,781,1032,1085,50,Essex County,70,VT,0
585,654,781,1032,1085,50,Essex County,0,VT,0
585,654,781,1032,1085,50,Essex County,0,VT,0
1033,1163,1500,1854,2034,50,Franklin County,1230,VT,1
1033,1163,1500,1854,2034,50,Franklin County,1710,VT,1
1033,1163,1500,1854,2034,50,Franklin County,2760,VT,1
1033,1163,1500,1854,2034,50,Franklin County,4575,VT,1
1033,1163,1500,1854,2034,50,Franklin County,1900,VT,1
1033,1163,1500,1854,2034,50,Franklin County,1425,VT,1
1033,1163,1500,1854,2034,50,Franklin County,1415,VT,1
1033,1163,1500,1854,2034,50,Franklin County,4690,VT,1
1033,1163,1500,1854,2034,50,Franklin County,3625,VT,1
1033,1163,1500,1854,2034,50,Franklin County,1000,VT,1
1033,1163,1500,1854,2034,50,Franklin County,2460,VT,1
1033,1163,1500,1854,2034,50,Franklin County,6845,VT,1
1033,1163,1500,1854,2034,50,Franklin County,6350,VT,1
1033,1163,1500,1854,2034,50,Franklin County,2315,VT,1
1033,1163,1500,1854,2034,50,Franklin County,6520,VT,1
1033,1163,1500,1854,2034,50,Grand Isle County,1650,VT,1
1033,1163,1500,1854,2034,50,Grand Isle County,2230,VT,1
1033,1163,1500,1854,2034,50,Grand Isle County,495,VT,1
1033,1163,1500,1854,2034,50,Grand Isle County,970,VT,1
1033,1163,1500,1854,2034,50,Grand Isle County,1610,VT,1
801,806,1061,1343,1439,50,Lamoille County,410,VT,0
801,806,1061,1343,1439,50,Lamoille County,3800,VT,0
801,806,1061,1343,1439,50,Lamoille County,1255,VT,0
801,806,1061,1343,1439,50,Lamoille County,870,VT,0
801,806,1061,1343,1439,50,Lamoille County,3015,VT,0
801,806,1061,1343,1439,50,Lamoille County,3565,VT,0
801,806,1061,1343,1439,50,Lamoille County,5405,VT,0
801,806,1061,1343,1439,50,Lamoille County,4405,VT,0
801,806,1061,1343,1439,50,Lamoille County,725,VT,0
801,806,1061,1343,1439,50,Lamoille County,1735,VT,0
787,793,1043,1304,1436,50,Orange County,2730,VT,0
787,793,1043,1304,1436,50,Orange County,1105,VT,0
787,793,1043,1304,1436,50,Orange County,1460,VT,0
787,793,1043,1304,1436,50,Orange County,1290,VT,0
787,793,1043,1304,1436,50,Orange County,1375,VT,0
787,793,1043,1304,1436,50,Orange County,1055,VT,0
787,793,1043,1304,1436,50,Orange County,2220,VT,0
787,793,1043,1304,1436,50,Orange County,1005,VT,0
787,793,1043,1304,1436,50,Orange County,4715,VT,0
787,793,1043,1304,1436,50,Orange County,1120,VT,0
787,793,1043,1304,1436,50,Orange County,2565,VT,0
787,793,1043,1304,1436,50,Orange County,1065,VT,0
787,793,1043,1304,1436,50,Orange County,1170,VT,0
787,793,1043,1304,1436,50,Orange County,720,VT,0
787,793,1043,1304,1436,50,Orange County,1145,VT,0
787,793,1043,1304,1436,50,Orange County,710,VT,0
787,793,1043,1304,1436,50,Orange County,3445,VT,0
638,747,851,1132,1244,50,Orleans County,920,VT,0
638,747,851,1132,1244,50,Orleans County,2645,VT,0
638,747,851,1132,1244,50,Orleans County,1050,VT,0
638,747,851,1132,1244,50,Orleans County,1035,VT,0
638,747,851,1132,1244,50,Orleans County,1025,VT,0
638,747,851,1132,1244,50,Orleans County,1215,VT,0
638,747,851,1132,1244,50,Orleans County,4410,VT,0
638,747,851,1132,1244,50,Orleans County,1090,VT,0
638,747,851,1132,1244,50,Orleans County,730,VT,0
638,747,851,1132,1244,50,Orleans County,660,VT,0
638,747,851,1132,1244,50,Orleans County,1240,VT,0
638,747,851,1132,1244,50,Orleans County,675,VT,0
638,747,851,1132,1244,50,Orleans County,765,VT,0
638,747,851,1132,1244,50,Orleans County,515,VT,0
638,747,851,1132,1244,50,Orleans County,4370,VT,0
638,747,851,1132,1244,50,Orleans County,2235,VT,0
638,747,851,1132,1244,50,Orleans County,1455,VT,0
638,747,851,1132,1244,50,Orleans County,560,VT,0
638,747,851,1132,1244,50,Orleans County,340,VT,0
814,834,981,1344,1620,50,Rutland County,1045,VT,0
814,834,981,1344,1620,50,Rutland County,3830,VT,0
814,834,981,1344,1620,50,Rutland County,4600,VT,0
814,834,981,1344,1620,50,Rutland County,1245,VT,0
814,834,981,1344,1620,50,Rutland County,2405,VT,0
814,834,981,1344,1620,50,Rutland County,1415,VT,0
814,834,981,1344,1620,50,Rutland County,2635,VT,0
814,834,981,1344,1620,50,Rutland County,560,VT,0
814,834,981,1344,1620,50,Rutland County,425,VT,0
814,834,981,1344,1620,50,Rutland County,710,VT,0
814,834,981,1344,1620,50,Rutland County,970,VT,0
814,834,981,1344,1620,50,Rutland County,835,VT,0
814,834,981,1344,1620,50,Rutland County,1230,VT,0
814,834,981,1344,1620,50,Rutland County,265,VT,0
814,834,981,1344,1620,50,Rutland County,1345,VT,0
814,834,981,1344,1620,50,Rutland County,410,VT,0
814,834,981,1344,1620,50,Rutland County,2870,VT,0
814,834,981,1344,1620,50,Rutland County,3350,VT,0
814,834,981,1344,1620,50,Rutland County,1670,VT,0
814,834,981,1344,1620,50,Rutland County,15740,VT,0
814,834,981,1344,1620,50,Rutland County,4045,VT,0
814,834,981,1344,1620,50,Rutland County,1140,VT,0
814,834,981,1344,1620,50,Rutland County,615,VT,0
814,834,981,1344,1620,50,Rutland County,600,VT,0
814,834,981,1344,1620,50,Rutland County,2045,VT,0
814,834,981,1344,1620,50,Rutland County,920,VT,0
814,834,981,1344,1620,50,Rutland County,315,VT,0
814,834,981,1344,1620,50,Rutland County,2455,VT,0
760,869,1144,1454,1551,50,Washington County,8780,VT,0
760,869,1144,1454,1551,50,Washington County,7785,VT,0
760,869,1144,1454,1551,50,Washington County,2830,VT,0
760,869,1144,1454,1551,50,Washington County,1320,VT,0
760,869,1144,1454,1551,50,Washington County,1535,VT,0
760,869,1144,1454,1551,50,Washington County,1260,VT,0
760,869,1144,1454,1551,50,Washington County,2595,VT,0
760,869,1144,1454,1551,50,Washington County,1300,VT,0
760,869,1144,1454,1551,50,Washington County,1740,VT,0
760,869,1144,1454,1551,50,Washington County,1670,VT,0
760,869,1144,1454,1551,50,Washington County,7585,VT,0
760,869,1144,1454,1551,50,Washington County,1740,VT,0
760,869,1144,1454,1551,50,Washington County,6100,VT,0
760,869,1144,1454,1551,50,Washington County,1390,VT,0
760,869,1144,1454,1551,50,Washington County,735,VT,0
760,869,1144,1454,1551,50,Washington County,1715,VT,0
760,869,1144,1454,1551,50,Washington County,1715,VT,0
760,869,1144,1454,1551,50,Washington County,5115,VT,0
760,869,1144,1454,1551,50,Washington County,880,VT,0
760,869,1144,1454,1551,50,Washington County,900,VT,0
734,873,1089,1346,1477,50,Windham County,340,VT,0
734,873,1089,1346,1477,50,Windham County,11645,VT,0
734,873,1089,1346,1477,50,Windham County,680,VT,0
734,873,1089,1346,1477,50,Windham County,1205,VT,0
734,873,1089,1346,1477,50,Windham County,1865,VT,0
734,873,1089,1346,1477,50,Windham County,665,VT,0
734,873,1089,1346,1477,50,Windham County,2065,VT,0
734,873,1089,1346,1477,50,Windham County,660,VT,0
734,873,1089,1346,1477,50,Windham County,825,VT,0
734,873,1089,1346,1477,50,Windham County,1580,VT,0
734,873,1089,1346,1477,50,Windham County,1170,VT,0
734,873,1089,1346,1477,50,Windham County,1825,VT,0
734,873,1089,1346,1477,50,Windham County,2665,VT,0
734,873,1089,1346,1477,50,Windham County,5090,VT,0
734,873,1089,1346,1477,50,Windham County,10,VT,0
734,873,1089,1346,1477,50,Windham County,235,VT,0
734,873,1089,1346,1477,50,Windham County,1015,VT,0
734,873,1089,1346,1477,50,Windham County,2235,VT,0
734,873,1089,1346,1477,50,Windham County,825,VT,0
734,873,1089,1346,1477,50,Windham County,3070,VT,0
734,873,1089,1346,1477,50,Windham County,1505,VT,0
734,873,1089,1346,1477,50,Windham County,1770,VT,0
734,873,1089,1346,1477,50,Windham County,380,VT,0
757,891,1044,1454,1490,50,Windsor County,535,VT,0
757,891,1044,1454,1490,50,Windsor County,280,VT,0
757,891,1044,1454,1490,50,Windsor County,760,VT,0
757,891,1044,1454,1490,50,Windsor County,2195,VT,0
757,891,1044,1454,1490,50,Windsor County,900,VT,0
757,891,1044,1454,1490,50,Windsor County,1365,VT,0
757,891,1044,1454,1490,50,Windsor County,3045,VT,0
757,891,1044,1454,1490,50,Windsor County,9680,VT,0
757,891,1044,1454,1490,50,Windsor County,3420,VT,0
757,891,1044,1454,1490,50,Windsor County,1985,VT,0
757,891,1044,1454,1490,50,Windsor County,3340,VT,0
757,891,1044,1454,1490,50,Windsor County,495,VT,0
757,891,1044,1454,1490,50,Windsor County,1010,VT,0
757,891,1044,1454,1490,50,Windsor County,610,VT,0
757,891,1044,1454,1490,50,Windsor County,1060,VT,0
757,891,1044,1454,1490,50,Windsor County,2800,VT,0
757,891,1044,1454,1490,50,Windsor County,1415,VT,0
757,891,1044,1454,1490,50,Windsor County,9085,VT,0
