sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Addison County,50001,-1,-1,354,-1,7,18,1.9,679,317,493,13.1,6.8,6,41,24,14,16,25,8,66,17,64,45,11,22,68,29,45,24,24,9,41,15,35,5,0,0,0,0,0,12,65,64,20,57,25,18,4,5,10,50,-1,-1,-1,-1,-1,VT,-1,-1,100,0,100,0,0
9,1,All HUD,-1,Bennington County,50003,-1,-1,719,-1,6,11,1.8,1322,295,412,12.8,6.9,3,42,29,15,11,17,7,75,20,72,52,13,16,72,25,55,47,31,4,40,16,40,5,2,1,0,0,1,27,72,44,0,63,19,18,4,4,15,41,-1,-1,-1,-1,-1,VT,-1,-1,98,2,98,0,0
9,1,All HUD,-1,Caledonia County,50005,-1,-1,433,-1,7,15,1.6,681,276,433,11.3,7.2,4,48,30,12,7,15,6,77,18,70,53,4,17,72,18,56,30,32,5,33,18,44,8,0,0,0,0,0,11,68,52,10,71,17,12,3,3,12,44,-1,-1,-1,-1,-1,VT,-1,-1,100,0,100,0,0
9,1,All HUD,-1,Chittenden County,50007,-1,-1,3938,-1,5,13,2.0,7840,348,563,14.0,7.0,6,37,23,15,19,28,10,61,24,93,71,14,23,71,32,46,27,22,7,48,15,30,4,9,5,1,2,1,23,68,61,37,48,31,21,9,9,16,32,-1,-1,-1,-1,-1,VT,-1,-1,91,9,91,0,0
9,1,All HUD,-1,Essex County,50009,-1,-1,81,-1,8,9,1.5,118,259,543,11.4,7.9,4,41,38,14,4,7,1,90,18,65,47,2,11,72,11,57,10,20,2,17,17,63,9,4,1,0,1,1,1,60,10,0,74,12,14,9,3,14,53,-1,-1,-1,-1,-1,VT,-1,-1,96,4,96,0,0
9,1,All HUD,-1,Franklin County,50011,-1,-1,680,-1,7,21,1.7,1155,300,540,12.4,7.3,4,43,29,13,13,13,6,80,22,94,75,8,16,75,21,59,27,29,4,33,17,46,6,2,0,1,0,0,27,65,47,8,65,21,14,5,4,9,50,-1,-1,-1,-1,-1,VT,-1,-1,98,2,98,0,0
9,1,All HUD,-1,Grand Isle County,50013,-1,-1,73,-1,6,10,2.0,144,310,556,12.9,6.6,8,33,33,11,15,14,4,77,21,92,74,10,22,70,29,61,28,28,5,34,16,44,8,4,1,3,0,0,5,66,42,27,55,27,18,3,2,6,53,-1,-1,-1,-1,-1,VT,-1,-1,96,4,96,0,0
9,1,All HUD,-1,Lamoille County,50015,-1,-1,237,-1,6,9,1.5,357,277,570,11.4,7.5,2,55,23,12,7,12,4,84,21,78,59,5,15,72,18,64,17,28,4,27,16,53,10,2,1,0,0,0,21,85,22,0,73,18,9,3,3,10,54,-1,-1,-1,-1,-1,VT,-1,-1,98,2,98,0,0
9,1,All HUD,-1,Orange County,50017,-1,-1,283,-1,5,13,1.7,484,285,479,12.1,7.1,4,43,30,12,12,14,5,80,23,81,61,12,13,74,23,55,22,27,7,31,17,45,10,1,0,1,0,0,13,65,47,26,65,21,14,2,3,9,60,-1,-1,-1,-1,-1,VT,-1,-1,99,1,99,0,0
9,1,All HUD,-1,Orleans County,50019,-1,-1,248,-1,6,9,1.8,438,272,432,10.4,5.9,6,58,22,9,5,14,7,77,16,74,64,9,21,75,27,63,41,34,4,44,19,33,5,1,0,0,0,0,13,78,44,18,60,21,18,5,4,14,44,-1,-1,-1,-1,-1,VT,-1,-1,99,1,99,0,0
