sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Addison County,50001,-1,-1,377,-1,5,20,1.9,731,328,489,13.6,7.0,5,38,22,18,16,23,11,64,23,82,60,12,23,67,29,47,27,25,10,42,15,32,3,0,0,0,0,0,8,63,62,21,56,25,18,4,5,10,47,-1,-1,-1,-1,-1,VT,-1,-1,addison vt,100,0,100,0,0
9,1,All HUD,-1,Bennington County,50003,-1,-1,724,-1,6,17,1.8,1339,309,437,13.4,7.3,2,41,29,16,13,19,7,74,26,87,63,13,17,71,26,56,48,31,6,39,16,39,6,2,1,0,0,1,11,72,44,0,63,19,18,4,3,15,41,-1,-1,-1,-1,-1,VT,-1,-1,bennington vt,98,2,98,0,0
9,1,All HUD,-1,Caledonia County,50005,-1,-1,414,-1,6,13,1.6,665,281,463,11.6,7.2,5,46,31,12,7,15,6,78,24,90,68,5,18,74,21,57,34,33,5,33,18,45,8,2,1,0,0,1,7,71,53,10,66,20,14,5,3,12,42,-1,-1,-1,-1,-1,VT,-1,-1,caledonia vt,98,2,98,0,0
9,1,All HUD,-1,Chittenden County,50007,-1,-1,4104,-1,4,18,2.0,8214,356,587,14.4,7.2,6,36,23,15,21,27,10,61,24,92,69,14,23,71,31,47,28,23,7,47,16,30,4,10,6,1,2,1,25,67,61,37,48,32,20,10,9,16,32,-1,-1,-1,-1,-1,VT,-1,-1,chittenden vt,90,10,90,0,0
9,1,All HUD,-1,Essex County,50009,-1,-1,84,-1,7,13,1.5,126,265,559,11.7,7.9,4,43,35,14,5,7,4,87,22,76,54,2,13,76,14,55,12,21,1,20,18,61,6,0,0,0,0,0,1,56,11,0,70,14,15,8,3,14,52,-1,-1,-1,-1,-1,VT,-1,-1,essex vt,100,0,100,0,0
9,1,All HUD,-1,Franklin County,50011,-1,-1,734,-1,5,17,1.8,1293,311,555,12.9,7.3,3,43,25,16,12,14,9,76,20,86,69,9,18,75,24,57,28,29,4,36,17,43,6,2,1,1,0,1,9,66,51,8,62,22,16,5,4,9,45,-1,-1,-1,-1,-1,VT,-1,-1,franklin vt,98,2,98,0,0
9,1,All HUD,-1,Grand Isle County,50013,-1,-1,71,-1,6,13,2.0,139,305,590,12.8,6.6,8,34,28,17,13,17,8,72,20,85,65,6,31,69,34,47,32,29,4,41,15,39,6,4,1,3,0,0,21,59,44,24,55,23,23,4,2,5,53,-1,-1,-1,-1,-1,VT,-1,-1,grand isle vt,96,4,96,0,0
9,1,All HUD,-1,Lamoille County,50015,-1,-1,255,-1,5,16,1.6,407,284,593,11.8,7.4,2,45,31,13,8,13,3,84,25,89,66,5,18,73,21,56,20,27,5,30,15,50,8,2,0,0,1,0,6,79,27,0,69,20,11,3,3,10,52,-1,-1,-1,-1,-1,VT,-1,-1,lamoille vt,98,2,98,0,0
9,1,All HUD,-1,Orange County,50017,-1,-1,292,-1,5,12,1.7,507,304,483,12.8,7.4,4,41,28,14,13,16,5,78,25,84,59,12,14,75,24,53,25,26,6,32,15,47,9,1,0,1,0,0,19,67,45,27,65,21,15,4,3,9,57,-1,-1,-1,-1,-1,VT,-1,-1,orange vt,99,1,99,0,0
9,1,All HUD,-1,Orleans County,50019,-1,-1,240,-1,5,8,1.7,407,270,458,10.9,6.4,2,60,25,8,6,13,4,82,21,88,74,7,19,74,23,65,40,35,3,40,19,38,5,0,0,0,0,0,5,82,43,20,64,19,17,4,4,14,42,-1,-1,-1,-1,-1,VT,-1,-1,orleans vt,100,0,100,0,0
