sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Addison County,50001,-1,-1,358.0,-1.0,5.0,10.0,1.9,686.0,328.0,530.0,13.4,6.9,4.0,36.0,28.0,17.0,15.0,21.0,10.0,68.0,24.0,87.0,65.0,10.0,24.0,68.0,31.0,51.0,31.0,27.0,7.0,42.0,17.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,73.0,62.0,21.0,54.0,28.0,17.0,5.0,5,10,49,-1,-1,-1,-1,-1,VT,-1,-1,addison vt,100.0,0.0,100.0,0,0
9,1,All HUD,-1,Bennington County,50003,-1,-1,705.0,-1.0,5.0,10.0,1.8,1286.0,321.0,490.0,13.7,7.5,3.0,38.0,31.0,14.0,14.0,18.0,5.0,75.0,26.0,87.0,61.0,11.0,17.0,71.0,26.0,56.0,51.0,33.0,6.0,38.0,16.0,40.0,6.0,2.0,1.0,0.0,0.0,1.0,8.0,81.0,44.0,0.0,63.0,18.0,19.0,5.0,4,15,38,-1,-1,-1,-1,-1,VT,-1,-1,bennington vt,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Caledonia County,50005,-1,-1,411.0,-1.0,6.0,11.0,1.6,678.0,291.0,503.0,11.9,7.2,3.0,46.0,31.0,10.0,9.0,13.0,5.0,81.0,24.0,87.0,66.0,9.0,14.0,75.0,21.0,59.0,36.0,33.0,3.0,30.0,19.0,47.0,9.0,2.0,1.0,0.0,0.0,1.0,21.0,77.0,52.0,12.0,68.0,17.0,15.0,5.0,3,11,40,-1,-1,-1,-1,-1,VT,-1,-1,caledonia vt,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Chittenden County,50007,-1,-1,4012.0,-1.0,4.0,8.0,2.0,8047.0,366.0,615.0,14.7,7.3,5.0,35.0,23.0,15.0,22.0,26.0,9.0,63.0,25.0,91.0,68.0,14.0,22.0,71.0,30.0,49.0,31.0,24.0,6.0,46.0,17.0,31.0,4.0,10.0,6.0,1.0,2.0,1.0,28.0,76.0,61.0,42.0,49.0,31.0,20.0,9.0,9,15,33,-1,-1,-1,-1,-1,VT,-1,-1,chittenden vt,90.0,10.0,90.0,0,0
9,1,All HUD,-1,Essex County,50009,-1,-1,82.0,-1.0,7.0,10.0,1.5,124.0,299.0,568.0,13.0,8.7,2.0,30.0,40.0,18.0,9.0,10.0,2.0,87.0,22.0,71.0,45.0,4.0,12.0,68.0,13.0,57.0,11.0,22.0,1.0,23.0,18.0,57.0,9.0,1.0,0.0,1.0,0.0,0.0,-2.0,61.0,15.0,0.0,71.0,12.0,17.0,10.0,3,14,52,-1,-1,-1,-1,-1,VT,-1,-1,essex vt,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Franklin County,50011,-1,-1,723.0,-1.0,4.0,8.0,1.7,1263.0,320.0,594.0,13.0,7.4,2.0,43.0,27.0,15.0,14.0,13.0,8.0,79.0,23.0,92.0,73.0,9.0,17.0,74.0,24.0,60.0,31.0,30.0,3.0,35.0,18.0,44.0,7.0,3.0,1.0,2.0,0.0,0.0,8.0,75.0,50.0,9.0,62.0,23.0,15.0,6.0,4,10,49,-1,-1,-1,-1,-1,VT,-1,-1,franklin vt,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Grand Isle County,50013,-1,-1,71.0,-1.0,4.0,6.0,1.8,131.0,325.0,581.0,13.3,7.2,6.0,39.0,25.0,14.0,15.0,18.0,6.0,75.0,21.0,80.0,62.0,10.0,24.0,70.0,32.0,53.0,42.0,37.0,6.0,38.0,20.0,37.0,4.0,1.0,0.0,1.0,0.0,0.0,-2.0,71.0,41.0,23.0,58.0,21.0,21.0,6.0,2,5,52,-1,-1,-1,-1,-1,VT,-1,-1,grand isle vt,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Lamoille County,50015,-1,-1,263.0,-1.0,5.0,8.0,1.7,439.0,293.0,647.0,12.1,7.3,2.0,44.0,32.0,14.0,8.0,14.0,5.0,81.0,25.0,90.0,65.0,6.0,19.0,75.0,24.0,58.0,22.0,26.0,5.0,29.0,16.0,50.0,9.0,2.0,1.0,0.0,0.0,0.0,28.0,83.0,28.0,0.0,68.0,19.0,13.0,3.0,4,10,52,-1,-1,-1,-1,-1,VT,-1,-1,lamoille vt,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Orange County,50017,-1,-1,292.0,-1.0,5.0,10.0,1.8,518.0,312.0,516.0,13.0,7.4,3.0,39.0,30.0,13.0,14.0,21.0,6.0,72.0,25.0,83.0,57.0,11.0,15.0,75.0,23.0,51.0,27.0,25.0,4.0,34.0,16.0,46.0,8.0,1.0,0.0,0.0,0.0,0.0,10.0,68.0,47.0,29.0,62.0,20.0,17.0,5.0,2,9,56,-1,-1,-1,-1,-1,VT,-1,-1,orange vt,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Orleans County,50019,-1,-1,216.0,-1.0,5.0,5.0,1.7,371.0,282.0,500.0,11.3,6.5,4.0,53.0,27.0,8.0,8.0,13.0,4.0,81.0,23.0,89.0,71.0,7.0,18.0,75.0,21.0,64.0,37.0,34.0,4.0,39.0,21.0,37.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,89.0,47.0,23.0,64.0,18.0,18.0,4.0,4,15,43,-1,-1,-1,-1,-1,VT,-1,-1,orleans vt,99.0,1.0,99.0,0,0
