gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,VT Vermont,VT Addison County 50001,9,Summary of All HUD Programs,1,A,Addison County,50001,415.0,95,374,99,6.21307806221197,7,1.92015737401844,728.774359818774,345.909404743034,563.037586861104,13882.0994360102,7229.66753863421,6,37,22,17,18,16,9,73,25,96,73,8,28,69,31,50,33,26,4,43,19,34,3,3,1,1,1,1,4.9047619047619,80.7392891027167,63,104.446753770109,55,30,15,4,19,8,59,A,A,A,-1,-1,VT,-1,A,addison vt,97,3,97,0,0
County,VT Vermont,VT Bennington County 50003,9,Summary of All HUD Programs,1,A,Bennington County,50003,792.0,93,726,98,5.59838216191002,8,1.83797512484021,1354.84224433539,356.233704631353,532.137097731377,13798.1373071425,7507.24921173351,4,36,27,18,15,15,6,78,27,95,68,4,25,71,26,61,56,37,5,38,21,37,5,3,1,0,0,2,13.2223734045325,88.6129217943217,44,100.301113271147,63,19,18,4,16,5,49,A,A,A,-1,-1,VT,-1,A,bennington vt,97,3,97,0,0
County,VT Vermont,VT Caledonia County 50005,9,Summary of All HUD Programs,1,A,Caledonia County,50005,428.0,96,415,99,6.41041226466603,9,1.59724165303581,667.362334369145,305.511842529222,547.520688821226,12679.0528593035,7938.09304634961,3,45,27,12,13,11,6,82,26,96,74,5,17,72,19,63,39,36,4,30,21,45,8,2,1,1,0,0,8.57621516148538,80.9352744623872,48,84.7722880049224,66,18,15,9,17,5,53,A,A,A,-1,-1,VT,-1,A,caledonia vt,98,2,98,0,0
County,VT Vermont,VT Chittenden County 50007,9,Summary of All HUD Programs,1,A,Chittenden County,50007,4446.0,96,4040,98,4.96695892130709,6,2.03955362191377,8601.09590938254,373.135616738213,707.052320310065,15493.3822242786,7599.94533762148,4,32,24,17,23,24,9,67,25,94,72,6,28,69,28,51,37,26,3,46,20,32,5,15,8,1,4,2,19.7894469043156,83.5810807050236,58,144.67083935233,49,32,18,9,20,14,36,A,A,A,-1,-1,VT,-1,A,chittenden vt,85,15,85,0,0
County,VT Vermont,VT Essex County 50009,9,Summary of All HUD Programs,1,A,Essex County,50009,77.0,94,71,96,7.7286363067898,6,1.4662882059229,125.226962457338,307.224572030047,682.516905922437,13510.8026579578,9214.28857122525,4,28,37,18,13,2,4,94,29,94,64,2,14,66,15,63,14,26,1,21,16,62,15,3,0,3,0,0,0.7,76.1766219455427,18,93.5333333333333,70,15,15,9,19,4,80,A,A,A,-1,-1,VT,-1,A,essex vt,97,3,97,0,0
County,VT Vermont,VT Franklin County 50011,9,Summary of All HUD Programs,1,A,Franklin County,50011,833.0,93,776,98,5.60756936230497,6,1.83795280522406,1504.95959735411,329.03131478382,679.523113486202,13493.4792311608,7341.58091154893,4,38,27,17,15,10,9,81,23,98,81,5,24,73,25,60,41,34,2,39,20,39,6,5,1,3,0,1,16.2010651465399,80.1038238907175,52,159.85718187261,57,26,18,9,14,6,60,A,A,A,-1,-1,VT,-1,A,franklin vt,95,5,95,0,0
County,VT Vermont,VT Grand Isle County 50013,9,Summary of All HUD Programs,1,A,Grand Isle County,50013,91.0,93,85,96,4.43955720004853,8,1.84376189193511,162.881190747061,365.841308845848,624.813352034026,14481.3046719945,7854.21628212295,3,31,23,25,18,17,2,81,24,100,76,11,19,71,25,57,51,38,2,35,23,40,5,5,0,4,0,1,25.6083333333333,68.5955702315911,46,173.830200070167,50,31,19,12,6,5,80,A,A,A,-1,-1,VT,-1,A,grand isle vt,95,5,95,0,0
County,VT Vermont,VT Lamoille County 50015,9,Summary of All HUD Programs,1,A,Lamoille County,50015,245.0,94,232,99,5.36347987269208,8,1.67122132224189,456.877942252913,330.13020269153,654.958194749358,13572.1563272069,8121.1005069037,2,34,31,17,16,7,7,85,27,97,68,5,20,67,22,62,40,36,4,32,18,46,10,5,2,1,0,2,12.4805131115204,88.2603297649714,29,134.101265822785,67,21,11,4,12,5,65,A,A,A,-1,-1,VT,-1,A,lamoille vt,95,5,95,0,0
County,VT Vermont,VT No county code 50999,9,Summary of All HUD Programs,1,A,Missing County,50999,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,VT,-1,A,nan vt,-1,-1,-1,0,0
County,VT Vermont,VT Orange County 50017,9,Summary of All HUD Programs,1,A,Orange County,50017,304.0,93,288,98,5.47931011458174,6,1.7207640129703,507.94639518319,323.813723944805,611.681593558326,13734.4401739388,7981.59426302222,1,37,31,15,16,14,5,80,27,95,66,8,18,73,22,53,35,28,2,34,13,50,9,2,1,0,0,2,10.4361554742044,78.7949724450438,48,102.400740921543,62,23,15,7,10,4,77,A,A,A,-1,-1,VT,-1,A,orange vt,98,2,98,0,0
County,VT Vermont,VT Orleans County 50019,9,Summary of All HUD Programs,1,A,Orleans County,50019,244.0,95,231,99,5.61670616718283,8,1.43665035222754,320.788169831685,280.432768487684,549.832668436328,10790.5742644687,7510.92584757163,5,55,26,11,3,6,8,85,23,100,82,2,15,71,14,74,44,45,2,36,22,40,4,2,0,2,0,0,1.86190476190476,85.8654878968365,50,133.047430039709,73,14,13,6,20,5,62,A,A,A,-1,-1,VT,-1,A,orleans vt,98,2,98,0,0
