Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2020-12-31 00:00:00,County,VT Vermont,VT Addison County 50001,9,Summary of All HUD Programs,1,,Addison County,50001,396,86,356,100,7,11,1.7,592,375,741,15684,9432,3,14,40,21,23,12,8,77,26,94,71,5,22,68,24,57,42,32,2,35,22,41,5,3,1,1,1,96,-1,0,-1,0,1,14,109,58,83,60,26,14,10,10,9,58,,,,,,VT,,,addison vt,4,96,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Addison County 50001,9,Housing Choice Vouchers,3,,Addison County,50001,275,83,242,100,6,13,1.8,441,377,769,15317,8405,3,17,42,17,21,16,11,71,24,95,74,7,28,67,31,58,69,35,3,45,27,25,1,2,1,0,0,98,-1,0,-1,0,0,14,114,76,81,51,32,17,11,10,10,56,,,,,,VT,,,addison vt,2,98,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Addison County 50001,9,Project Based Section 8,5,,Addison County,50001,103,98,100,99,9,4,1.4,135,380,731,16942,12549,3,6,35,27,29,6,2,90,29,92,63,1,10,74,10,46,23,23,1,15,10,74,11,4,-1,2,2,92,-1,-1,-1,0,2,-1,102,17,116,75,15,10,8,10,7,61,,,,,,VT,,,addison vt,4,96,0,1
2020-12-31 00:00:00,County,VT Vermont,VT Addison County 50001,9,202/PRAC,8,,Addison County,50001,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VT,,,addison vt,-4,-4,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Addison County 50001,9,811/PRAC,9,,Addison County,50001,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,VT,,,addison vt,-4,-4,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Bennington County 50003,9,Summary of All HUD Programs,1,,Bennington County,50003,646,114,766,100,6,11,1.9,1447,372,691,15661,8291,3,11,45,17,23,14,6,80,27,95,69,4,24,69,25,59,63,37,3,34,22,40,4,4,2,0,0,95,0,2,-1,2,0,11,82,48,85,62,20,18,5,17,5,52,,,,,,VT,,,bennington vt,5,95,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Bennington County 50003,9,Housing Choice Vouchers,3,,Bennington County,50003,495,120,624,100,5,12,2.0,1271,374,677,15489,7604,4,12,46,14,23,15,7,77,26,95,72,4,29,71,29,58,86,38,4,40,24,32,2,4,2,0,-1,96,0,1,-1,2,0,11,81,58,85,56,23,22,6,19,5,47,,,,,,VT,,,bennington vt,4,96,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Bennington County 50003,9,Project Based Section 8,5,,Bennington County,50003,151,97,142,96,8,10,1.2,176,365,749,16421,13249,2,6,40,29,23,8,-1,92,30,95,54,2,5,62,5,72,21,28,2,9,15,74,15,5,1,-1,1,92,-1,2,-1,2,0,-1,87,-1,-1,89,11,-1,1,8,5,71,,,,,,VT,,,bennington vt,8,92,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Caledonia County 50005,9,Summary of All HUD Programs,1,,Caledonia County,50005,379,90,353,100,7,16,1.7,604,339,761,14129,8257,2,14,53,13,18,14,5,80,24,98,76,7,18,73,21,60,42,33,2,31,20,47,3,3,1,1,0,94,-1,0,-1,0,1,41,85,44,103,59,22,19,12,15,5,58,,,,,,VT,,,caledonia vt,6,94,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Caledonia County 50005,9,Housing Choice Vouchers,3,,Caledonia County,50005,183,83,161,100,6,22,1.9,304,360,769,14425,7639,2,19,50,9,21,14,7,78,24,97,78,11,19,73,24,63,75,41,3,39,27,31,1,1,1,-1,-1,99,-1,-1,-1,0,0,41,102,73,114,47,31,22,14,15,5,57,,,,,,VT,,,caledonia vt,1,99,0,0
2020-12-31 00:00:00,County,VT Vermont,VT Caledonia County 50005,9,Project Based Section 8,5,,Caledonia County,50005,163,98,161,100,8,12,1.7,268,328,776,14012,8418,3,9,54,16,18,16,3,78,25,99,75,5,19,72,22,55,29,25,1,30,17,53,4,4,1,2,1,90,-1,1,-1,1,1,-1,70,23,68,63,17,20,12,14,5,60,,,,,,VT,,,caledonia vt,6,94,0,1
2020-12-31 00:00:00,County,VT Vermont,VT Caledonia County 50005,9,202/PRAC,8,,Caledonia County,50005,33,97,31,97,11,10,1.0,32,298,647,13198,12786,-1,10,65,16,10,-1,-1,100,25,100,74,-1,-1,74,-1,100,23,25,-1,-1,3,97,6,6,3,3,-1,94,-1,-1,-1,0,3,-1,76,-1,-1,100,-1,-1,-1,17,5,54,,,,,,VT,,,caledonia vt,6,94,0,0
