State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Vermont,Addison County,0,0,0
Vermont,Bennington County,0,0,0
Vermont,Caledonia County,134,17,117
Vermont,Chittenden County,168,35,133
Vermont,Essex County,0,0,0
Vermont,Franklin County,158,33,125
Vermont,Grand Isle County,0,0,0
Vermont,Lamoille County,0,0,0
Vermont,Orange County,0,0,0
Vermont,Orleans County,422,92,330
Vermont,Rutland County,150,27,123
Vermont,Washington County,0,0,0
Vermont,Windham County,0,0,0
Vermont,Windsor County,475,87,388
