State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Addison County,25450,29050,32700,36300,39250,42150,45050,47950,15300,17450,19790,23850,27910,31970,36030,40090,40700,46500,52300,58100,62750,67400,72050,76700
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
VT,Bennington County,22450,25650,28850,32050,34650,37200,39750,42350,13500,15730,19790,23850,27910,31970,36030,40090,35950,41050,46200,51300,55450,59550,63650,67750
