State code,PUMA,County code,State abbr.,County_Name,allocation factor
53,20501,53005,WA,Benton WA,0.2569
53,20501,53021,WA,Franklin WA,0.2082
53,20501,53071,WA,Walla Walla WA,0.5349
53,20502,53005,WA,Benton WA,1.0
53,20503,53005,WA,Benton WA,0.4209
53,20503,53021,WA,Franklin WA,0.5791
53,20700,53007,WA,Chelan WA,0.6481
53,20700,53017,WA,Douglas WA,0.3519
53,20900,53009,WA,Clallam WA,0.7006
53,20900,53031,WA,Jefferson WA,0.2994
53,21101,53011,WA,Clark WA,1.0
53,21102,53011,WA,Clark WA,1.0
53,21103,53011,WA,Clark WA,1.0
53,21104,53011,WA,Clark WA,1.0
53,21500,53015,WA,Cowlitz WA,0.7994
53,21500,53049,WA,Pacific WA,0.1687
53,21500,53069,WA,Wahkiakum WA,0.0319
53,22500,53025,WA,Grant WA,0.6909
53,22500,53037,WA,Kittitas WA,0.3091
53,22700,53027,WA,Grays Harbor WA,0.5351
53,22700,53045,WA,Mason WA,0.4649
53,22900,53029,WA,Island WA,0.83
53,22900,53055,WA,San Juan WA,0.17
53,23301,53033,WA,King WA,1.0
53,23302,53033,WA,King WA,1.0
53,23303,53033,WA,King WA,1.0
53,23304,53033,WA,King WA,1.0
53,23305,53033,WA,King WA,1.0
53,23306,53033,WA,King WA,1.0
53,23307,53033,WA,King WA,1.0
53,23308,53033,WA,King WA,1.0
53,23309,53033,WA,King WA,1.0
53,23310,53033,WA,King WA,1.0
53,23311,53033,WA,King WA,1.0
53,23312,53033,WA,King WA,1.0
53,23313,53033,WA,King WA,1.0
53,23314,53033,WA,King WA,1.0
53,23315,53033,WA,King WA,1.0
53,23316,53033,WA,King WA,1.0
53,23317,53033,WA,King WA,1.0
53,23318,53033,WA,King WA,1.0
53,23501,53035,WA,Kitsap WA,1.0
53,23502,53035,WA,Kitsap WA,1.0
53,24100,53039,WA,Klickitat WA,0.1944
53,24100,53041,WA,Lewis WA,0.7026
53,24100,53059,WA,Skamania WA,0.1029
53,25301,53053,WA,Pierce WA,1.0
53,25302,53053,WA,Pierce WA,1.0
53,25303,53053,WA,Pierce WA,1.0
53,25304,53053,WA,Pierce WA,1.0
53,25305,53053,WA,Pierce WA,1.0
53,25306,53053,WA,Pierce WA,1.0
53,25307,53053,WA,Pierce WA,1.0
53,25308,53053,WA,Pierce WA,1.0
53,25701,53057,WA,Skagit WA,1.0
53,26101,53061,WA,Snohomish WA,1.0
53,26102,53061,WA,Snohomish WA,1.0
53,26103,53061,WA,Snohomish WA,1.0
53,26104,53061,WA,Snohomish WA,1.0
53,26105,53061,WA,Snohomish WA,1.0
53,26106,53061,WA,Snohomish WA,1.0
53,26301,53063,WA,Spokane WA,1.0
53,26302,53063,WA,Spokane WA,1.0
53,26303,53063,WA,Spokane WA,1.0
53,26304,53063,WA,Spokane WA,1.0
53,26500,53019,WA,Ferry WA,0.0658
53,26500,53047,WA,Okanogan WA,0.3858
53,26500,53051,WA,Pend Oreille WA,0.1228
53,26500,53065,WA,Stevens WA,0.4256
53,26701,53067,WA,Thurston WA,1.0
53,26702,53067,WA,Thurston WA,1.0
53,27301,53073,WA,Whatcom WA,1.0
53,27302,53073,WA,Whatcom WA,1.0
53,27500,53001,WA,Adams WA,0.1909
53,27500,53003,WA,Asotin WA,0.2064
53,27500,53013,WA,Columbia WA,0.0366
53,27500,53023,WA,Garfield WA,0.0212
53,27500,53043,WA,Lincoln WA,0.1007
53,27500,53075,WA,Whitman WA,0.4443
53,27701,53077,WA,Yakima WA,1.0
53,27702,53077,WA,Yakima WA,1.0
