fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
663,795,906,1264,1551,53,Adams County,19260,WA,0
615,717,925,1314,1583,53,Asotin County,22260,WA,1
704,855,1060,1423,1792,53,Benton County,190530,WA,1
748,917,1126,1546,1791,53,Chelan County,75140,WA,1
749,857,1127,1597,1759,53,Clallam County,73440,WA,0
1416,1512,1735,2451,2903,53,Clark County,457475,WA,1
650,743,978,1220,1655,53,Columbia County,4000,WA,0
707,808,1055,1499,1806,53,Cowlitz County,103590,WA,1
748,917,1126,1546,1791,53,Douglas County,40585,WA,1
563,644,847,1203,1433,53,Ferry County,7570,WA,0
704,855,1060,1423,1792,53,Franklin County,89125,WA,1
520,687,783,1087,1325,53,Garfield County,2225,WA,0
597,701,876,1244,1424,53,Grant County,93420,WA,0
588,711,885,1257,1515,53,Grays Harbor County,71455,WA,0
917,923,1215,1726,2080,53,Island County,80325,WA,0
754,885,1046,1486,1790,53,Jefferson County,30525,WA,0
1674,1739,2044,2796,3285,53,King County,2118120,WA,1
1174,1368,1765,2435,2909,53,Kitsap County,258905,WA,1
750,858,1129,1604,1932,53,Kittitas County,43725,WA,0
775,781,1027,1390,1444,53,Klickitat County,21170,WA,0
680,792,1023,1392,1623,53,Lewis County,76010,WA,0
589,674,887,1152,1518,53,Lincoln County,10345,WA,0
710,938,1069,1504,1529,53,Mason County,61570,WA,0
597,718,899,1277,1539,53,Okanogan County,41375,WA,0
631,721,949,1335,1469,53,Pacific County,20940,WA,0
662,757,996,1231,1540,53,Pend Oreille County,13065,WA,0
1056,1162,1484,2108,2540,53,Pierce County,845195,WA,1
901,1028,1352,1834,2149,53,San Juan County,16220,WA,0
868,1035,1307,1857,2176,53,Skagit County,121725,WA,1
1416,1512,1735,2451,2903,53,Skamania County,11500,WA,1
1674,1739,2044,2796,3285,53,Snohomish County,771905,WA,1
701,795,1033,1467,1745,53,Spokane County,490765,WA,1
544,606,795,1129,1361,53,Stevens County,43860,WA,1
1035,1076,1273,1808,2179,53,Thurston County,269885,WA,1
577,660,869,1234,1471,53,Wahkiakum County,4105,WA,0
760,869,1144,1625,1747,53,Walla Walla County,59860,WA,1
926,996,1254,1781,2146,53,Whatcom County,212740,WA,1
662,763,977,1388,1672,53,Whitman County,47795,WA,0
772,798,1050,1492,1607,53,Yakima County,248280,WA,1
