gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,WA Washington,WA Adams County 53001,9,Summary of All HUD Programs,1,A,Adams County,53001,107.0,93,98,92,5.33808332777518,22,3.26968816067653,346.083916083916,332.806223572938,408.355377906976,13924.8205602537,4221.97661143665,8,32,28,14,19,46,15,38,27,91,64,17,56,76,61,9,48,6,13,63,12,12,0,87,0,1,0,87,13.4166666666667,44.7597813160676,100,83.4980179704016,11,35,54,10,25,67,52,A,A,A,-1,-1,WA,-1,A,adams wa,13,87,13,0,0
County,WA Washington,WA Asotin County 53003,9,Summary of All HUD Programs,1,A,Asotin County,53003,407.0,97,395,99,5.59895521939971,10,2.1681657291794,807.928563717449,281.067828495721,391.160165633605,11792.0298649692,5442.31672913038,8,44,25,11,11,20,11,66,27,94,71,4,41,81,42,51,33,24,4,55,15,26,3,9,1,5,1,3,28.9707822632669,61.9581153805603,90,90.4350928213875,33,39,28,17,20,6,50,A,A,A,-1,-1,WA,-1,A,asotin wa,91,9,91,0,0
County,WA Washington,WA Benton County 53005,9,Summary of All HUD Programs,1,A,Benton County,53005,2048.0,92,1829,96,5.71190330487528,11,1.86897550630782,3434.31144015196,290.933777309166,416.809290258187,12263.0487633735,6556.40333855474,7,39,28,16,11,17,10,73,24,98,74,5,27,74,28,45,25,23,6,41,16,37,4,19,4,0,3,13,13.7352484597717,55.7860126228008,87,90.0947076694471,53,30,16,11,17,26,40,A,A,A,-1,-1,WA,-1,A,benton wa,81,19,81,0,0
County,WA Washington,WA Chelan County 53007,9,Summary of All HUD Programs,1,A,Chelan County,53007,727.0,96,646,98,5.91355578144502,14,1.51346859359925,1011.02115328092,280.530319667017,382.983668665929,11862.9333093421,7825.35595325847,4,44,30,15,8,7,3,89,27,95,66,4,13,70,15,69,28,33,1,26,22,52,7,11,2,2,1,6,14.6344444444445,66.0432858446161,56,41.1160903682429,68,21,10,11,16,25,47,A,A,A,-1,-1,WA,-1,A,chelan wa,89,11,89,0,0
County,WA Washington,WA Clallam County 53009,9,Summary of All HUD Programs,1,A,Clallam County,53009,768.0,94,724,99,6.66126538886281,15,1.80886023518274,1316.09980430527,271.714490380095,413.042570946961,11117.840493236,6149.28723756102,6,50,27,9,8,14,14,72,26,95,74,7,26,70,29,64,50,36,4,47,26,23,2,12,2,7,1,2,17.4979375895281,67.7034347254375,73,104.206311286221,50,29,21,16,15,11,52,A,A,A,-1,-1,WA,-1,A,clallam wa,88,12,88,0,0
County,WA Washington,WA Clark County 53011,9,Summary of All HUD Programs,1,A,Clark County,53011,4034.0,98,3704,96,5.57246710774703,6,2.11202663056479,8092.65771384876,312.047633855168,431.002885481706,5046.0298505708,2380.54523077898,60,18,13,5,4,15,10,74,16,99,88,8,25,73,28,47,59,31,1,40,17,42,4,19,9,1,6,4,-1.0,60.397369471856,85,88.0493962176044,40,34,26,17,17,18,40,A,A,A,-1,-1,WA,-1,A,clark wa,81,19,81,0,0
County,WA Washington,WA Columbia County 53013,9,Summary of All HUD Programs,1,A,Columbia County,53013,34.0,95,34,100,6.07352941176471,24,1.52941176470588,50.0740740740741,275.911764705882,380.529411764706,10408.0588235294,6805.26923076923,3,50,32,12,3,3,15,82,24,100,85,6,9,74,15,84,11,48,0,44,29,26,9,9,3,3,0,3,11.3333333333333,64.6852941176471,97,95.939393939394,24,53,24,53,13,10,60,A,A,A,-1,-1,WA,-1,A,columbia wa,91,9,91,0,0
County,WA Washington,WA Cowlitz County 53015,9,Summary of All HUD Programs,1,A,Cowlitz County,53015,1683.0,96,1547,98,5.59942560177294,10,1.96223430897989,3017.86724204368,268.038284064318,470.600930724964,10539.8525200123,5371.35268289735,9,50,24,10,6,10,16,73,23,98,80,6,29,77,33,59,52,33,3,51,25,22,1,8,2,2,2,3,31.0305111625537,65.4184911340305,96,101.728484588812,36,38,25,23,23,14,39,A,A,A,-1,-1,WA,-1,A,cowlitz wa,92,8,92,0,0
County,WA Washington,WA Douglas County 53017,9,Summary of All HUD Programs,1,A,Douglas County,53017,165.0,94,155,95,5.65605242685976,9,2.39846769582619,390.911990060054,295.28722190458,448.863615908196,11057.8845283019,4588.36025478435,7,46,28,14,5,21,10,67,23,99,79,13,40,76,44,38,74,21,6,60,16,18,1,22,1,2,1,19,15.1866666666667,68.4430528344238,95,36.2346388577753,14,49,37,30,18,22,44,A,A,A,-1,-1,WA,-1,A,douglas wa,78,22,78,0,0
County,WA Washington,WA Ferry County 53019,9,Summary of All HUD Programs,1,A,Ferry County,53019,45.0,91,39,91,5.76282320055905,31,1.68720930232558,72.55,242.032558139535,426.333333333333,10084.0189922481,5976.74454399265,11,51,25,13,0,13,11,77,24,100,77,3,21,75,23,73,80,45,5,51,31,13,0,5,0,5,0,0,35.8083333333333,28.2464082687339,75,88.8704663212435,44,41,15,25,17,8,52,A,A,A,-1,-1,WA,-1,A,ferry wa,95,5,95,0,0
County,WA Washington,WA Franklin County 53021,9,Summary of All HUD Programs,1,A,Franklin County,53021,738.0,96,675,98,5.87117562951752,14,2.8393477356015,1952.62716519046,291.084480062184,389.656641456199,11935.102944029,4181.30790511243,8,42,24,13,12,27,23,47,21,99,84,12,44,72,47,29,37,13,7,56,16,20,2,70,5,1,2,62,25.8904779424962,53.4660557767416,100,89.7095893984628,37,35,28,7,28,68,39,A,A,A,-1,-1,WA,-1,A,franklin wa,30,70,30,0,0
County,WA Washington,WA Garfield County 53023,9,Summary of All HUD Programs,1,A,Garfield County,53023,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WA,-1,A,garfield wa,-1,-1,-1,0,0
County,WA Washington,WA Grant County 53025,9,Summary of All HUD Programs,1,A,Grant County,53025,782.0,94,707,95,6.87477983971796,15,2.35924609369456,1730.67513515301,280.677504917271,368.940580276046,11745.3497184544,4956.12629494017,9,42,26,13,11,20,16,62,25,96,71,9,34,71,36,41,38,18,7,47,16,30,1,34,3,3,1,29,20.7130653469574,49.9244003854928,79,65.2595540916167,34,32,34,19,20,32,43,A,A,A,-1,-1,WA,-1,A,grant wa,66,34,66,0,0
County,WA Washington,WA Grays Harbor County 53027,9,Summary of All HUD Programs,1,A,Grays Harbor County,53027,863.0,95,826,98,5.865086204448,15,1.7959939978588,1479.96142165042,252.226756739803,327.482962853583,11026.2864258414,6134.35321977288,7,46,28,12,6,13,11,76,26,96,72,5,24,70,26,54,51,31,5,41,24,29,3,9,1,3,1,4,13.043383666099,55.3588070496657,56,88.8819842329841,65,20,15,2,18,14,54,A,A,A,-1,-1,WA,-1,A,grays harbor wa,91,9,91,0,0
County,WA Washington,WA Island County 53029,9,Summary of All HUD Programs,1,A,Island County,53029,472.0,94,450,100,6.53378437850761,8,1.68387366176343,763.711222806228,283.783656971639,573.975090373378,12622.3111123687,7495.99652217974,6,44,23,13,15,16,6,78,22,98,79,4,24,78,25,59,21,30,1,41,22,36,7,11,4,1,3,2,20.624985456997,70.7219303103764,92,132.346171049854,46,31,23,25,8,18,51,A,A,A,-1,-1,WA,-1,A,island wa,89,11,89,0,0
County,WA Washington,WA Jefferson County 53031,9,Summary of All HUD Programs,1,A,Jefferson County,53031,247.0,95,227,100,7.8109894286443,12,1.44816731550616,332.231120477697,277.66785717176,442.968353395687,11211.9775011379,7742.18378020711,5,54,22,15,4,9,5,87,25,97,75,3,13,71,14,75,30,39,0,26,27,47,2,7,1,3,2,2,21.9047619047619,60.599036747303,50,115.179374872179,63,26,11,18,14,8,57,A,A,A,-1,-1,WA,-1,A,jefferson wa,93,7,93,0,0
County,WA Washington,WA King County 53033,9,Summary of All HUD Programs,1,A,King County,53033,32251.0,96,27917,83,5.88916226268653,7,2.10442325975447,63735.4074606268,320.483520216989,757.929275199223,12511.289693566,5941.2863072088,10,42,23,11,14,21,12,66,18,99,90,8,25,65,28,47,45,25,2,44,21,33,3,55,34,2,16,4,44.6655568953014,77.8321317394717,75,95.8398704557335,53,25,21,7,17,42,33,A,A,A,-1,-1,WA,-1,A,king wa,45,55,45,0,0
County,WA Washington,WA Kitsap County 53035,9,Summary of All HUD Programs,1,A,Kitsap County,53035,3022.0,85,2554,97,5.62139127297086,7,1.84071312593874,4767.46283697323,296.603360836632,637.047040104077,12254.3712356265,6645.57719021937,6,44,26,13,12,14,6,79,22,98,82,5,26,75,28,59,32,31,2,46,20,32,3,22,8,3,6,5,35.0189368128021,72.3350332176848,75,107.491050019825,44,33,22,20,13,22,47,A,A,A,-1,-1,WA,-1,A,kitsap wa,78,22,78,0,0
County,WA Washington,WA Kittitas County 53037,9,Summary of All HUD Programs,1,A,Kittitas County,53037,377.0,94,353,96,5.22639100612773,15,1.88373755497511,685.778832661592,231.421125004202,406.445410557619,9757.48907970731,5174.38773979913,21,43,18,10,8,19,15,65,20,98,81,10,25,66,27,43,37,24,9,55,16,20,1,9,2,2,2,5,7.56845980287377,46.7325812931956,91,65.8511204065947,56,24,20,8,35,14,32,A,A,A,-1,-1,WA,-1,A,kittitas wa,91,9,91,0,0
County,WA Washington,WA Klickitat County 53039,9,Summary of All HUD Programs,1,A,Klickitat County,53039,262.0,98,247,95,5.51077959714066,13,2.0897701311269,555.571853799907,267.617079639241,451.687770169578,10596.3218341582,5041.88295477713,13,44,22,14,7,17,16,67,24,96,77,12,27,70,31,46,64,27,7,51,22,20,2,9,0,5,1,3,23.8345187606319,55.9869145466449,97,114.570236727088,22,46,32,33,19,15,48,A,A,A,-1,-1,WA,-1,A,klickitat wa,91,9,91,0,0
County,WA Washington,WA Lewis County 53041,9,Summary of All HUD Programs,1,A,Lewis County,53041,549.0,96,530,99,5.58276076165305,16,1.6819063106837,896.862800251009,264.227933632939,415.945172076678,11287.0711910873,6703.94234659403,5,49,26,13,7,8,11,80,27,96,68,4,23,77,23,59,24,29,5,35,20,40,5,7,1,1,1,5,29.1072916666667,54.579891352259,89,60.7179349183399,58,26,16,12,18,14,48,A,A,A,-1,-1,WA,-1,A,lewis wa,93,7,93,0,0
County,WA Washington,WA Lincoln County 53043,9,Summary of All HUD Programs,1,A,Lincoln County,53043,50.0,93,49,98,6.28661098643013,16,1.25059545316138,64.9816412196135,279.245224612123,391.944287955201,11714.1094852604,9366.82558348364,2,31,53,10,4,4,2,94,29,98,57,4,2,71,6,84,43,46,2,16,18,65,12,6,2,4,0,0,18.55,64.7189664371261,65,87.0436704115781,75,17,8,17,14,5,59,A,A,A,-1,-1,WA,-1,A,lincoln wa,94,6,94,0,0
County,WA Washington,WA Mason County 53045,9,Summary of All HUD Programs,1,A,Mason County,53045,248.0,88,208,99,5.56323589899408,11,1.78917191463229,380.743202821653,288.55684439635,430.016604413653,11690.4005317695,6528.48093412294,3,47,28,11,9,10,5,84,26,97,72,2,26,76,27,62,28,29,1,39,14,45,5,12,1,4,1,5,48.3857142857143,68.7751921900328,64,98.0869448740361,52,24,24,17,17,15,51,A,A,A,-1,-1,WA,-1,A,mason wa,88,12,88,0,0
County,WA Washington,WA No county code 53999,9,Summary of All HUD Programs,1,A,Missing County,53999,3.0,98,3,100,5.0456326628239,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3183.78122506473,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,41.7217260946379,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,WA,-1,A,nan wa,100,0,100,0,0
County,WA Washington,WA Okanogan County 53047,9,Summary of All HUD Programs,1,A,Okanogan County,53047,316.0,96,318,100,5.02403637230297,12,1.96357392919314,606.417081799147,244.490343121767,423.482244289343,10620.9054976558,5387.30339861395,8,54,21,11,6,18,10,72,24,97,79,10,23,69,28,62,84,36,3,42,30,25,1,20,2,9,0,9,13.4551282051282,58.5103721306825,97,91.8236728894818,34,41,25,26,22,24,51,A,A,A,-1,-1,WA,-1,A,okanogan wa,80,20,80,0,0
County,WA Washington,WA Pacific County 53049,9,Summary of All HUD Programs,1,A,Pacific County,53049,143.0,93,136,96,6.70774654496748,21,1.56818355569229,220.044217687075,253.2945750846,392.151135673715,9599.66388834503,6121.51801585953,11,53,26,8,2,6,16,77,23,98,80,5,21,76,19,64,61,41,9,36,27,28,2,11,0,4,4,5,2.04242424242424,43.8547656917679,71,87.3062947779174,49,37,14,24,17,15,56,A,A,A,-1,-1,WA,-1,A,pacific wa,89,11,89,0,0
County,WA Washington,WA Pend Oreille County 53051,9,Summary of All HUD Programs,1,A,Pend Oreille County,53051,146.0,95,142,100,5.46106606023881,11,1.76202526980461,251.413672217353,272.906334649854,374.858276567386,9989.16137909009,5669.13627759593,8,52,29,8,3,9,16,74,24,97,78,6,23,69,25,58,67,38,3,45,23,29,1,4,0,2,0,1,10.5541666666667,62.4268610938785,71,112.118811881188,42,32,26,29,20,8,58,A,A,A,-1,-1,WA,-1,A,pend oreille wa,96,4,96,0,0
County,WA Washington,WA Pierce County 53053,9,Summary of All HUD Programs,1,A,Pierce County,53053,5683.0,95,4265,81,6.41650356949746,8,1.98827928199072,9106.81728545881,288.60386539933,558.72884251797,12517.3721505107,6279.3409069227,6,43,25,13,12,12,15,71,23,97,80,5,29,76,30,50,29,24,3,43,17,37,5,33,18,2,10,3,4.80173569327603,71.1704310478344,70,98.0628711417873,53,25,23,10,17,32,41,A,A,A,-1,-1,WA,-1,A,pierce wa,67,33,67,0,0
County,WA Washington,WA San Juan County 53055,9,Summary of All HUD Programs,1,A,San Juan County,53055,21.0,92,19,99,3.24035087719298,0,1.21052631578947,23.2006980802792,316.421052631579,494.526315789474,9733.73684210526,8040.91304347826,5,63,21,11,0,0,5,95,20,100,89,0,0,79,0,100,75,78,0,42,37,21,0,0,0,0,0,0,-1.0,71.7438596491228,95,123.833333333333,53,47,0,32,12,8,53,A,A,A,-1,-1,WA,-1,A,san juan wa,100,0,100,0,0
County,WA Washington,WA Skagit County 53057,9,Summary of All HUD Programs,1,A,Skagit County,53057,1001.0,94,913,99,4.28029374944433,6,2.01965005864496,1863.73002777431,323.345695299192,467.467540823107,12606.0494236382,6241.69982798703,6,42,23,15,13,19,7,73,25,96,73,7,28,75,31,51,39,25,2,45,22,31,3,21,1,1,1,18,21.2387930142876,70.9865375268643,90,106.158953790742,47,28,25,15,14,22,47,A,A,A,-1,-1,WA,-1,A,skagit wa,79,21,79,0,0
County,WA Washington,WA Skamania County 53059,9,Summary of All HUD Programs,1,A,Skamania County,53059,130.0,100,123,95,5.33110748641661,8,2.03546773344235,263.576246737189,253.812061416461,512.261821554008,10875.3639431328,5342.93114277992,11,48,22,12,7,17,14,69,19,99,89,10,32,77,36,52,61,28,2,52,26,19,1,6,1,4,1,1,21.1655895475284,60.1268455180416,84,92.2743529964084,29,44,28,27,16,10,51,A,A,A,-1,-1,WA,-1,A,skamania wa,94,6,94,0,0
County,WA Washington,WA Snohomish County 53061,9,Summary of All HUD Programs,1,A,Snohomish County,53061,8157.0,97,7879,99,5.68246252783212,9,2.22091421876668,17625.7194187673,330.694477217959,648.423649594193,13771.8764671998,6197.13740094833,8,37,24,13,18,20,9,71,20,98,85,10,31,73,33,44,41,23,3,48,18,31,3,22,7,2,9,5,24.4261267726652,72.7563739132147,92,109.712561659253,38,36,26,14,13,22,37,A,A,A,-1,-1,WA,-1,A,snohomish wa,78,22,78,0,0
County,WA Washington,WA Spokane County 53063,9,Summary of All HUD Programs,1,A,Spokane County,53063,7173.0,95,6448,99,5.86269511262813,13,1.92663075204512,12779.5075843582,282.915410477188,418.110940398567,11061.9368324144,5729.55573486601,8,47,26,12,8,11,15,72,23,98,78,7,26,72,29,54,34,27,3,45,19,33,4,17,5,6,3,4,18.8329923931023,64.5134313298489,71,112.36691830193,53,26,21,11,22,14,39,A,A,A,-1,-1,WA,-1,A,spokane wa,83,17,83,0,0
County,WA Washington,WA Stevens County 53065,9,Summary of All HUD Programs,1,A,Stevens County,53065,335.0,96,322,99,5.41039935500253,23,1.8240266485874,594.487576244477,291.964274765914,372.004006874799,10992.2101341115,6026.34294988196,5,51,26,14,4,12,12,74,25,97,74,8,23,76,28,66,52,37,3,44,25,28,5,6,1,5,0,1,30.9133333333333,53.647704929564,91,124.462032168342,39,43,18,26,16,8,54,A,A,A,-1,-1,WA,-1,A,stevens wa,94,6,94,0,0
County,WA Washington,WA Thurston County 53067,9,Summary of All HUD Programs,1,A,Thurston County,53067,2589.0,98,2621,100,5.41456566597093,10,1.92183227187513,4910.0187355914,313.10586853008,543.781645211042,11946.8280255395,6218.17510108643,6,47,25,12,11,13,8,78,21,98,84,5,29,73,30,58,54,33,2,50,22,26,2,23,6,3,9,6,34.7668459439785,71.4773720271413,85,115.749004924696,44,32,24,17,13,19,41,A,A,A,-1,-1,WA,-1,A,thurston wa,77,23,77,0,0
County,WA Washington,WA Wahkiakum County 53069,9,Summary of All HUD Programs,1,A,Wahkiakum County,53069,54.0,97,53,100,5.52389937106918,6,1.69811320754717,89.2229199372056,265.307692307692,427.076923076923,10554.679245283,6215.53333333333,13,42,30,9,6,6,12,81,22,100,79,6,17,64,23,47,57,32,2,40,15,43,0,2,0,0,0,2,3.18888888888889,50.388679245283,87,101.391304347826,45,34,21,28,8,7,60,A,A,A,-1,-1,WA,-1,A,wahkiakum wa,98,2,98,0,0
County,WA Washington,WA Walla Walla County 53071,9,Summary of All HUD Programs,1,A,Walla Walla County,53071,1067.0,95,1031,100,4.92944331556769,16,2.05829946898223,2086.81072829331,260.974881996946,436.697249724974,10745.9049676227,5220.76846909758,12,44,24,12,7,14,20,64,23,99,76,9,28,68,31,55,44,28,4,49,21,25,1,21,2,2,1,17,12.8167728572179,48.3160551856616,87,74.3530790001431,45,29,27,16,18,22,49,A,A,A,-1,-1,WA,-1,A,walla walla wa,79,21,79,0,0
County,WA Washington,WA Whatcom County 53073,9,Summary of All HUD Programs,1,A,Whatcom County,53073,2606.0,97,2493,98,5.39008280585964,5,1.88092895584487,4764.9617757806,297.861381535922,498.039353858533,12312.3185652452,6545.87113829337,6,43,26,12,12,16,8,74,24,96,77,4,28,73,29,61,51,33,3,47,22,28,2,14,3,3,3,7,19.80327897034,71.6256192320616,76,109.80885100659,45,33,22,18,18,14,43,A,A,A,-1,-1,WA,-1,A,whatcom wa,86,14,86,0,0
County,WA Washington,WA Whitman County 53075,9,Summary of All HUD Programs,1,A,Whitman County,53075,439.0,93,418,97,5.53769793369369,18,1.94334899498409,834.113027235432,283.209033806049,429.348339085161,11351.9741874654,5835.82750288288,11,41,23,17,9,16,14,66,24,97,71,14,22,71,29,57,39,28,5,52,15,28,3,8,2,2,2,3,17.3557692307692,44.5723828464318,73,124.159829170156,50,25,25,15,24,13,41,A,A,A,-1,-1,WA,-1,A,whitman wa,92,8,92,0,0
County,WA Washington,WA Yakima County 53077,9,Summary of All HUD Programs,1,A,Yakima County,53077,1924.0,90,1618,97,6.10984762970432,15,1.98568057845782,3279.98334853379,273.550308507927,392.421594491932,11344.6323276585,5694.19367579613,6,49,24,12,8,16,14,69,26,96,72,4,30,72,30,42,32,20,5,38,18,40,4,37,3,3,1,32,30.4283809016423,61.9126483419712,75,75.7966043866464,58,21,22,7,27,51,43,A,A,A,-1,-1,WA,-1,A,yakima wa,63,37,63,0,0
County,WA Washington,WA Adams County 53001,9,Public Housing,2,A,Adams County,53001,55.0,100,55,100,6.16728395061728,18,3.72727272727273,205.0,397.018181818182,339.0,16561.4545454545,4443.31707317073,2,33,25,7,33,47,16,35,30,84,56,22,53,69,56,15,71,8,2,69,16,13,0,87,0,0,0,87,13.4166666666667,58.8442424242424,100,101.163636363636,11,13,76,13,25,69,51,A,A,A,-1,-1,WA,-1,A,adams wa,13,87,13,0,0
County,WA Washington,WA Asotin County 53003,9,Public Housing,2,A,Asotin County,53003,140.0,91,126,98,5.2443365695793,16,2.80582524271845,293.587301587301,281.893203883496,375.000000000001,13516.9029126214,4817.4429065744,12,36,24,7,21,32,10,55,28,86,66,7,67,81,66,36,43,16,7,74,13,7,0,13,1,7,2,3,28.98125,51.0420711974111,74,70.4078947368422,16,44,41,6,19,6,51,A,A,A,-1,-1,WA,-1,A,asotin wa,87,13,87,0,0
County,WA Washington,WA Benton County 53005,9,Public Housing,2,A,Benton County,53005,190.0,98,183,98,6.76788617886177,13,2.19653179190751,386.229508196722,270.809248554912,320.0,10986.450867052,5001.72631578947,12,46,23,12,8,19,17,64,21,98,83,7,35,70,33,28,42,15,9,50,21,19,2,45,2,0,7,36,6.56153846153846,55.8221579961463,99,83.1578947368418,51,27,21,3,33,47,28,A,A,A,-1,-1,WA,-1,A,benton wa,55,45,55,0,0
County,WA Washington,WA Chelan County 53007,9,Public Housing,2,A,Chelan County,53007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WA,-1,A,chelan wa,-1,-1,-1,0,0
County,WA Washington,WA Clallam County 53009,9,Public Housing,2,A,Clallam County,53009,270.0,96,260,100,6.55192307692307,13,1.66923076923077,434.0,243.996153846154,303.0,10945.5461538462,6557.23963133641,7,49,30,5,8,13,12,75,26,94,74,8,18,63,22,69,45,39,4,40,30,25,3,8,2,4,2,2,10.3078431372549,69.3235897435897,57,62.3422818791946,63,18,19,10,15,11,52,A,A,A,-1,-1,WA,-1,A,clallam wa,92,8,92,0,0
County,WA Washington,WA Clark County 53011,9,Public Housing,2,A,Clark County,53011,548.0,93,529,92,4.81430371770641,9,2.51606805293008,1275.64650283554,277.998109640835,409.000000000009,6789.39319470707,2698.4139744553,50,23,15,7,6,20,15,63,15,98,89,13,39,79,46,36,80,25,2,56,14,29,4,28,11,2,9,6,-1.0,78.5107120352876,75,109.969924812031,28,38,33,9,16,16,48,A,A,A,-1,-1,WA,-1,A,clark wa,72,28,72,0,0
