Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,Unnamed: 50,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2019-12-31 00:00:00,County,WA Washington,WA Garfield County 53023,9,Summary of All HUD Programs,1,,Garfield County,53023,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WA,,,garfield wa,-4,-4,0,0
2019-12-31 00:00:00,County,WA Washington,WA Pierce County 53053,9,Summary of All HUD Programs,1,,Pierce County,53053,9685,92,8882,100,5,14,2.1,18503,392,776,15925,7644,6,36,21,13,24,24,4,71,24,93,74,4,31,75,31,45,55,28,1,41,22,36,4,47,26,2,12,46,93.0,1,4,2,7,4,16,106,72,120,51,27,22,12,21,43,46,,,,,,WA,,,pierce wa,51,49,0,1
2019-12-31 00:00:00,County,WA Washington,WA Whitman County 53075,9,Summary of All HUD Programs,1,,Whitman County,53075,441,95,427,100,6,26,1.8,768,326,519,12436,6914,8,35,29,14,14,16,4,76,23,99,77,6,22,65,21,68,48,37,3,43,24,30,3,15,4,4,2,80,95.0,-1,4,0,5,2,18,65,82,109,55,27,18,18,28,16,48,,,,,,WA,,,whitman wa,17,83,0,1
2019-12-31 00:00:00,County,WA Washington,WA Skamania County 53059,9,Summary of All HUD Programs,1,,Skamania County,53059,130,88,114,99,6,11,2.0,230,319,553,13449,6666,12,35,21,14,19,24,5,68,19,97,82,13,23,79,32,46,75,28,4,39,25,32,4,14,4,1,1,82,96.0,1,6,1,8,3,11,96,82,94,31,46,24,31,15,10,63,,,,,,WA,,,skamania wa,13,87,0,1
2019-12-31 00:00:00,County,WA Washington,WA Okanogan County 53047,9,Summary of All HUD Programs,1,,Okanogan County,53047,350,74,326,100,5,17,1.8,590,295,608,12141,6708,6,39,30,13,12,14,2,79,24,99,75,6,23,64,25,52,72,36,2,33,21,44,2,19,3,7,-1,78,97.0,0,8,2,10,3,17,76,96,117,43,38,19,22,23,30,70,,,,,,WA,,,okanogan wa,22,78,0,0
2019-12-31 00:00:00,County,WA Washington,WA Adams County 53001,9,Summary of All HUD Programs,1,,Adams County,53001,107,85,95,100,4,26,3.4,323,480,467,19411,5709,7,20,17,7,50,56,5,34,32,81,48,15,61,76,62,12,62,7,12,67,7,14,1,91,-1,1,-1,6,97.0,-1,81,8,89,0,10,60,100,87,12,36,53,6,27,74,62,,,,,,WA,,,adams wa,94,6,0,0
2019-12-31 00:00:00,County,WA Washington,WA Island County 53029,9,Summary of All HUD Programs,1,,Island County,53029,504,81,413,100,6,11,1.6,648,370,621,15393,9811,3,31,26,16,24,15,4,79,27,92,65,4,16,72,15,60,44,38,2,29,19,50,3,13,5,1,4,85,98.0,0,3,0,3,0,29,103,96,111,55,30,15,19,11,21,61,,,,,,WA,,,island wa,15,85,0,0
2019-12-31 00:00:00,County,WA Washington,WA Kittitas County 53037,9,Summary of All HUD Programs,1,,Kittitas County,53037,426,94,407,100,5,39,1.9,754,305,514,12717,6865,7,39,24,11,18,18,8,67,22,96,77,3,31,67,30,50,59,32,5,42,21,32,1,16,3,3,0,82,98.0,-1,8,2,10,2,4,48,92,75,53,27,21,10,30,18,50,,,,,,WA,,,kittitas wa,18,82,0,0
2019-12-31 00:00:00,County,WA Washington,WA Benton County 53005,9,Summary of All HUD Programs,1,,Benton County,53005,2166,90,1839,94,6,12,1.9,3406,333,525,13878,7493,5,34,27,17,16,15,4,79,23,98,78,6,21,69,21,56,41,30,2,36,20,42,4,26,5,1,2,72,98.0,1,16,2,18,1,18,86,85,81,60,28,13,10,27,38,44,,,,,,WA,,,benton wa,28,72,0,0
2019-12-31 00:00:00,County,WA Washington,WA Kitsap County 53035,9,Summary of All HUD Programs,1,,Kitsap County,53035,3266,80,2613,100,5,10,1.8,4603,342,731,14023,7960,4,37,25,14,19,16,3,76,21,97,82,4,24,74,25,58,49,35,1,37,22,40,3,26,11,3,6,72,98.0,0,4,1,5,4,22,106,77,102,49,32,19,17,15,26,55,,,,,,WA,,,kitsap wa,28,72,0,0
