State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
WA,Adams County,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,37700,43100,48500,53850,58200,62500,66800,71100
WA,Asotin County,23850,27250,30650,34050,36800,39500,42250,44950,14350,17240,21720,26200,30680,35160,39640,44120,38150,43600,49050,54500,58900,63250,67600,71950
WA,Benton County,27150,31000,34900,38750,41850,44950,48050,51150,16300,18600,21720,26200,30680,35160,39640,44120,43400,49600,55800,62000,67000,71950,76900,81850
WA,Chelan County,24300,27800,31250,34700,37500,40300,43050,45850,14600,17240,21720,26200,30680,35160,39640,44120,38850,44400,49950,55500,59950,64400,68850,73300
WA,Clallam County,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,37700,43100,48500,53850,58200,62500,66800,71100
WA,Clark County,32250,36850,41450,46050,49750,53450,57150,60800,19400,22150,24900,27650,30680,35160,39640,44120,51600,59000,66350,73700,79600,85500,91400,97300
WA,Columbia County,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,37700,43100,48500,53850,58200,62500,66800,71100
WA,Cowlitz County,24250,27700,31150,34600,37400,40150,42950,45700,14550,17240,21720,26200,30680,35160,39640,44120,38750,44300,49850,55350,59800,64250,68650,73100
WA,Douglas County,24300,27800,31250,34700,37500,40300,43050,45850,14600,17240,21720,26200,30680,35160,39640,44120,38850,44400,49950,55500,59950,64400,68850,73300
WA,Ferry County,23600,26950,30300,33650,36350,39050,41750,44450,14150,17240,21720,26200,30680,35160,39640,44120,37700,43100,48500,53850,58200,62500,66800,71100
WA,Franklin County,27150,31000,34900,38750,41850,44950,48050,51150,16300,18600,21720,26200,30680,35160,39640,44120,43400,49600,55800,62000,67000,71950,76900,81850
