State code,PUMA,County code,State abbr.,County_Name,allocation factor
55,100,55003,WI,Ashland WI,0.088
55,100,55007,WI,Bayfield WI,0.0891
55,100,55013,WI,Burnett WI,0.0908
55,100,55031,WI,Douglas WI,0.2433
55,100,55051,WI,Iron WI,0.0337
55,100,55099,WI,Price WI,0.0772
55,100,55107,WI,Rusk WI,0.0779
55,100,55113,WI,Sawyer WI,0.0993
55,100,55119,WI,Taylor WI,0.1093
55,100,55129,WI,Washburn WI,0.0913
55,55101,55119,WI,Taylor WI,1.0
55,100,55085,WI,Oneida WI,1.0
55,600,55041,WI,Forest WI,0.0778
55,600,55067,WI,Langlade WI,0.1653
55,600,55069,WI,Lincoln WI,0.2408
55,600,55085,WI,Oneida WI,0.3208
55,600,55125,WI,Vilas WI,0.1954
55,1300,55041,WI,Forest WI,1.0
55,1600,55069,WI,Lincoln WI,1.0
55,600,55075,WI,Marinette WI,1.0
55,1300,55037,WI,Florence WI,0.0534
55,1300,55075,WI,Marinette WI,0.4901
55,1300,55083,WI,Oconto WI,0.4565
55,1400,55078,WI,Menominee WI,0.0943
55,1400,55115,WI,Shawano WI,0.9057
55,1401,55087,WI,Outagamie WI,1.0
55,1500,55087,WI,Outagamie WI,1.0
55,1501,55087,WI,Outagamie WI,1.0
55,200,55009,WI,Brown WI,1.0
55,300,55009,WI,Brown WI,1.0
55,200,55009,WI,Brown WI,1.0
55,300,55009,WI,Brown WI,1.0
55,1300,55009,WI,Brown WI,1.0
55,1301,55009,WI,Brown WI,1.0
55,1300,55029,WI,Door WI,1.0
55,1301,55061,WI,Kewaunee WI,0.2018
55,1301,55071,WI,Manitowoc WI,0.7982
55,2500,55117,WI,Sheboygan WI,1.0
55,20000,55117,WI,Sheboygan WI,1.0
55,1301,55015,WI,Calumet WI,1.0
55,1401,55015,WI,Calumet WI,0.3347
55,1401,55039,WI,Fond du Lac WI,0.6653
55,2500,55015,WI,Calumet WI,1.0
55,20000,55039,WI,Fond du Lac WI,1.0
55,1401,55139,WI,Winnebago WI,1.0
55,1501,55139,WI,Winnebago WI,1.0
55,1000,55077,WI,Marquette WI,1.0
55,1400,55047,WI,Green Lake WI,0.1715
55,1400,55077,WI,Marquette WI,0.1404
55,1400,55135,WI,Waupaca WI,0.467
55,1400,55137,WI,Waushara WI,0.2211
55,1601,55135,WI,Waupaca WI,1.0
55,1400,55001,WI,Adams WI,0.1429
55,1400,55097,WI,Portage WI,0.8571
55,1601,55001,WI,Adams WI,0.125
55,1601,55097,WI,Portage WI,0.4259
55,1601,55141,WI,Wood WI,0.4491
55,600,55073,WI,Marathon WI,1.0
55,1600,55073,WI,Marathon WI,1.0
55,1601,55073,WI,Marathon WI,1.0
55,55101,55073,WI,Marathon WI,1.0
55,700,55019,WI,Clark WI,1.0
55,1600,55019,WI,Clark WI,1.0
55,55101,55005,WI,Barron WI,0.3443
55,55101,55017,WI,Chippewa WI,0.069
55,55101,55019,WI,Clark WI,0.2551
55,55101,55095,WI,Polk WI,0.3315
55,55103,55017,WI,Chippewa WI,1.0
55,700,55035,WI,Eau Claire WI,1.0
55,55103,55017,WI,Chippewa WI,0.25
55,55103,55035,WI,Eau Claire WI,0.75
55,700,55109,WI,St. Croix WI,1.0
55,55102,55033,WI,Dunn WI,0.3279
55,55102,55109,WI,St. Croix WI,0.6721
55,55103,55033,WI,Dunn WI,1.0
55,700,55011,WI,Buffalo WI,0.1162
55,700,55053,WI,Jackson WI,0.1836
55,700,55091,WI,Pepin WI,0.0638
55,700,55093,WI,Pierce WI,0.368
55,700,55121,WI,Trempealeau WI,0.2684
55,1601,55053,WI,Jackson WI,1.0
55,55101,55053,WI,Jackson WI,1.0
55,55102,55093,WI,Pierce WI,1.0
55,700,55063,WI,La Crosse WI,1.0
55,900,55063,WI,La Crosse WI,1.0
55,700,55023,WI,Crawford WI,0.1731
55,700,55057,WI,Juneau WI,0.0
55,700,55081,WI,Monroe WI,0.497
55,700,55123,WI,Vernon WI,0.3299
55,1601,55057,WI,Juneau WI,1.0
55,103,55045,WI,Green WI,0.6128
