sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,55001,-1,-1,39,-1,5,15,2.2,85,283,246,11.6,5.5,8,41,33,13,5,13,0,85,22,85,56,21,23,74,36,71,88,35,0,62,18,21,3,3,3,0,0,0,13,40,97,32,36,38,26,13,4,12,55,-1,-1,-1,-1,-1,WI,-1,-1,97,3,97,0,0
9,1,All HUD,-1,Ashland County,55003,-1,-1,425,-1,5,28,1.6,699,262,266,12.3,7.5,9,35,32,12,11,25,0,72,26,82,55,7,20,72,24,47,16,22,8,33,15,45,12,11,0,9,0,1,6,49,54,10,61,23,16,8,9,13,55,-1,-1,-1,-1,-1,WI,-1,-1,89,11,89,0,0
9,1,All HUD,-1,Barron County,55005,-1,-1,740,-1,5,20,1.5,1107,260,250,11.2,7.6,9,42,32,12,5,13,0,84,23,86,59,5,16,76,20,52,17,23,6,28,13,54,13,2,0,1,1,1,11,58,55,25,69,20,11,9,3,9,63,-1,-1,-1,-1,-1,WI,-1,-1,98,2,98,0,0
9,1,All HUD,-1,Bayfield County,55007,-1,-1,115,-1,3,31,1.7,198,247,296,10.8,6.3,11,38,35,10,5,17,1,81,25,95,68,8,23,71,27,56,7,22,4,41,16,39,9,13,1,10,0,2,10,49,45,0,60,24,16,11,8,10,71,-1,-1,-1,-1,-1,WI,-1,-1,87,13,87,0,0
9,1,All HUD,-1,Brown County,55009,-1,-1,4005,-1,5,20,2.0,8093,287,349,12.1,6.0,12,34,28,15,10,27,5,64,23,98,76,10,31,76,36,44,29,22,9,47,14,29,6,21,6,6,4,5,13,59,82,29,46,34,20,11,16,12,42,-1,-1,-1,-1,-1,WI,-1,-1,79,21,79,0,0
9,1,All HUD,-1,Buffalo County,55011,-1,-1,55,-1,7,18,1.0,56,220,321,11.8,11.6,4,47,40,2,7,2,0,96,18,60,49,0,0,65,0,85,12,29,0,9,15,76,27,0,0,0,0,0,3,64,49,30,98,2,0,2,1,10,59,-1,-1,-1,-1,-1,WI,-1,-1,100,0,100,0,0
9,1,All HUD,-1,Burnett County,55013,-1,-1,128,-1,5,23,1.8,224,289,235,13.1,7.5,4,30,34,22,10,20,0,77,27,83,49,6,20,70,22,46,16,19,4,35,9,52,8,3,1,2,0,0,7,46,39,52,64,17,19,7,4,7,57,-1,-1,-1,-1,-1,WI,-1,-1,97,3,97,0,0
9,1,All HUD,-1,Calumet County,55015,-1,-1,262,-1,5,22,1.9,500,245,337,11.5,6.0,16,37,28,11,8,18,2,73,20,99,85,10,27,72,31,52,34,26,13,42,16,29,8,9,4,0,4,2,4,50,85,64,47,34,19,15,5,5,67,-1,-1,-1,-1,-1,WI,-1,-1,91,9,91,0,0
9,1,All HUD,-1,Chippewa County,55017,-1,-1,773,-1,5,28,1.8,1374,267,303,11.7,6.7,10,38,28,17,7,20,0,77,26,97,67,10,21,75,28,43,17,19,10,36,13,41,8,4,1,0,2,1,5,48,79,32,55,24,21,14,3,10,59,-1,-1,-1,-1,-1,WI,-1,-1,96,4,96,0,0
9,1,All HUD,-1,Clark County,55019,-1,-1,253,-1,6,19,1.3,322,230,222,12.0,9.5,6,36,36,16,6,7,0,91,26,81,50,2,8,77,8,59,4,15,4,13,9,74,28,1,0,0,0,0,4,61,16,3,82,13,6,8,2,11,71,-1,-1,-1,-1,-1,WI,-1,-1,99,1,99,0,0
