sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,55001,-1,-1,40,-1,4,30,1.9,76,260,256,10.7,6.2,13,40,35,10,3,8,0,85,24,100,75,10,30,78,40,67,100,41,0,65,18,18,0,8,5,0,0,3,10,37,95,41,43,35,23,18,4,13,59,-1,-1,-1,-1,-1,WI,-1,-1,adams wi,92,8,92,0,0
9,1,All HUD,-1,Ashland County,55003,-1,-1,431,-1,5,24,1.6,705,265,271,12.6,7.8,10,33,31,15,11,23,1,74,30,91,58,7,20,73,24,49,20,24,6,35,16,43,11,11,0,10,0,1,4,48,56,17,63,22,15,8,9,13,56,-1,-1,-1,-1,-1,WI,-1,-1,ashland wi,89,11,89,0,0
9,1,All HUD,-1,Barron County,55005,-1,-1,713,-1,5,21,1.5,1053,272,239,11.5,7.9,7,39,35,13,5,12,1,85,28,95,64,5,16,75,20,55,19,25,5,28,12,54,13,2,1,0,1,1,17,60,56,25,68,21,11,11,3,9,62,-1,-1,-1,-1,-1,WI,-1,-1,barron wi,98,2,98,0,0
9,1,All HUD,-1,Bayfield County,55007,-1,-1,114,-1,4,24,1.7,190,230,295,10.0,6.0,16,35,38,10,2,20,1,78,24,98,71,4,25,71,26,51,5,20,6,37,18,39,10,11,1,10,0,1,10,54,40,0,59,26,15,13,7,10,72,-1,-1,-1,-1,-1,WI,-1,-1,bayfield wi,89,11,89,0,0
9,1,All HUD,-1,Brown County,55009,-1,-1,4265,-1,5,25,2.0,8529,279,364,12.0,6.0,14,34,28,14,10,27,6,62,22,98,76,10,31,76,37,43,30,23,10,46,16,27,5,23,7,6,4,5,6,56,83,31,46,35,20,12,16,12,43,-1,-1,-1,-1,-1,WI,-1,-1,brown wi,77,23,77,0,0
9,1,All HUD,-1,Buffalo County,55011,-1,-1,51,-1,6,20,1.0,53,228,333,11.1,10.7,2,53,33,4,8,6,0,94,29,94,69,0,0,55,0,93,14,34,0,14,14,73,18,2,2,0,0,0,0,60,49,30,98,2,0,2,1,10,60,-1,-1,-1,-1,-1,WI,-1,-1,buffalo wi,98,2,98,0,0
9,1,All HUD,-1,Burnett County,55013,-1,-1,120,-1,6,20,1.8,213,288,245,12.9,7.5,6,28,36,21,9,16,0,82,31,92,53,8,18,71,23,46,16,18,4,34,8,53,8,6,1,3,1,1,12,50,41,55,63,17,20,8,4,7,55,-1,-1,-1,-1,-1,WI,-1,-1,burnett wi,94,6,94,0,0
9,1,All HUD,-1,Calumet County,55015,-1,-1,261,-1,6,21,1.9,495,252,352,11.3,6.0,17,33,31,12,8,20,0,74,20,100,86,8,29,75,34,48,36,25,13,42,16,29,8,11,5,0,4,2,9,51,86,77,45,33,23,17,5,5,67,-1,-1,-1,-1,-1,WI,-1,-1,calumet wi,89,11,89,0,0
9,1,All HUD,-1,Chippewa County,55017,-1,-1,751,-1,5,25,1.7,1313,267,305,11.8,6.9,12,34,32,14,8,19,0,77,26,97,68,8,24,74,28,46,17,21,9,36,15,40,9,5,1,0,2,1,7,50,81,43,55,25,20,13,3,10,58,-1,-1,-1,-1,-1,WI,-1,-1,chippewa wi,95,5,95,0,0
9,1,All HUD,-1,Clark County,55019,-1,-1,243,-1,7,15,1.3,317,252,219,13.1,10.2,3,36,35,16,10,11,0,88,32,90,53,3,7,79,9,59,7,17,5,12,11,73,27,1,0,0,0,1,5,62,18,4,81,12,7,7,2,11,70,-1,-1,-1,-1,-1,WI,-1,-1,clark wi,99,1,99,0,0
