gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,WI Wisconsin,WI Adams County 55001,9,Summary of All HUD Programs,1,A,Adams County,55001,46.0,91,42,98,5.95944888576532,16,1.53604497935518,67.2492307692307,286.192567864359,355.633378908358,10699.6013001845,6965.682284041,14,26,42,16,2,18,0,82,25,98,65,2,21,77,21,73,80,51,0,44,32,23,2,12,9,0,0,2,20.6,46.8670783917538,95,118.534382660302,33,53,14,42,13,4,60,A,A,A,-1,-1,WI,-1,A,adams wi,88,12,88,0,0
County,WI Wisconsin,WI Ashland County 55003,9,Summary of All HUD Programs,1,A,Ashland County,55003,471.0,87,414,93,5.54556070645402,14,1.66131202226385,732.428066884663,274.364258876346,282.778310367068,12564.4677768703,7562.97890371541,11,31,28,19,11,18,2,80,28,93,62,3,22,69,21,55,22,27,3,38,18,40,8,11,1,9,0,1,7.87092191548046,52.0985595654878,49,82.946642124474,64,19,17,10,13,10,56,A,A,A,-1,-1,WI,-1,A,ashland wi,89,11,89,0,0
County,WI Wisconsin,WI Barron County 55005,9,Summary of All HUD Programs,1,A,Barron County,55005,736.0,92,678,96,6.31603873784894,15,1.50195790401833,1078.86293301715,280.798828243295,263.446590138814,11840.646430747,7883.47422991589,6,38,34,16,6,13,1,86,27,97,65,3,17,74,18,57,20,25,4,27,14,54,12,4,2,1,0,1,20.311468407126,59.5951863912825,55,72.0901778907471,69,20,11,10,9,3,64,A,A,A,-1,-1,WI,-1,A,barron wi,96,4,96,0,0
County,WI Wisconsin,WI Bayfield County 55007,9,Summary of All HUD Programs,1,A,Bayfield County,55007,117.0,89,105,97,4.96700960737293,10,1.65037532034299,199.488604943444,277.367401790921,315.228514241724,11743.742092572,7115.8008410665,14,26,32,21,6,13,4,82,27,96,60,6,21,61,20,49,8,20,2,34,20,45,10,18,1,16,1,1,9.45912375790425,60.5922878804542,44,97.5277574107048,61,23,16,11,10,7,75,A,A,A,-1,-1,WI,-1,A,bayfield wi,82,18,82,0,0
County,WI Wisconsin,WI Brown County 55009,9,Summary of All HUD Programs,1,A,Brown County,55009,4628.0,88,4111,99,5.61210123486783,14,1.953267872437,8107.24829364892,286.886680149789,391.520430852418,12421.3127279114,6357.23403819954,12,31,28,18,12,20,6,70,24,98,72,6,32,73,34,46,33,24,6,47,18,28,4,22,8,5,4,5,8.83548983715896,62.4155889275547,79,99.7376825238746,47,34,19,13,12,15,43,A,A,A,-1,-1,WI,-1,A,brown wi,78,22,78,0,0
County,WI Wisconsin,WI Buffalo County 55011,9,Summary of All HUD Programs,1,A,Buffalo County,55011,34.0,89,29,96,7.61288797661914,20,1.04318072761245,49.3947990815155,254.005817699874,370.650962938034,11432.7579481125,10959.5179871458,2,47,40,7,4,4,0,96,28,96,69,0,2,49,2,80,13,34,0,11,22,67,7,0,0,0,0,0,2.6140098630726,61.8161334618255,47,56.370309061851,96,4,0,2,8,2,65,A,A,A,-1,-1,WI,-1,A,buffalo wi,100,0,100,0,0
County,WI Wisconsin,WI Burnett County 55013,9,Summary of All HUD Programs,1,A,Burnett County,55013,155.0,86,139,98,7.38606515335531,9,1.74379024217125,249.75129932869,298.809345146679,253.302011588111,13619.0874936461,7826.59395592646,7,23,33,25,12,11,0,88,31,94,48,5,23,72,24,41,15,17,4,33,10,53,12,1,0,1,0,0,2.37179973150122,49.7251838765204,40,134.370274232701,64,17,20,8,9,4,68,A,A,A,-1,-1,WI,-1,A,burnett wi,99,1,99,0,0
County,WI Wisconsin,WI Calumet County 55015,9,Summary of All HUD Programs,1,A,Calumet County,55015,314.0,94,293,98,6.26386875416337,12,1.92585327371466,512.165192029932,275.455419394434,356.933270248715,11752.1647531903,6122.73729680138,12,30,35,13,10,20,2,76,21,99,83,5,32,73,33,49,32,24,9,41,20,30,7,12,4,2,4,3,13.0490609492172,52.4155724788862,87,91.6612303610783,43,36,21,19,5,4,68,A,A,A,-1,-1,WI,-1,A,calumet wi,88,12,88,0,0
County,WI Wisconsin,WI Chippewa County 55017,9,Summary of All HUD Programs,1,A,Chippewa County,55017,757.0,96,730,98,5.46760626158068,15,1.78033340279479,1428.90833700062,290.252807757954,328.626829848557,12592.8295095762,7079.6163275699,8,34,32,16,11,18,0,82,26,97,71,5,25,71,26,51,23,23,4,40,16,40,9,4,1,1,2,1,13.3437006729939,53.3443416686869,77,80.9739732130501,56,24,20,13,10,3,60,A,A,A,-1,-1,WI,-1,A,chippewa wi,96,4,96,0,0
County,WI Wisconsin,WI Clark County 55019,9,Summary of All HUD Programs,1,A,Clark County,55019,264.0,90,240,93,6.29770573926108,15,1.29856424392786,338.015700698367,247.097634448563,239.946001355112,12510.4357284722,9600.15548289148,8,34,32,15,11,7,0,93,29,92,60,3,9,75,10,56,11,21,3,18,12,67,23,1,0,0,0,1,5.70243855113351,63.4969436836271,15,120.212772698124,82,12,5,5,11,2,71,A,A,A,-1,-1,WI,-1,A,clark wi,99,1,99,0,0
