State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
WI,Adams County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Ashland County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Barron County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Bayfield County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Brown County,23350,26650,30000,33300,36000,38650,41300,44000,14000,16020,20160,24300,28440,32580,36730,40890,37350,42650,48000,53300,57600,61850,66100,70400
WI,Buffalo County,21150,24150,27150,30150,32600,35000,37400,39800,12700,16020,20160,24300,28440,32580,36730,39800,33800,38600,43450,48250,52150,56000,59850,63700
WI,Burnett County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Calumet County,25850,29550,33250,36900,39900,42850,45800,48750,15550,17750,20160,24300,28440,32580,36730,40890,41350,47250,53150,59050,63800,68500,73250,77950
WI,Chippewa County,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,20160,24300,28440,32580,36730,40890,38550,44050,49550,55050,59500,63900,68300,72700
WI,Clark County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Columbia County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20160,24300,28440,32580,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
WI,Crawford County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Dane County,29400,33600,37800,41950,45350,48700,52050,55400,17650,20150,22650,25150,28440,32580,36730,40890,46000,52600,59150,65700,71000,76250,81500,86750
WI,Dodge County,22800,26050,29300,32550,35200,37800,40400,43000,13700,16020,20160,24300,28440,32580,36730,40890,36500,41700,46900,52100,56300,60450,64650,68800
WI,Door County,22750,26000,29250,32500,35100,37700,40300,42900,13650,16020,20160,24300,28440,32580,36730,40890,36400,41600,46800,52000,56200,60350,64500,68650
WI,Douglas County,22350,25550,28750,31900,34500,37050,39600,42150,13450,16020,20160,24300,28440,32580,36730,40890,35750,40850,45950,51050,55150,59250,63350,67400
WI,Dunn County,22300,25500,28700,31850,34400,36950,39500,42050,13400,16020,20160,24300,28440,32580,36730,40890,35700,40800,45900,50950,55050,59150,63200,67300
WI,Eau Claire County,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,20160,24300,28440,32580,36730,40890,38550,44050,49550,55050,59500,63900,68300,72700
WI,Florence County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Fond du Lac County,23150,26450,29750,33050,35700,38350,41000,43650,13900,16020,20160,24300,28440,32580,36730,40890,37050,42350,47650,52900,57150,61400,65600,69850
WI,Forest County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Grant County,21150,24200,27200,30200,32650,35050,37450,39900,12700,16020,20160,24300,28440,32580,36730,39900,33850,38650,43500,48300,52200,56050,59900,63800
WI,Green County,24650,28150,31650,35150,38000,40800,43600,46400,14800,16900,20160,24300,28440,32580,36730,40890,39400,45000,50650,56250,60750,65250,69750,74250
WI,Green Lake County,21700,24800,27900,30950,33450,35950,38400,40900,13000,16020,20160,24300,28440,32580,36730,40890,34650,39600,44550,49500,53500,57450,61400,65350
WI,Iowa County,25200,28800,32400,35950,38850,41750,44600,47500,15100,17250,20160,24300,28440,32580,36730,40890,40250,46000,51750,57500,62100,66700,71300,75900
WI,Iron County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Jackson County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Jefferson County,24200,27650,31100,34550,37350,40100,42850,45650,14550,16600,20160,24300,28440,32580,36730,40890,38750,44250,49800,55300,59750,64150,68600,73000
WI,Juneau County,21100,24100,27100,30100,32550,34950,37350,39750,12650,16020,20160,24300,28440,32580,36730,39750,33750,38550,43350,48150,52050,55900,59750,63600
WI,Kenosha County,23800,27200,30600,34000,36750,39450,42200,44900,14300,16350,20160,24300,28440,32580,36730,40890,38100,43550,49000,54400,58800,63150,67500,71850
WI,Kewaunee County,23350,26650,30000,33300,36000,38650,41300,44000,14000,16020,20160,24300,28440,32580,36730,40890,37350,42650,48000,53300,57600,61850,66100,70400
WI,La Crosse County,23700,27100,30500,33850,36600,39300,42000,44700,14250,16250,20160,24300,28440,32580,36730,40890,37950,43350,48750,54150,58500,62850,67150,71500
