fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
595,610,705,909,1062,54,Barbour County,16790,WV,0
783,788,991,1301,1696,54,Berkeley County,111610,WV,1
503,619,705,978,1207,54,Boone County,23235,WV,1
595,619,705,932,1084,54,Braxton County,14345,WV,0
557,578,738,997,1078,54,Brooke County,23065,WV,1
570,659,791,1058,1179,54,Cabell County,96100,WV,1
572,575,705,920,1028,54,Calhoun County,7450,WV,0
577,690,833,1083,1167,54,Clay County,8900,WV,1
649,653,801,990,1169,54,Doddridge County,8570,WV,0
505,571,711,974,1023,54,Fayette County,44600,WV,1
551,554,705,871,1028,54,Gilmer County,8305,WV,0
577,581,705,892,1028,54,Grant County,11675,WV,0
605,609,728,972,1095,54,Greenbrier County,35525,WV,0
868,868,1117,1444,1886,54,Hampshire County,23410,WV,1
557,578,738,997,1078,54,Hancock County,29920,WV,1
562,565,705,965,1053,54,Hardy County,13810,WV,0
643,647,820,1047,1212,54,Harrison County,68440,WV,0
520,623,710,1003,1009,54,Jackson County,29125,WV,1
779,783,936,1330,1602,54,Jefferson County,55675,WV,1
577,690,833,1083,1167,54,Kanawha County,187825,WV,1
586,590,732,905,1068,54,Lewis County,16370,WV,0
503,591,705,871,956,54,Lincoln County,21240,WV,1
595,619,705,968,1106,54,Logan County,34430,WV,0
595,619,705,915,956,54,McDowell County,19705,WV,0
654,658,829,1026,1261,54,Marion County,56575,WV,0
539,588,762,990,1140,54,Marshall County,32005,WV,1
569,573,727,923,986,54,Mason County,27000,WV,0
468,593,705,964,1024,54,Mercer County,60965,WV,0
503,606,757,987,1261,54,Mineral County,27420,WV,1
532,536,705,883,1077,54,Mingo County,25150,WV,0
725,729,892,1205,1527,54,Monongalia County,103715,WV,1
571,574,705,871,956,54,Monroe County,13515,WV,0
572,689,785,1061,1065,54,Morgan County,17510,WV,1
532,536,705,969,1028,54,Nicholas County,25495,WV,0
539,588,762,990,1140,54,Ohio County,42905,WV,1
572,575,705,1001,1207,54,Pendleton County,7140,WV,0
532,536,705,1001,1028,54,Pleasants County,7525,WV,0
532,536,705,1001,1028,54,Pocahontas County,8575,WV,0
725,729,892,1205,1527,54,Preston County,33760,WV,1
699,714,940,1237,1455,54,Putnam County,56645,WV,1
596,626,742,1054,1264,54,Raleigh County,77095,WV,1
518,584,705,905,1055,54,Randolph County,29150,WV,0
573,576,705,875,956,54,Ritchie County,10005,WV,0
595,619,705,976,977,54,Roane County,14350,WV,0
532,536,705,1001,1139,54,Summers County,13210,WV,0
533,618,731,904,1066,54,Taylor County,16975,WV,0
595,619,705,949,1028,54,Tucker County,7035,WV,0
497,657,748,925,1091,54,Tyler County,8950,WV,0
590,594,760,944,1228,54,Upshur County,24605,WV,0
570,659,791,1058,1179,54,Wayne County,41065,WV,1
476,545,717,934,1046,54,Webster County,8635,WV,0
523,559,735,928,997,54,Wetzel County,15795,WV,0
636,645,781,1043,1126,54,Wirt County,5800,WV,1
636,645,781,1043,1126,54,Wood County,86015,WV,1
598,601,737,933,999,54,Wyoming County,22130,WV,0
