Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV BOONE COUNTY 54005,9,Project Based Section 8,5,,Boone County,54005,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WV,,,boone wv,-4,-4,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV MINERAL COUNTY 54057,9,S236/BMIR,7,,Mineral County,54057,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WV,,,mineral wv,-4,-4,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV MISSING 54XXX,9,Public Housing,2,,Missing County,54XXX,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WV,,,missing wv,-4,-4,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV OHIO COUNTY 54069,9,811/PRAC,9,,Ohio County,54069,10,-4,9,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WV,,,ohio wv,-4,-4,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV PENDLETON COUNTY 54071,9,Summary of All HUD Programs,1,,Pendleton County,54071,10,108,11,100,3,-1,2.3,25,271,436,10831,4766,36,18,-1,36,9,27,9,64,25,100,55,18,27,82,36,25,67,16,-1,55,18,27,-1,9,9,-1,-1,91,-1,-1,-1,0,0,-1,74,91,177,27,27,45,36,18,5,72,,,,,,WV,,,pendleton wv,9,91,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV PENDLETON COUNTY 54071,9,Housing Choice Vouchers,3,,Pendleton County,54071,10,108,11,100,3,-1,2.3,25,271,436,10831,4766,36,18,-1,36,9,27,9,64,25,100,55,18,27,82,36,25,67,16,-1,55,18,27,-1,9,9,-1,-1,91,-1,-1,-1,0,0,-1,74,91,177,27,27,45,36,18,5,72,,,,,,WV,,,pendleton wv,9,91,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV WEBSTER COUNTY 54101,9,Project Based Section 8,5,,Webster County,54101,100,95,96,100,5,21,2.1,200,199,594,8648,4151,33,37,18,8,4,14,9,76,22,96,78,10,38,72,40,27,31,15,20,42,8,30,3,4,-1,2,-1,96,-1,2,-1,2,0,-1,61,100,78,32,43,25,16,24,2,72,,,,,,WV,,,webster wv,4,96,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV BERKELEY COUNTY 54003,9,Summary of All HUD Programs,1,,Berkeley County,54003,1002,93,928,100,6,19,1.7,1590,284,498,12338,7201,13,30,30,14,14,18,3,76,21,97,81,4,26,63,26,44,33,25,7,33,21,39,3,30,27,0,1,69,0,1,0,2,1,14,72,65,91,59,26,16,7,25,21,58,,,,,,WV,,,berkeley wv,31,69,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV MCDOWELL COUNTY 54047,9,Project Based Section 8,5,,Mcdowell County,54047,101,95,99,100,6,26,1.1,111,196,351,8221,7333,16,66,13,4,-1,2,-1,97,24,100,85,-1,7,59,5,100,57,76,4,17,43,35,3,26,25,-1,1,73,-1,-1,-1,0,0,-1,70,100,53,99,-1,1,-1,32,27,70,,,,,,WV,,,mcdowell wv,27,73,0,0
2015-12-31 00:00:00,County,WV WEST VIRGINIA,WV CABELL COUNTY 54011,9,Mod Rehab,4,,Cabell County,54011,106,100,103,97,6,36,1.0,108,181,455,7278,6941,13,64,19,3,1,17,-1,66,19,100,89,-1,-1,29,-1,60,100,61,2,41,52,5,-1,16,15,-1,1,84,-1,-1,-1,0,1,7,58,51,85,100,-1,-1,-1,47,15,16,,,,,,WV,,,cabell wv,16,84,0,0
