State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
WV,Barbour County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Berkeley County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20160,24300,28440,32580,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
WV,Boone County,19500,22300,25100,27850,30100,32350,34550,36800,11880,16020,20160,24300,28440,32350,34550,36800,31200,35650,40100,44550,48150,51700,55250,58850
WV,Braxton County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Brooke County,19400,22200,24950,27700,29950,32150,34350,36600,11880,16020,20160,24300,28440,32150,34350,36600,31050,35450,39900,44300,47850,51400,54950,58500
WV,Cabell County,19200,21950,24700,27400,29600,31800,34000,36200,11880,16020,20160,24300,28440,31800,34000,36200,30700,35100,39500,43850,47400,50900,54400,57900
WV,Calhoun County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Clay County,20250,23150,26050,28900,31250,33550,35850,38150,12150,16020,20160,24300,28440,32580,35850,38150,32400,37000,41650,46250,49950,53650,57350,61050
WV,Doddridge County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Fayette County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Gilmer County,17950,20500,23050,25600,27650,29700,31750,33800,11880,16020,20160,24300,27650,29700,31750,33800,28700,32800,36900,40950,44250,47550,50800,54100
WV,Grant County,18550,21200,23850,26500,28650,30750,32900,35000,11880,16020,20160,24300,28440,30750,32900,35000,29700,33950,38200,42400,45800,49200,52600,56000
WV,Greenbrier County,17450,19950,22450,24900,26900,28900,30900,32900,11880,16020,20160,24300,26900,28900,30900,32900,27900,31900,35900,39850,43050,46250,49450,52650
WV,Hampshire County,25850,29550,33250,36900,39900,42850,45800,48750,15550,17750,20160,24300,28440,32580,36730,40890,41350,47250,53150,59050,63800,68500,73250,77950
WV,Hancock County,19400,22200,24950,27700,29950,32150,34350,36600,11880,16020,20160,24300,28440,32150,34350,36600,31050,35450,39900,44300,47850,51400,54950,58500
WV,Hardy County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Harrison County,19750,22600,25400,28200,30500,32750,35000,37250,11880,16020,20160,24300,28440,32580,35000,37250,31600,36100,40600,45100,48750,52350,55950,59550
WV,Jackson County,19200,21950,24700,27400,29600,31800,34000,36200,11880,16020,20160,24300,28440,31800,34000,36200,30700,35100,39500,43850,47400,50900,54400,57900
WV,Jefferson County,27850,31800,35800,39750,42950,46150,49300,52500,16700,19100,21500,24300,28440,32580,36730,40890,44550,50900,57250,63600,68700,73800,78900,84000
WV,Kanawha County,20250,23150,26050,28900,31250,33550,35850,38150,12150,16020,20160,24300,28440,32580,35850,38150,32400,37000,41650,46250,49950,53650,57350,61050
WV,Lewis County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Lincoln County,19700,22500,25300,28100,30350,32600,34850,37100,11880,16020,20160,24300,28440,32580,34850,37100,31500,36000,40500,44950,48550,52150,55750,59350
WV,Logan County,17150,19600,22050,24500,26500,28450,30400,32350,11880,16020,20160,24300,26500,28450,30400,32350,27450,31400,35300,39200,42350,45500,48650,51750
WV,McDowell County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Marion County,19350,22100,24850,27600,29850,32050,34250,36450,11880,16020,20160,24300,28440,32050,34250,36450,30950,35350,39750,44150,47700,51250,54750,58300
WV,Marshall County,19850,22700,25550,28350,30650,32900,35200,37450,11900,16020,20160,24300,28440,32580,35200,37450,31750,36300,40850,45350,49000,52650,56250,59900
WV,Mason County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Mercer County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Mineral County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20160,24300,28440,32580,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
WV,Mingo County,17300,19750,22200,24650,26650,28600,30600,32550,11880,16020,20160,24300,26650,28600,30600,32550,27650,31600,35550,39450,42650,45800,48950,52100
WV,Monongalia County,22650,25850,29100,32300,34900,37500,40100,42650,13600,16020,20160,24300,28440,32580,36730,40890,36200,41400,46550,51700,55850,60000,64150,68250
WV,Monroe County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Morgan County,25250,28850,32450,36050,38950,41850,44750,47600,15200,17350,20160,24300,28440,32580,36730,40890,40400,46200,51950,57700,62350,66950,71550,76200
WV,Nicholas County,17350,19800,22300,24750,26750,28750,30700,32700,11880,16020,20160,24300,26750,28750,30700,32700,27750,31700,35650,39600,42800,45950,49150,52300
WV,Ohio County,19850,22700,25550,28350,30650,32900,35200,37450,11900,16020,20160,24300,28440,32580,35200,37450,31750,36300,40850,45350,49000,52650,56250,59900
WV,Pendleton County,17400,19850,22350,24800,26800,28800,30800,32750,11880,16020,20160,24300,26800,28800,30800,32750,27800,31800,35750,39700,42900,46100,49250,52450
WV,Pleasants County,19650,22450,25250,28050,30300,32550,34800,37050,11880,16020,20160,24300,28440,32550,34800,37050,31450,35950,40450,44900,48500,52100,55700,59300
WV,Pocahontas County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Preston County,22650,25850,29100,32300,34900,37500,40100,42650,13600,16020,20160,24300,28440,32580,36730,40890,36200,41400,46550,51700,55850,60000,64150,68250
WV,Putnam County,21700,24800,27900,31000,33500,36000,38450,40950,13050,16020,20160,24300,28440,32580,36730,40890,34750,39700,44650,49600,53600,57550,61550,65500
WV,Raleigh County,18200,20800,23400,26000,28100,30200,32250,34350,11880,16020,20160,24300,28100,30200,32250,34350,29150,33300,37450,41600,44950,48300,51600,54950
WV,Randolph County,17500,20000,22500,24950,26950,28950,30950,32950,11880,16020,20160,24300,26950,28950,30950,32950,27950,31950,35950,39900,43100,46300,49500,52700
WV,Ritchie County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
WV,Roane County,16950,19350,21750,24150,26100,28050,29950,31900,11880,16020,20160,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
