fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
600,681,819,1163,1402,56,Albany County,37945,WY,0
585,589,757,936,1189,56,Big Horn County,11920,WY,0
767,772,941,1315,1596,56,Campbell County,48115,WY,0
715,771,878,1247,1503,56,Carbon County,15690,WY,0
669,707,821,1015,1405,56,Converse County,14165,WY,0
629,633,796,1131,1362,56,Crook County,7345,WY,0
560,641,843,1160,1321,56,Fremont County,40355,WY,0
615,619,815,1007,1325,56,Goshen County,13480,WY,0
610,614,808,999,1383,56,Hot Springs County,4740,WY,0
629,633,833,1183,1426,56,Johnson County,8560,WY,0
670,699,890,1264,1523,56,Laramie County,97030,WY,1
614,618,813,1096,1392,56,Lincoln County,18790,WY,0
605,728,856,1216,1465,56,Natrona County,81025,WY,1
592,596,757,1053,1296,56,Niobrara County,2480,WY,0
664,668,879,1116,1504,56,Park County,29275,WY,0
572,575,757,1047,1121,56,Platte County,8705,WY,0
703,707,893,1130,1528,56,Sheridan County,29965,WY,0
592,596,757,1075,1296,56,Sublette County,10035,WY,0
692,704,802,1139,1373,56,Sweetwater County,44525,WY,0
1151,1158,1408,1988,2410,56,Teton County,22925,WY,0
607,611,757,1021,1293,56,Uinta County,20760,WY,0
617,638,757,1075,1094,56,Washakie County,8255,WY,0
706,711,935,1156,1600,56,Weston County,7115,WY,0
