sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Albany County,56001,-1,-1,389,-1,6,33,2.2,853,242,426,11.9,5.5,22,32,22,11,13,35,4,53,23,94,72,23,26,72,40,34,28,16,12,58,10,20,2,16,2,3,1,11,5,38,56,17,37,30,33,14,13,19,42,-1,-1,-1,-1,-1,WY,-1,-1,albany wy,84,16,84,0,0
9,1,All HUD,-1,Big Horn County,56003,-1,-1,2,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,big horn wy,-4,-4,-4,0,0
9,1,All HUD,-1,Campbell County,56005,-1,-1,169,-1,6,33,1.8,309,275,395,13.2,7.2,13,24,28,18,17,45,0,50,23,99,72,1,49,93,50,13,4,6,36,30,4,30,2,4,0,1,0,2,4,22,78,67,36,63,1,11,8,9,35,-1,-1,-1,-1,-1,WY,-1,-1,campbell wy,96,4,96,0,0
9,1,All HUD,-1,Carbon County,56007,-1,-1,163,-1,5,29,2.0,325,207,332,10.6,5.3,28,31,23,10,8,32,0,60,21,98,74,6,38,74,38,20,26,12,17,44,13,26,4,26,2,1,0,24,5,35,79,49,19,71,10,27,25,13,58,-1,-1,-1,-1,-1,WY,-1,-1,carbon wy,74,26,74,0,0
9,1,All HUD,-1,Converse County,56009,-1,-1,239,-1,6,22,1.6,383,227,389,11.3,7.0,15,33,26,14,12,22,0,77,26,95,64,3,28,78,28,26,11,12,13,26,12,49,9,5,0,1,0,3,1,46,20,5,47,46,7,16,8,14,54,-1,-1,-1,-1,-1,WY,-1,-1,converse wy,95,5,95,0,0
9,1,All HUD,-1,Crook County,56011,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,crook wy,-4,-4,-4,0,0
9,1,All HUD,-1,Fremont County,56013,-1,-1,201,-1,6,24,1.7,341,224,328,11.1,6.9,15,36,31,12,5,18,3,71,24,97,72,6,22,81,28,39,16,18,11,34,11,44,10,17,0,15,0,1,4,40,34,9,54,37,9,15,13,17,53,-1,-1,-1,-1,-1,WY,-1,-1,fremont wy,83,17,83,0,0
9,1,All HUD,-1,Goshen County,56015,-1,-1,87,-1,6,13,1.4,121,215,327,10.8,7.9,13,32,38,14,3,14,0,84,25,98,68,2,13,70,15,21,10,10,9,21,3,67,10,6,0,0,0,6,-2,42,76,35,75,25,0,9,8,11,59,-1,-1,-1,-1,-1,WY,-1,-1,goshen wy,94,6,94,0,0
9,1,All HUD,-1,Hot Springs County,56017,-1,-1,57,-1,7,11,1.1,63,233,341,11.6,10.5,0,39,46,12,4,2,0,98,28,100,61,0,2,68,2,100,4,16,0,7,7,86,28,4,0,2,2,0,-2,79,2,0,98,0,2,2,5,12,39,-1,-1,-1,-1,-1,WY,-1,-1,hot springs wy,96,4,96,0,0
9,1,All HUD,-1,Johnson County,56019,-1,-1,40,-1,5,33,1.4,56,264,229,12.4,8.9,0,35,35,23,8,15,0,85,28,100,60,0,13,73,10,69,25,36,0,18,23,60,8,0,0,0,0,0,7,47,20,0,80,10,10,3,4,9,58,-1,-1,-1,-1,-1,WY,-1,-1,johnson wy,100,0,100,0,0
9,1,All HUD,-1,Laramie County,56021,-1,-1,1560,-1,5,37,2.0,3124,251,428,11.4,5.8,22,35,22,11,10,28,5,58,22,97,74,9,35,79,42,38,26,19,14,47,15,24,3,24,5,2,0,17,6,41,68,25,34,36,30,25,19,10,54,-1,-1,-1,-1,-1,WY,-1,-1,laramie wy,76,24,76,0,0
9,1,All HUD,-1,Lincoln County,56023,-1,-1,18,-1,5,17,1.2,21,301,451,14.5,12.4,0,39,17,28,17,0,0,100,34,89,50,0,0,56,0,100,17,38,0,17,17,67,17,0,0,0,0,0,-2,76,6,2,100,0,0,0,5,8,59,-1,-1,-1,-1,-1,WY,-1,-1,lincoln wy,100,0,100,0,0
9,1,All HUD,-1,Natrona County,56025,-1,-1,954,-1,4,25,1.8,1708,266,339,11.9,6.7,14,37,27,13,9,30,0,63,24,97,73,8,30,73,33,48,50,29,12,41,18,29,5,12,3,2,0,7,13,45,58,46,44,42,14,18,12,17,47,-1,-1,-1,-1,-1,WY,-1,-1,natrona wy,88,12,88,0,0
9,1,All HUD,-1,Niobrara County,56027,-1,-1,36,-1,7,39,1.8,64,212,327,11.1,6.2,17,36,33,6,8,25,3,64,22,97,78,14,22,86,31,33,7,13,11,44,3,42,17,0,0,0,0,0,3,35,0,0,47,31,22,22,1,7,33,-1,-1,-1,-1,-1,WY,-1,-1,niobrara wy,100,0,100,0,0
9,1,All HUD,-1,Park County,56029,-1,-1,131,-1,6,33,1.7,221,266,235,11.2,6.6,6,44,27,17,6,26,1,73,25,99,68,4,36,76,37,37,6,17,11,45,6,37,7,5,0,0,1,5,4,33,56,21,42,47,11,15,6,13,57,-1,-1,-1,-1,-1,WY,-1,-1,park wy,95,5,95,0,0
9,1,All HUD,-1,Platte County,56031,-1,-1,40,-1,7,28,1.0,40,222,188,11.6,11.6,3,30,50,15,3,0,0,100,28,100,60,0,0,80,0,100,3,5,0,3,0,98,30,13,0,0,8,5,-2,54,3,1,100,0,0,0,7,12,62,-1,-1,-1,-1,-1,WY,-1,-1,platte wy,87,13,87,0,0
9,1,All HUD,-1,Sheridan County,56033,-1,-1,347,-1,6,24,1.2,429,248,328,11.5,9.3,5,43,31,14,7,10,1,88,27,96,66,1,11,63,10,74,12,35,3,27,17,53,10,3,1,1,0,1,4,60,28,0,78,17,5,8,5,10,52,-1,-1,-1,-1,-1,WY,-1,-1,sheridan wy,97,3,97,0,0
9,1,All HUD,-1,Sublette County,56035,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,sublette wy,-4,-4,-4,0,0
9,1,All HUD,-1,Sweetwater County,56037,-1,-1,349,-1,5,21,2.0,687,281,399,14.8,7.6,12,24,25,20,19,39,0,55,25,94,65,10,35,79,43,35,16,16,16,48,10,26,5,10,3,0,1,6,7,49,60,31,43,32,25,11,11,8,61,-1,-1,-1,-1,-1,WY,-1,-1,sweetwater wy,90,10,90,0,0
9,1,All HUD,-1,Teton County,56039,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,teton wy,-4,-4,-4,0,0
9,1,All HUD,-1,Uinta County,56041,-1,-1,186,-1,5,34,1.9,356,231,265,13.3,6.9,13,36,19,13,19,44,0,52,25,94,70,8,32,75,38,42,9,20,11,48,23,19,3,4,0,2,0,2,7,36,65,63,28,51,22,24,10,11,53,-1,-1,-1,-1,-1,WY,-1,-1,uinta wy,96,4,96,0,0
9,1,All HUD,-1,Washakie County,56043,-1,-1,52,-1,5,21,1.9,98,208,585,9.7,5.1,23,31,31,15,0,35,0,63,21,100,75,4,38,79,40,29,6,12,19,37,10,35,8,17,0,0,0,17,-2,43,52,32,37,63,0,4,11,13,62,-1,-1,-1,-1,-1,WY,-1,-1,washakie wy,83,17,83,0,0
9,1,All HUD,-1,Weston County,56045,-1,-1,20,-1,6,35,2.3,45,200,649,8.5,3.8,25,45,10,20,0,65,0,35,17,100,85,0,70,85,65,22,0,9,35,50,5,10,0,5,0,0,0,5,-2,15,100,54,10,80,10,0,5,10,55,-1,-1,-1,-1,-1,WY,-1,-1,weston wy,95,5,95,0,0
9,1,All HUD,-1,Missing County,56999,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,nan wy,-4,-4,-4,0,0
9,5,S8 NC/SR,-1,Albany County,56001,115,96,114,100,6,18,1.5,173,241,575,11.7,8.2,13,34,31,13,9,13,0,81,26,94,67,8,14,61,16,57,17,27,12,37,10,41,6,12,2,5,0,5,-1,55,25,21,70,27,3,1,12,22,42,-1,-1,-1,-1,-1,WY,-1,-1,albany wy,88,12,88,0,0
9,6,S236,-1,Albany County,56001,102,92,26,47,7,23,1.4,37,213,339,8.8,6.0,35,27,23,15,0,46,0,46,19,100,81,12,12,65,15,5,20,5,38,38,4,19,4,8,0,0,4,4,-1,66,0,0,58,42,0,15,11,22,45,-1,-1,-1,-1,-1,WY,-1,-1,albany wy,92,8,92,0,0
9,7,MF/Other,-1,Albany County,56001,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,albany wy,-4,-4,-4,0,0
9,5,S8 NC/SR,-1,Big Horn County,56003,0,0,1,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,big horn wy,-4,-4,-4,0,0
9,6,S236,-1,Big Horn County,56003,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,big horn wy,-4,-4,-4,0,0
9,7,MF/Other,-1,Big Horn County,56003,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,big horn wy,-4,-4,-4,0,0
9,5,S8 NC/SR,-1,Campbell County,56005,116,89,102,99,6,24,2.0,204,268,488,13.0,6.4,20,22,21,20,19,58,0,34,22,99,72,2,63,96,65,7,18,4,54,32,3,11,0,1,0,0,0,1,-1,27,100,82,24,76,0,8,9,7,36,-1,-1,-1,-1,-1,WY,-1,-1,campbell wy,99,1,99,0,0
9,6,S236,-1,Campbell County,56005,0,0,0,-4,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,WY,-1,-1,campbell wy,-4,-4,-4,0,0
9,7,MF/Other,-1,Campbell County,56005,38,95,43,100,5,33,1.7,72,280,267,14.0,8.6,5,21,40,19,16,28,0,70,26,98,70,0,33,91,33,6,0,3,9,30,0,60,7,9,0,5,0,5,-1,10,40,32,60,40,0,2,7,14,34,-1,-1,-1,-1,-1,WY,-1,-1,campbell wy,91,9,91,0,0
9,5,S8 NC/SR,-1,Carbon County,56007,136,81,111,100,5,23,2.0,225,217,348,9.9,4.8,27,29,24,13,7,34,0,63,21,99,73,5,41,75,40,16,38,12,22,45,12,22,5,28,3,1,0,24,-1,32,73,49,27,65,8,14,29,13,62,-1,-1,-1,-1,-1,WY,-1,-1,carbon wy,72,28,72,0,0
