gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,WY Wyoming,WY Albany County 56001,9,Summary of All HUD Programs,1,A,Albany County,56001,391.0,93,332,98,5.38683952845923,18,2.01059460103083,823.204773687056,293.931433517373,475.608117904762,12649.6840442804,6291.51398188124,15,32,22,13,18,26,5,66,22,96,75,16,25,65,28,39,27,20,8,57,15,20,4,15,3,1,1,10,9.12445386155331,45.8521727804192,60,91.4676229182685,35,34,31,23,24,16,48,A,A,A,-1,-1,WY,-1,A,albany wy,85,15,85,0,0
County,WY Wyoming,WY Big Horn County 56003,9,Summary of All HUD Programs,1,A,Big Horn County,56003,1.0,94,1,100,4.15958096722239,-4,-4.0,-4.0,-4.0,-4.0,-4.0,11673.6650137414,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,120.456583540478,-4,-4.0,-4,-4,-4,-4,10,11,79,A,A,A,-1,-1,WY,-1,A,big horn wy,100,0,100,0,0
County,WY Wyoming,WY Campbell County 56005,9,Summary of All HUD Programs,1,A,Campbell County,56005,258.0,96,252,100,6.30890529723082,20,1.79800820837759,458.186926605505,273.013889888935,481.224074091005,11576.671892157,6438.60903316072,21,25,26,16,13,29,1,70,17,99,87,2,41,87,42,23,11,12,14,43,11,32,3,7,0,2,0,5,11.4463768115942,28.0887259313929,75,80.4228319845846,35,56,9,22,10,13,37,A,A,A,-1,-1,WY,-1,A,campbell wy,93,7,93,0,0
County,WY Wyoming,WY Carbon County 56007,9,Summary of All HUD Programs,1,A,Carbon County,56007,219.0,89,146,89,4.98943019808943,22,1.95479089797386,322.349950887788,244.286044442986,408.589342466707,11516.3755022239,5891.35928255067,25,29,17,12,18,37,1,62,22,97,73,4,38,72,33,37,46,22,12,48,16,23,1,17,1,1,0,17,6.53176701633376,35.5929981304899,72,81.3259232126408,25,62,13,23,6,25,74,A,A,A,-1,-1,WY,-1,A,carbon wy,83,17,83,0,0
County,WY Wyoming,WY Converse County 56009,9,Summary of All HUD Programs,1,A,Converse County,56009,284.0,87,247,89,5.75544429107267,29,1.62316950368129,420.696970680007,257.024256313186,430.802554905054,12562.9190257115,7739.74560094879,13,27,26,20,14,20,4,76,24,95,69,3,27,73,26,20,16,11,12,25,14,49,11,7,0,3,0,4,1.06666666666667,51.164397536452,24,39.8419445191714,45,48,7,15,9,9,62,A,A,A,-1,-1,WY,-1,A,converse wy,93,7,93,0,0
County,WY Wyoming,WY Crook County 56011,9,Summary of All HUD Programs,1,A,Crook County,56011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,crook wy,-1,-1,-1,0,0
County,WY Wyoming,WY Fremont County 56013,9,Summary of All HUD Programs,1,A,Fremont County,56013,202.0,92,176,95,5.88050233288123,15,1.59293047976407,310.096555911197,275.695256512762,400.793243481608,12571.1118308531,7891.81448314996,13,27,28,18,14,14,4,80,25,94,67,3,27,81,29,48,21,22,3,38,12,48,9,16,0,13,2,2,10.5333333333333,48.0327589936354,36,78.2257939453931,57,35,9,14,16,20,67,A,A,A,-1,-1,WY,-1,A,fremont wy,84,16,84,0,0
County,WY Wyoming,WY Goshen County 56015,9,Summary of All HUD Programs,1,A,Goshen County,56015,117.0,93,95,96,5.53628945713249,18,1.31851258845416,133.156918960245,258.424266620209,391.852668812845,12231.3055164839,9276.59365833129,4,33,37,20,6,16,0,84,25,99,72,4,14,71,15,41,6,16,11,17,9,63,17,6,0,0,0,7,-1.0,55.0450222604854,76,51.3636363636363,75,25,0,6,11,12,77,A,A,A,-1,-1,WY,-1,A,goshen wy,94,6,94,0,0
County,WY Wyoming,WY Hot Springs County 56017,9,Summary of All HUD Programs,1,A,Hot Springs County,56017,62.0,80,52,85,5.98209647311248,24,1.03825747960677,63.3235856269114,271.217144415091,381.779339456786,13646.4787731784,13143.6363726913,0,34,32,19,16,2,0,98,28,96,66,0,0,72,0,100,7,31,2,8,17,74,16,2,0,0,0,2,-1.0,65.2184389895362,2,217.0,98,0,2,2,7,6,68,A,A,A,-1,-1,WY,-1,A,hot springs wy,98,2,98,0,0
County,WY Wyoming,WY Johnson County 56019,9,Summary of All HUD Programs,1,A,Johnson County,56019,48.0,96,46,100,5.53587052204011,28,1.29456892428051,60.9273292976387,285.527436194722,313.701236210101,12648.8745013566,9770.72310644765,6,23,41,25,4,6,6,87,25,100,66,2,11,57,11,74,29,40,2,15,23,60,11,4,2,0,0,2,7.07807199799596,35.6393318067535,27,83.0769230769231,75,17,8,13,9,6,63,A,A,A,-1,-1,WY,-1,A,johnson wy,96,4,96,0,0
County,WY Wyoming,WY Laramie County 56021,9,Summary of All HUD Programs,1,A,Laramie County,56021,1767.0,95,1692,99,4.90569191533001,15,1.96771114800077,3232.306252375,309.964628436346,459.906720515604,12404.3712336246,6303.95942322514,13,34,25,15,14,24,7,67,23,97,75,6,33,75,35,45,32,23,8,46,19,27,2,27,7,2,0,18,10.3640659213035,50.2453133476868,71,103.341956610255,37,33,30,25,11,22,62,A,A,A,-1,-1,WY,-1,A,laramie wy,73,27,73,0,0
County,WY Wyoming,WY Lincoln County 56023,9,Summary of All HUD Programs,1,A,Lincoln County,56023,,-1,-1,-1,5.15,21,1.0,18.6666666666667,217.142857142857,587.0,9445.64285714286,9445.64285714286,14,50,29,0,7,23,0,77,20,100,93,0,0,71,0,88,83,86,7,21,29,43,0,0,0,0,0,0,-1.0,68.2404761904762,0,-1.0,100,0,0,0,6,11,67,A,A,A,-1,-1,WY,-1,A,lincoln wy,100,0,100,0,0
County,WY Wyoming,WY Natrona County 56025,9,Summary of All HUD Programs,1,A,Natrona County,56025,1117.0,44,952,45,4.04510267367725,12,-5.0,-5.0,-5.0,-5.0,-5.0,6874.91326361672,-5,-5,-5,-5,-5,-5,-5,-5,23,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,17,-5,-5,-5,-5,21.6888888888889,46.7094623969692,-5,-5.0,-5,-5,-5,-5,14,17,61,A,A,A,-1,-1,WY,-1,A,natrona wy,83,17,83,0,0
County,WY Wyoming,WY Niobrara County 56027,9,Summary of All HUD Programs,1,A,Niobrara County,56027,60.0,74,34,77,5.08085373509102,37,1.89642184557439,62.9375,209.425612052731,344.0,9798.17890772128,5166.66633565045,31,31,14,14,9,36,3,58,18,97,77,6,23,78,23,14,0,5,30,22,14,33,8,0,0,0,0,0,12.0833333333333,30.7242937853107,0,-1.0,46,24,30,27,12,5,80,A,A,A,-1,-1,WY,-1,A,niobrara wy,100,0,100,0,0
County,WY Wyoming,WY No county code 56999,9,Summary of All HUD Programs,1,A,Missing County,56999,1.0,94,1,100,9.13333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,6381.0,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,60.7666666666667,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,nan wy,100,0,100,0,0
County,WY Wyoming,WY Park County 56029,9,Summary of All HUD Programs,1,A,Park County,56029,192.0,88,118,94,5.90813134029149,16,1.55932572148617,197.259174311927,271.091884849007,334.938432878104,11808.0582438579,7572.5411831236,11,34,32,14,9,21,3,76,23,98,76,2,26,80,25,49,11,22,5,38,15,42,7,7,0,0,1,7,11.5074074074074,50.5377667006891,61,100.767272512426,46,49,5,21,11,8,67,A,A,A,-1,-1,WY,-1,A,park wy,93,7,93,0,0
County,WY Wyoming,WY Platte County 56031,9,Summary of All HUD Programs,1,A,Platte County,56031,46.0,89,39,87,7.17379759622322,8,1.0,43.9375,279.00377265137,192.852062588905,13617.3527738265,13617.3527738265,0,26,39,22,13,0,0,100,28,100,60,0,0,82,0,-1,3,3,0,0,0,100,24,19,0,17,0,5,-1.0,68.795685158843,0,-1.0,100,0,0,0,11,8,67,A,A,A,-1,-1,WY,-1,A,platte wy,81,19,81,0,0
County,WY Wyoming,WY Sheridan County 56033,9,Summary of All HUD Programs,1,A,Sheridan County,56033,439.0,92,379,96,5.76125908245969,21,1.28592538336823,515.048665619296,285.490179883853,410.642104235653,12426.3304941949,9663.3371227548,4,38,33,18,8,11,1,87,25,98,74,1,12,60,12,71,22,37,3,26,22,50,8,6,1,2,0,2,8.30081300813008,65.5650422822239,32,93.712468148436,73,18,9,13,14,7,63,A,A,A,-1,-1,WY,-1,A,sheridan wy,94,6,94,0,0
County,WY Wyoming,WY Sublette County 56035,9,Summary of All HUD Programs,1,A,Sublette County,56035,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,WY,-1,A,sublette wy,-1,-1,-1,0,0
County,WY Wyoming,WY Sweetwater County 56037,9,Summary of All HUD Programs,1,A,Sweetwater County,56037,409.0,96,342,98,4.76783806036244,15,1.91948031896243,609.683111874761,292.983022175464,465.258528012195,14591.8606956805,7557.52402105557,17,22,19,17,25,36,0,64,23,94,70,3,40,78,39,30,29,16,9,48,14,28,5,15,3,1,1,15,6.06547878691746,55.7169121087396,59,87.66985570607,41,35,23,14,7,18,63,A,A,A,-1,-1,WY,-1,A,sweetwater wy,85,15,85,0,0
