Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2020-12-31 00:00:00,County,WY Wyoming,WY Albany County 56001,9,Summary of All HUD Programs,1,,Albany County,56001,375,95,366,100,7,19,1.7,621,331,567,13901,8193,5,27,31,20,17,21,0,73,23,97,78,7,20,65,21,56,38,32,5,42,23,30,1,21,3,3,1,78,1,10,2,14,1,14,60,64,108,40,31,29,32,25,16,44,,,,,,WY,,,albany wy,22,78,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Albany County 56001,9,Public Housing,2,,Albany County,56001,75,98,74,100,6,30,3.0,220,353,562,16060,5402,8,20,10,18,43,45,1,35,23,91,69,15,66,77,65,13,20,8,4,77,14,5,-1,34,8,4,-1,66,3,18,1,22,3,7,50,95,177,-1,1,99,32,23,15,46,,,,,,WY,,,albany wy,34,66,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Albany County 56001,9,Housing Choice Vouchers,3,,Albany County,56001,185,97,178,99,7,13,1.4,254,338,503,13124,9197,3,30,38,16,12,16,-1,81,22,98,83,6,8,61,10,77,51,50,1,39,30,30,1,19,3,3,1,81,1,11,1,12,0,20,64,74,75,39,46,15,46,25,16,42,,,,,,WY,,,albany wy,19,81,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Albany County 56001,9,Project Based Section 8,5,,Albany County,56001,115,90,114,100,6,22,1.3,147,305,682,13712,10634,5,25,32,28,10,12,-1,84,24,99,75,3,10,65,10,63,26,37,12,23,18,47,4,16,1,2,1,79,1,5,6,12,3,-1,62,28,90,68,28,4,11,26,15,45,,,,,,WY,,,albany wy,16,79,5,0
2020-12-31 00:00:00,County,WY Wyoming,WY Campbell County 56005,9,Summary of All HUD Programs,1,,Campbell County,56005,363,96,352,100,7,18,1.7,592,298,544,12837,7633,15,25,27,18,16,18,0,81,18,100,86,3,31,79,32,42,34,24,8,37,18,38,3,12,2,4,0,88,-1,6,-1,6,1,24,51,77,94,31,53,16,35,14,13,43,,,,,,WY,,,campbell wy,12,88,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Campbell County 56005,9,Housing Choice Vouchers,3,,Campbell County,56005,231,97,223,99,6,13,1.5,342,344,503,14670,9566,3,26,32,18,20,14,0,84,21,100,83,2,19,77,19,63,36,35,1,29,23,47,3,11,2,2,0,89,-1,6,-1,6,0,24,54,73,95,29,45,26,51,12,12,49,,,,,,WY,,,campbell wy,11,89,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Campbell County 56005,9,Project Based Section 8,5,,Campbell County,56005,110,94,108,100,8,31,2.1,229,199,722,8724,4114,42,23,14,15,7,28,-1,70,12,100,94,6,61,84,64,16,50,9,22,60,10,7,-1,15,2,7,-1,84,-1,6,-1,6,4,-1,44,100,91,21,79,-1,8,21,14,32,,,,,,WY,,,campbell wy,16,84,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Campbell County 56005,9,202/PRAC,8,,Campbell County,56005,22,97,21,98,7,14,1.0,21,321,129,14530,14530,-1,29,33,24,14,-1,-1,100,22,100,86,-1,-1,71,-1,-1,19,19,-1,-1,-1,100,10,5,-1,-1,-1,95,-1,5,-1,5,0,-1,53,-1,-1,100,-1,-1,-1,10,14,39,,,,,,WY,,,campbell wy,5,95,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Carbon County 56007,9,Summary of All HUD Programs,1,,Carbon County,56007,163,82,131,98,6,24,1.7,228,287,511,12568,7221,20,24,17,18,20,32,-1,63,21,98,76,6,25,69,24,40,63,28,15,31,25,28,3,28,3,1,2,72,-1,21,2,23,3,1,43,69,82,26,58,16,34,12,25,61,,,,,,WY,,,carbon wy,28,72,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Carbon County 56007,9,Public Housing,2,,Carbon County,56007,20,100,17,85,8,35,2.0,34,257,749,12215,6107,19,38,25,-1,19,24,-1,71,19,94,82,12,24,47,12,46,25,24,-1,35,41,24,-1,12,-1,6,6,88,-1,-1,-1,0,12,1,46,94,81,-1,59,41,53,13,6,73,,,,,,WY,,,carbon wy,12,88,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Carbon County 56007,9,Housing Choice Vouchers,3,,Carbon County,56007,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,carbon wy,-4,-4,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Carbon County 56007,9,Project Based Section 8,5,,Carbon County,56007,133,78,104,100,6,24,1.7,181,283,466,12289,7061,23,22,15,21,20,36,-1,60,20,99,77,6,28,70,29,35,72,27,19,32,22,27,4,32,3,-1,1,68,-1,26,2,28,2,-1,42,67,81,33,58,10,26,12,28,58,,,,,,WY,,,carbon wy,32,68,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Converse County 56009,9,Summary of All HUD Programs,1,,Converse County,56009,258,82,233,100,6,27,1.6,377,299,547,14229,8794,15,21,22,16,25,16,0,82,23,97,69,5,20,68,21,40,21,20,7,31,16,46,7,9,2,1,1,88,-1,4,2,6,2,1,48,23,33,45,47,8,22,8,9,56,,,,,,WY,,,converse wy,12,88,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Converse County 56009,9,Public Housing,2,,Converse County,56009,49,76,37,100,7,14,1.2,43,386,366,20823,17918,-1,11,27,11,51,3,-1,97,35,89,46,-1,-1,51,-1,100,19,28,-1,3,14,84,11,8,-1,-1,-1,92,-1,8,-1,8,0,1,54,-1,-1,76,24,-1,8,8,9,63,,,,,,WY,,,converse wy,8,92,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Converse County 56009,9,Project Based Section 8,5,,Converse County,56009,185,82,171,100,6,31,1.8,309,279,574,12658,7005,21,24,18,16,20,21,1,75,20,98,74,7,27,69,28,37,27,19,9,42,19,30,4,11,2,1,1,87,-1,4,2,6,2,-1,44,31,33,31,58,11,28,8,9,54,,,,,,WY,,,converse wy,13,87,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Converse County 56009,9,202/PRAC,8,,Converse County,56009,24,98,25,100,6,20,1.0,25,310,660,15218,15218,-1,16,40,24,20,-1,-1,100,26,100,68,-1,-1,88,-1,-1,12,12,-1,-1,-1,100,20,4,-1,-1,4,92,-1,-1,-1,0,0,-1,66,-1,-1,100,-1,-1,-1,8,9,63,,,,,,WY,,,converse wy,0,100,0,1
2020-12-31 00:00:00,County,WY Wyoming,WY Fremont County 56013,9,Summary of All HUD Programs,1,,Fremont County,56013,206,93,192,100,7,17,1.6,306,321,518,13875,8706,1,30,31,19,19,13,1,82,23,98,77,4,19,72,23,51,32,28,5,26,19,51,9,24,2,17,-1,76,1,3,3,6,1,10,61,46,97,48,39,13,28,13,19,68,,,,,,WY,,,fremont wy,24,76,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Fremont County 56013,9,Housing Choice Vouchers,3,,Fremont County,56013,110,97,106,99,7,9,1.8,195,331,503,13103,7123,1,35,30,20,13,16,1,76,21,99,84,6,26,76,32,54,49,31,3,32,26,39,3,27,1,18,-1,73,-1,5,4,8,1,10,55,69,89,28,49,23,41,12,18,68,,,,,,WY,,,fremont wy,27,73,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Fremont County 56013,9,Project Based Section 8,5,,Fremont County,56013,96,89,86,100,6,27,1.3,111,308,538,14827,11487,1,24,31,18,25,8,-1,88,26,97,69,1,10,66,12,43,20,22,7,19,9,65,17,21,2,15,-1,79,1,1,1,3,1,-1,67,19,132,73,27,-1,13,14,20,68,,,,,,WY,,,fremont wy,21,79,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Goshen County 56015,9,Summary of All HUD Programs,1,,Goshen County,56015,99,95,97,100,6,21,1.3,127,280,497,13083,9992,5,30,25,25,15,15,1,79,23,100,72,-1,14,76,13,29,14,16,10,20,5,65,9,6,1,-1,-1,94,-1,3,2,5,0,-1,51,77,64,78,22,-1,4,12,12,70,,,,,,WY,,,goshen wy,6,94,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Goshen County 56015,9,Housing Choice Vouchers,3,,Goshen County,56015,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,goshen wy,-4,-4,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Goshen County 56015,9,Project Based Section 8,5,,Goshen County,56015,59,92,57,100,6,25,1.5,86,258,388,11659,7728,9,36,23,19,13,26,2,65,20,100,86,-1,25,82,23,29,30,21,18,33,9,40,5,7,2,-1,-1,93,-1,5,-1,5,0,-1,45,63,71,63,37,-1,7,12,12,70,,,,,,WY,,,goshen wy,7,93,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Goshen County 56015,9,202/PRAC,8,,Goshen County,56015,39,99,39,100,7,15,1.0,40,313,651,15251,14870,-1,21,28,33,18,-1,-1,100,27,100,51,-1,-1,67,-1,-1,3,3,-1,-1,-1,100,15,5,-1,-1,-1,95,-1,-1,5,5,0,-1,54,100,57,100,-1,-1,-1,12,12,70,,,,,,WY,,,goshen wy,5,95,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Hot Springs County 56017,9,Summary of All HUD Programs,1,,Hot Springs County,56017,60,94,57,100,6,23,1.1,60,310,445,14755,14017,-1,29,30,23,18,-1,-1,98,26,96,67,-1,-1,60,-1,100,14,33,2,7,16,75,7,2,-1,2,-1,98,-1,-1,-1,0,2,-1,62,-1,-1,100,-1,-1,-1,17,6,71,,,,,,WY,,,hot springs wy,2,98,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Hot Springs County 56017,9,Project Based Section 8,5,,Hot Springs County,56017,60,94,57,100,6,23,1.1,60,310,445,14755,14017,-1,29,30,23,18,-1,-1,98,26,96,67,-1,-1,60,-1,100,14,33,2,7,16,75,7,2,-1,2,-1,98,-1,-1,-1,0,2,-1,62,-1,-1,100,-1,-1,-1,17,6,71,,,,,,WY,,,hot springs wy,2,98,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Johnson County 56019,9,Summary of All HUD Programs,1,,Johnson County,56019,54,95,50,98,7,8,1.3,63,318,466,14881,11810,4,20,36,24,16,8,-1,90,25,98,76,-1,8,68,8,68,32,40,2,18,24,56,20,0,-1,-1,-1,100,-1,-1,-1,0,0,14,63,34,93,70,20,10,18,14,6,71,,,,,,WY,,,johnson wy,0,100,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Johnson County 56019,9,Public Housing,2,,Johnson County,56019,30,93,27,96,8,11,1.0,27,280,436,13916,13916,7,15,44,22,11,-1,-1,96,25,96,78,-1,-1,74,-1,75,26,33,-1,-1,15,85,37,0,-1,-1,-1,100,-1,-1,-1,0,0,2,68,-1,-1,100,-1,-1,-1,14,6,71,,,,,,WY,,,johnson wy,0,100,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Johnson County 56019,9,Housing Choice Vouchers,3,,Johnson County,56019,24,97,23,99,6,4,1.6,36,363,503,16014,10231,-1,26,26,26,22,17,-1,83,26,100,74,-1,17,61,17,67,60,44,4,39,35,22,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,60,58,74,93,35,43,22,39,14,6,71,,,,,,WY,,,johnson wy,0,100,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Laramie County 56021,9,Summary of All HUD Programs,1,,Laramie County,56021,1615,97,1572,100,7,17,1.8,2858,333,528,14024,7713,7,30,25,17,21,19,1,75,23,97,75,3,26,71,27,51,49,31,5,40,20,36,2,31,6,2,1,69,1,19,2,21,1,26,69,73,111,41,33,27,29,13,22,61,,,,,,WY,,,laramie wy,31,69,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Laramie County 56021,9,Public Housing,2,,Laramie County,56021,266,98,261,100,7,18,2.0,519,332,562,16034,8063,7,30,27,11,25,24,1,72,25,91,74,3,27,70,27,58,48,31,3,41,22,34,4,31,8,2,2,69,1,19,-1,20,2,7,75,61,143,64,4,32,9,12,20,64,,,,,,WY,,,laramie wy,31,69,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Laramie County 56021,9,Housing Choice Vouchers,3,,Laramie County,56021,1063,97,1025,99,7,15,1.8,1858,345,503,13911,7674,6,30,24,18,22,18,1,76,23,98,74,3,27,72,27,52,51,32,4,40,21,35,2,31,7,2,0,69,1,20,1,22,0,32,70,86,109,30,42,28,39,14,24,59,,,,,,WY,,,laramie wy,31,69,0,0
2020-12-31 00:00:00,County,WY Wyoming,WY Laramie County 56021,9,Project Based Section 8,5,,Laramie County,56021,236,94,236,100,6,27,1.8,431,283,651,12223,6693,10,29,30,16,16,24,2,67,20,99,79,8,30,74,33,41,44,25,11,43,15,31,2,33,5,6,0,64,1,16,5,22,6,-1,57,31,97,48,30,22,13,9,18,70,,,,,,WY,,,laramie wy,36,64,0,0
