Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,diff in non min,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2022-12-31 00:00:00,County,WY Wyoming,WY Niobrara County 56027,9,Project Based Section 8,5,,Niobrara County,56027,26,-5,17,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-10,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,WY,,,niobrara wy,-5,-5,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Natrona County 56025,9,811/PRAC,9,,Natrona County,56025,4,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,natrona wy,-4,-4,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Natrona County 56025,9,202/PRAC,8,,Natrona County,56025,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,natrona wy,-4,-4,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Uinta County 56041,9,811/PRAC,9,,Uinta County,56041,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,uinta wy,-4,-4,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Carbon County 56007,9,Housing Choice Vouchers,3,,Carbon County,56007,11,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,WY,,,carbon wy,-4,-4,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Johnson County 56019,9,Summary of All HUD Programs,1,,Johnson County,56019,49,95,43,93,6,14,1.2,51,385,500,16835,14194,-1,12,40,19,30,12,-1,88,27,98,67,-1,5,72,5,78,32,45,-1,14,28,58,16,0,-1,-1,-1,100,100,-1,-1,-1,0,0,7,61,30,110,72,19,9,19,0,0,0,,,,,,WY,,,johnson wy,0,100,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Sheridan County 56033,9,811/PRAC,9,,Sheridan County,56033,15,100,13,87,8,-1,1.0,13,335,317,14005,14005,-1,31,31,23,15,8,-1,92,24,92,77,-1,-1,23,-1,100,-1,100,15,69,15,-1,-1,0,-1,-1,-1,85,85,-1,-1,-1,0,0,-1,78,69,70,100,-1,-1,-1,4,8,61,,,,,,WY,,,sheridan wy,0,85,15,0
2022-12-31 00:00:00,County,WY Wyoming,WY Sheridan County 56033,9,202/PRAC,8,,Sheridan County,56033,14,100,13,93,4,15,1.0,13,373,607,17227,17227,-1,-1,46,15,38,-1,-1,100,27,100,62,-1,-1,62,-1,-1,38,38,-1,-1,-1,100,-1,0,-1,-1,-1,100,100,-1,-1,-1,0,0,-1,43,-1,-1,100,-1,-1,-1,8,9,65,,,,,,WY,,,sheridan wy,0,100,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Johnson County 56019,9,Housing Choice Vouchers,3,,Johnson County,56019,19,92,17,99,5,-1,1.5,25,407,526,17159,11668,-1,18,35,12,35,24,-1,76,26,94,65,-1,12,65,12,69,50,48,-1,35,41,24,-1,0,-1,-1,-1,100,100,-1,-1,-1,0,0,-1,74,76,110,29,47,24,47,0,0,0,,,,,,WY,,,johnson wy,0,100,0,0
2022-12-31 00:00:00,County,WY Wyoming,WY Campbell County 56005,9,202/PRAC,8,,Campbell County,56005,22,91,23,100,8,30,1.0,23,337,146,15301,15301,-1,9,57,13,22,4,-1,96,23,100,83,-1,-1,91,-1,-1,4,4,-1,-1,-1,100,9,0,-1,-1,-1,100,100,-1,-1,-1,0,0,-1,47,-1,-1,100,-1,-1,-1,19,14,43,,,,,,WY,,,campbell wy,0,100,0,0
