State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Wyoming,Albany County,0,0,0
Wyoming,Big Horn County,0,0,0
Wyoming,Campbell County,0,0,0
Wyoming,Carbon County,660,204,456
Wyoming,Converse County,0,0,0
Wyoming,Crook County,0,0,0
Wyoming,Fremont County,229,67,162
Wyoming,Goshen County,526,129,397
Wyoming,Hot Springs County,0,0,0
Wyoming,Johnson County,0,0,0
Wyoming,Laramie County,0,0,0
Wyoming,Lincoln County,0,0,0
Wyoming,Natrona County,0,0,0
Wyoming,Niobrara County,208,43,165
Wyoming,Park County,0,0,0
Wyoming,Platte County,0,0,0
Wyoming,Sheridan County,0,0,0
Wyoming,Sublette County,0,0,0
Wyoming,Sweetwater County,0,0,0
Wyoming,Teton County,0,0,0
Wyoming,Uinta County,0,0,0
Wyoming,Washakie County,0,0,0
Wyoming,Weston County,270,85,185
