State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
WY,Albany County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Big Horn County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Campbell County,25150,28700,32300,35900,38750,41650,44500,47400,15100,17250,19400,21550,23250,25000,26700,28450,40200,45950,51700,57450,62050,66650,71250,75850
WY,Carbon County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Converse County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Crook County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Fremont County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Goshen County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Hot Springs County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Johnson County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Laramie County,21900,25050,28150,31300,33800,36300,38800,41300,13150,15050,16900,18800,20300,21800,23300,24800,35050,40100,45100,50100,54100,58100,62100,66150
WY,Lincoln County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Natrona County,21250,24300,27300,30350,32800,35200,37650,40050,12750,14550,16400,18200,19650,21100,22550,24000,34000,38850,43700,48550,52450,56300,60200,64100
WY,Niobrara County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Park County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Platte County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Sheridan County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Sublette County,22050,25200,28350,31500,34000,36550,39050,41600,13250,15100,17000,18900,20400,21900,23450,24950,35300,40300,45350,50400,54450,58450,62500,66550
WY,Sweetwater County,24950,28500,32100,35650,38500,41350,44200,47050,15000,17100,19250,21400,23100,24800,26550,28250,39950,45650,51350,57050,61600,66200,70750,75300
WY,Teton County,29150,33300,37500,41650,45000,48300,51650,55000,17500,20000,22500,25000,27000,29000,31000,33000,43050,49200,55350,61500,66400,71350,76250,81200
WY,Uinta County,22800,26050,29300,32550,35150,37750,40350,42950,13700,15650,17600,19550,21100,22700,24250,25800,36450,41700,46900,52100,56250,60450,64600,68750
WY,Washakie County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
WY,Weston County,21050,24050,27050,30050,32450,34850,37250,39650,12650,14450,16250,18050,19500,20950,22400,23850,33650,38500,43300,48100,51950,55800,59650,63500
